,DOI,link
0,10_15330&ps_10_1_152-159,https://doi.org/10.15330/ps.10.1.152-159
1,10_4067&S0718-09342021000300867,https://doi.org/10.4067/S0718-09342021000300867
2,10_1515&bams-2018-0005,https://doi.org/10.1515/bams-2018-0005
3,10_3390&nu13010277,https://doi.org/10.3390/nu13010277
4,10_1111&pere_12394,https://doi.org/10.1111/pere.12394
5,10_1155&2021&5593589,https://doi.org/10.1155/2021/5593589
6,10_18778&1733-8069_17_1_09,https://doi.org/10.18778/1733-8069.17.1.09
7,10_3390&CANCERS13215483,https://doi.org/10.3390/CANCERS13215483
8,10_3390&IJERPH181910206,https://doi.org/10.3390/IJERPH181910206
9,10_3390&medicina57030197,https://doi.org/10.3390/medicina57030197
10,10_1016&j_jairtraman_2021_102105,https://doi.org/10.1016/j.jairtraman.2021.102105
11,10_1111&aphw_12248,https://doi.org/10.1111/aphw.12248
12,10_5603&PMPI_2021_0005,https://doi.org/10.5603/PMPI.2021.0005
13,10_5114&cipp_2019_92561,https://doi.org/10.5114/cipp.2019.92561
14,10_5603&RPOR_a2021_0128,https://doi.org/10.5603/RPOR.a2021.0128
15,10_3390&ijerph181910527,https://doi.org/10.3390/ijerph181910527
16,10_1371&journal_pone_0260459,https://doi.org/10.1371/journal.pone.0260459
17,10_5114&PPIEL_2021_110453,https://doi.org/10.5114/PPIEL.2021.110453
18,10_3389&FPSYG_2021_729772,https://doi.org/10.3389/FPSYG.2021.729772
19,10_3390&MOLECULES25235752,https://doi.org/10.3390/MOLECULES25235752
20,10_24425&gsm_2021_137566,https://doi.org/10.24425/gsm.2021.137566
21,10_1144&geochem2020-073,https://doi.org/10.1144/geochem2020-073
22,10_5604&01_3001_0014_1190,https://doi.org/10.5604/01.3001.0014.1190
23,10_1007&s12665-021-09594-7,https://doi.org/10.1007/s12665-021-09594-7
24,10_3390&foods10102420,https://doi.org/10.3390/foods10102420
25,10_5603&EP_a2019_0066,https://doi.org/10.5603/EP.a2019.0066
26,10_5114&polp_2020_103504,https://doi.org/10.5114/polp.2020.103504
27,10_1016&j_msard_2021_102984,https://doi.org/10.1016/j.msard.2021.102984
28,10_1155&2021&9970019,https://doi.org/10.1155/2021/9970019
29,10_1111&jocd_13368,https://doi.org/10.1111/jocd.13368
30,10_1007&s11657-021-00881-1,https://doi.org/10.1007/s11657-021-00881-1
31,10_1016&J_JAIRTRAMAN_2021_102105,https://doi.org/10.1016/J.JAIRTRAMAN.2021.102105
32,10_5114&polp_2021_112400,https://doi.org/10.5114/polp.2021.112400
33,10_1007&jhep10(2019)265,https://doi.org/10.1007/jhep10(2019)265
34,10_1007&jhep10(2019)127,https://doi.org/10.1007/jhep10(2019)127
35,10_1088&1748-0221&14&12&p12006,https://doi.org/10.1088/1748-0221/14/12/p12006
36,10_1140&epjc&s10052-019-7199-0,https://doi.org/10.1140/epjc/s10052-019-7199-0
37,10_1140&epjc&s10052-019-7512-y,https://doi.org/10.1140/epjc/s10052-019-7512-y
38,10_1007&jhep05(2019)142,https://doi.org/10.1007/jhep05(2019)142
39,10_1103&physrevd_100_052013,https://doi.org/10.1103/physrevd.100.052013
40,10_1103&physrevd_100_032007,https://doi.org/10.1103/physrevd.100.032007
41,10_1140&epjc&s10052-019-7439-3,https://doi.org/10.1140/epjc/s10052-019-7439-3
42,10_1016&j_physletb_2019_134913,https://doi.org/10.1016/j.physletb.2019.134913
43,10_1016&j_physletb_2019_134942,https://doi.org/10.1016/j.physletb.2019.134942
44,10_1007&jhep08(2019)033,https://doi.org/10.1007/jhep08(2019)033
45,10_1016&j_physletb_2019_134949,https://doi.org/10.1016/j.physletb.2019.134949
46,10_1140&epjc&s10052-019-7295-1,https://doi.org/10.1140/epjc/s10052-019-7295-1
47,10_1140&epjc&s10052-019-7321-3,https://doi.org/10.1140/epjc/s10052-019-7321-3
48,10_1103&physrevlett_123_052001,https://doi.org/10.1103/physrevlett.123.052001
49,10_1007&jhep10(2019)203,https://doi.org/10.1007/jhep10(2019)203
50,10_1103&physrevd_99_052004,https://doi.org/10.1103/physrevd.99.052004
51,10_1140&epjc&s10052-019-7140-6,https://doi.org/10.1140/epjc/s10052-019-7140-6
52,10_1140&epjc&s10052-019-7525-6,https://doi.org/10.1140/epjc/s10052-019-7525-6
53,10_1140&epjc&s10052-019-7489-6,https://doi.org/10.1140/epjc/s10052-019-7489-6
54,10_1088&1748-0221&14&06&p06012,https://doi.org/10.1088/1748-0221/14/06/p06012
55,10_1103&physrevc_100_064901,https://doi.org/10.1103/physrevc.100.064901
56,10_1088&1748-0221&14&03&p03017,https://doi.org/10.1088/1748-0221/14/03/p03017
57,10_1140&epjc&s10052-019-7450-8,https://doi.org/10.1140/epjc/s10052-019-7450-8
58,10_1007&jhep07(2019)117,https://doi.org/10.1007/jhep07(2019)117
59,10_1103&physrevd_100_012006,https://doi.org/10.1103/physrevd.100.012006
60,10_1007&jhep06(2019)144,https://doi.org/10.1007/jhep06(2019)144
61,10_1103&physrevc_100_034903,https://doi.org/10.1103/physrevc.100.034903
62,10_1016&j_physletb_2019_07_016,https://doi.org/10.1016/j.physletb.2019.07.016
63,10_1140&epjc&s10052-019-7335-x,https://doi.org/10.1140/epjc/s10052-019-7335-x
64,10_1007&jhep05(2019)141,https://doi.org/10.1007/jhep05(2019)141
65,10_1088&1748-0221&14&09&p09011,https://doi.org/10.1088/1748-0221/14/09/p09011
66,10_1007&jhep05(2019)088,https://doi.org/10.1007/jhep05(2019)088
67,10_1140&epjc&s10052-019-7162-0,https://doi.org/10.1140/epjc/s10052-019-7162-0
68,10_1140&epjc&s10052-019-7027-6,https://doi.org/10.1140/epjc/s10052-019-7027-6
69,10_1140&epjc&s10052-019-6849-6,https://doi.org/10.1140/epjc/s10052-019-6849-6
70,10_1103&physrevd_99_072009,https://doi.org/10.1103/physrevd.99.072009
