,fullname,file,uni_name
14,Rafał Waldemar Albiński,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
27,Aleksandra Izabela Arciszewska-Leszczuk,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
56,Róża Alicja Banaśkiewicz-Bazińska,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
68,Anna Aleksandra Banik,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
75,Maria Romualda Baran,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
96,Wiesław Jerzy Baryła,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
115,Dorota Balbina Bednarek,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
116,Hanna Krystyna Bednarek,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
118,Sylwia Bedyńska,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
138,Wojciech Zygmunt Białaszek,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
145,Olga Aleksandra Białobrzeska,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
156,Maksymilian Adam Bielecki,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
189,Monika Joanna Boberska,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
194,Konrad Maksymilian Bocian,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
199,Agnieszka Maria Bojanowska,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
210,Edyta Ewa Bonk,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
229,Paweł Boski,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
235,Anna Braniecka,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
246,Elwira Brygoła,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
249,Aneta Brzezicka,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
256,Jacek Marcin Buczny,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
271,Ewa Butowska,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
272,Katarzyna Byrka,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
276,Katarzyna Cantarero,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
304,Agnieszka Chrzczonowicz-Stępień,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
307,Agata Chudzicka-Czupała,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
328,Roman Sławomir Cieślak,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
335,Aleksandra Katarzyna Cisłak-Wójcik,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
346,Maria Cyniak-Cieciura,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
347,Marzena Aneta Cypryańska-Nezlek,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
376,Agnieszka Czerw,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
409,Agata Dębowska,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
431,Dariusz Antoni Doliński,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
433,Zofia Dołęga,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
440,Aneta Marta Dowgiert,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
446,Szymon Emilia Draheim,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
449,Krystyna Eleonora Drat-Ruszczak,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
454,Marek Zbigniew Drogosz,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
457,Joanna Eulalia Dudek,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
458,Karolina Dukała,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
465,Anna Ewa Duszyk-Bogorodzka,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
475,Maciej Andrzej Dymkowski,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
479,Irena Dzwonkowska,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
483,Jolanta Enko,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
492,Andrzej Falkowski,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
498,Aleksandra Katarzyna Fila-Jankowska,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
511,Magdalena Maria Formanowicz,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
520,Natalia Frankowska,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
533,Anna Gabińska,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
540,Małgorzata Gamian-Wilk,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
564,Magdalena Agnieszka Gąsiorowska,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
565,Agata Dorota Gąsiorowska,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
573,Józef Gierowski,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
589,Małgorzata Anna Godlewska,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
594,Agnieszka Monika Golec,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
622,Damian Wojciech Grabowski,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
630,Alicja Magdalena Grochowska,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
632,Katarzyna Growiec,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
633,Katarzyna Anna Grunt-Mejer,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
634,Ewa Melania Gruszczyńska,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
636,Eufrozyna Gruszecka,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
654,Tomasz Adam Grzyb,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
694,Anna Maria Hebenstreit-Maruszewska,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
695,Daniela Maria Hekiert,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
699,Anna Maria Hełka,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
742,Irena Iskra-Golec,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
749,Magdalena Zyta Jabłońska,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
752,Marta Jackowska,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
762,Kamila Anna Jankowiak-Siuda,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
774,Maciej Andrzej Januszek,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
777,Ewa Jarczewska-Gerc,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
817,Dorota Juszczyk,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
820,Joanna Kabzińska,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
831,Romana Stefania Kadzikowska-Wrzosek,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
841,Dorota Eugenia Kalka,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
847,Olga Katarzyna Kamińska,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
848,Anna Maria Kamza,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
861,Bartosz Paweł Karcz,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
897,Aneta Kiwnik-Dahm,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
912,Małgorzata Klimka-Kołysko,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
939,Aleksandra Anna Kołodziej,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
971,Monika Kornacka,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
990,Julita Agnieszka Koszur,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
992,Maciej Kościelniak,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
1010,Natalia Kowalczyk-Grębska,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
1017,Beata Kozak,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
1021,Agata Kozłowska,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
1038,Izabela Krejtz,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
1040,Krzysztof Krejtz,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
1041,Aleksandra Karolina Kroemeke,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
1048,Magdalena Ewa Król,selected,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie
