uni_code,kategoria
Akademia_Ekonomiczno-Humanistyczna_w_Warszawie,b+
Akademia_Ignatianum_w_Krakowie,b+
Akademia_Pedagogiki_Specjalnej_Marii_Grzegorzewskiej_w_Warszawie,b+
Instytut_Psychologii_Polskiej_Akademii_Nauk,a+
Katolicki_Uniwersytet_Lubelski_Jana_Pawła_II_w_Lublinie,b+
Krakowska_Akademia_Andrzeja_Frycza_Modrzewskiego_w_Krakowie,b
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,a+
Uniwersytet_Gdański,a
Uniwersytet_Adama_Mickiewicza_w_Poznaniu,b+
Uniwersytet_Jagielloński_w_Krakowie,a+
Uniwersytet_Jana_Kochanowskiego_w_Kielcach,b
Uniwersytet_Kardynała_Stefana_Wyszyńskiego_w_Warszawie,a
Uniwersytet_Kazimierza_Wielkiego_w_Bydgoszczy,b
Uniwersytet_Łódzki,b+
Uniwersytet_Marii_Curie-Skłodowskiej_w_Lublinie,b+
Uniwersytet_Mikołaja_Kopernika_w_Toruniu,b+
Uniwersytet_Opolski,a
Uniwersytet_Pedagogiczny_Komisji_Edukacji_Narodowej_w_Krakowie,b
Uniwersytet_Szczeciński,b
Uniwersytet_Śląski_w_Katowicach,b+
Uniwersytet_Warszawski,a+
Uniwersytet_Wrocławski,a
Wyższa_Szkoła_Bankowa_w_Toruniu,b
Wyższa_Szkoła_Ekonomii_i_Innowacji_w_Lublinie,b
