uni_name,count,kategoria
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,193,a+
Uniwersytet_Jagielloński_w_Krakowie,125,a+
Uniwersytet_Warszawski,92,a+
Katolicki_Uniwersytet_Lubelski_Jana_Pawła_II_w_Lublinie,71,b+
Uniwersytet_Gdański,67,a
Akademia_Pedagogiki_Specjalnej_Marii_Grzegorzewskiej_w_Warszawie,60,b+
Uniwersytet_Śląski_w_Katowicach,53,b+
Uniwersytet_Pedagogiczny_Komisji_Edukacji_Narodowej_w_Krakowie,52,b
Uniwersytet_Adama_Mickiewicza_w_Poznaniu,51,b+
Uniwersytet_Kardynała_Stefana_Wyszyńskiego_w_Warszawie,45,a
Uniwersytet_Wrocławski,44,a
Akademia_Ignatianum_w_Krakowie,37,b+
Uniwersytet_Marii_Curie-Skłodowskiej_w_Lublinie,35,b+
Uniwersytet_Kazimierza_Wielkiego_w_Bydgoszczy,35,b
Uniwersytet_Łódzki,35,b+
Uniwersytet_Szczeciński,35,b
Krakowska_Akademia_Andrzeja_Frycza_Modrzewskiego_w_Krakowie,29,b
Instytut_Psychologii_Polskiej_Akademii_Nauk,28,a+
Uniwersytet_Jana_Kochanowskiego_w_Kielcach,27,b
Akademia_Ekonomiczno-Humanistyczna_w_Warszawie,22,b+
Uniwersytet_Mikołaja_Kopernika_w_Toruniu,21,b+
Uniwersytet_Opolski,19,a
Wyższa_Szkoła_Bezpieczeństwa_w_Poznaniu,17,
Wyższa_Szkoła_Ekonomii_i_Innowacji_w_Lublinie,13,b
Dolnośląska_Szkoła_Wyższa_z_siedzibą_we_Wrocławiu,13,
Wyższa_Szkoła_Bankowa_w_Toruniu,13,b
Uniwersytet_Zielonogórski,13,
Akademia_Leona_Koźmińskiego_w_Warszawie,11,
Uniwersytet_Medyczny_Karola_Marcinkowskiego_w_Poznaniu,11,
Wyższa_Szkoła_Bankowa_w_Poznaniu,10,
Górnośląska_Wyższa_Szkoła_Handlowa_Wojciecha_Korfantego_w_Katowicach,10,
Wyższa_Szkoła_Menedżerska_w_Warszawie,10,
Uniwersytet_Warmińsko-Mazurski_w_Olsztynie,10,
Wyższa_Szkoła_Bankowa__z_siedzibą_w_Gdańsku,8,
Uniwersytet_Papieski_Jana_Pawła_II_w_Krakowie,8,
Uniwersytet_Humanistyczno-Przyrodniczy_Jana_Długosza_w_Częstochowie,7,
Staropolska_Akademia_Nauk_Stosowanych_w_Kielcach,7,
Wyższa_Szkoła_Europejska_Ks._Józefa_Tischnera_w_Krakowie,6,
Uniwersytet_w_Białymstoku,6,
Wyższa_Szkoła_Humanitas_w_Sosnowcu,6,
Politechnika_Rzeszowska_Ignacego_Łukasiewicza,5,
Pomorski_Uniwersytet_Medyczny_w_Szczecinie,5,
Akademia_Pomorska_w_Słupsku,5,
Akademia_Wychowania_Fizycznego_Bronisława_Czecha_w_Krakowie,5,
Akademia_Wychowania_Fizycznego_Eugeniusza_Piaseckiego_w_Poznaniu,5,
Uniwersytet_Medyczny_w_Łodzi,4,
Uniwersytet_Rzeszowski,4,
Uniwersytet_Ekonomiczny_w_Krakowie,4,
Wyższa_Szkoła_Gospodarki_w_Bydgoszczy,3,
Akademia_Wychowania_Fizycznego_Józefa_Piłsudskiego_w_Warszawie,3,
Akademia_Nauk_Stosowanych_Księcia_Mieszka_I_w_Poznaniu,3,
Uniwersytet_Przyrodniczo-Humanistyczny_w_Siedlcach,3,
Uczelnia_Nauk_Społecznych,3,
Małopolska_Uczelnia_Państwowa_rotmistrza_Witolda_Pileckiego_w_Oświęcimiu,3,
Wojskowy_Instytut_Medycyny_Lotniczej,3,
Akademia_Techniczno-Humanistyczna_w_Bielsku-Białej,3,
Wyższa_Szkoła_Bankowa_we_Wrocławiu,3,
Uniwersytet_Technologiczno-Humanistyczny_Kazimierza_Pułaskiego_w_Radomiu,2,
Wyższa_Szkoła_Zarządzania_Ochroną_Pracy_w_Katowicach,2,
Państwowa_Wyższa_Szkoła_Zawodowa_w_Nowym_Sączu,2,
Państwowa_Uczelnia_Zawodowa_Ignacego_Mościckiego_w_Ciechanowie,2,
Instytut_Badań_Edukacyjnych,2,
Państwowa_Uczelnia_Stefana_Batorego,2,
Wyższa_Szkoła_Nauk_Społecznych_z_siedzibą_w_Lublinie,2,
Instytut_Psychiatrii_i_Neurologii,2,
Akademia_Wychowania_Fizycznego_Jerzego_Kukuczki_w_Katowicach,2,
Politechnika_Lubelska,2,
Gnieźnieńska_Szkoła_Wyższa_Milenium_z_siedzibą_w_Gnieźnie,2,
Akademia_Górniczo-Hutnicza_Stanisława_Staszica_w_Krakowie,2,
Politechnika_Koszalińska,2,
Uniwersytet_Przyrodniczy_w_Poznaniu,2,
Śląski_Uniwersytet_Medyczny_w_Katowicach,2,
Politechnika_Gdańska,2,
Wyższa_Szkoła_Biznesu_-_National_Louis_University_z_siedzibą_w_Nowym_Sączu,2,
Akademia_Nauk_Stosowanych_w_Koninie,2,
Karpacka_Państwowa_Uczelnia_w_Krośnie,2,
Collegium_Balticum_-_Akademia_Nauk_Stosowanych_z_siedzibą_w_Szczecinie,2,
Akademia_Polonijna_w_Częstochowie,2,
Akademia_Nauk_Stosowanych_w_Elblągu,2,
Politechnika_Śląska,2,
Akademia_Medycznych_i_Społecznych_Nauk_Stosowanych,2,
Wojskowa_Akademia_Techniczna_Jarosława_Dąbrowskiego,1,
Akademia_Muzyczna_Grażyny_i_Kiejstuta_Bacewiczów_w_Łodzi,1,
Akademia_Sztuki_Wojennej,1,
Akademia_Sztuk_Pięknych_w_Katowicach,1,
Niepaństwowa_Wyższa_Szkoła_Pedagogiczna_w_Białymstoku,1,
Instytut_Fizjologii_i_Patologii_Słuchu,1,
Wyższa_Szkoła_Gospodarki_Euroregionalnej_Alcide_De_Gasperi_w_Józefowie,1,
Warszawski_Uniwersytet_Medyczny,1,
Wyższa_Szkoła_Finansów_i_Zarządzania_w_Białymstoku,1,
Państwowa_Wyższa_Szkoła_Zawodowa_w_Raciborzu,1,
Szkoła_Główna_Handlowa_w_Warszawie,1,
Akademia_Wychowania_Fizycznego_we_Wrocławiu,1,
Wyższa_Szkoła_Rehabilitacji_w_Warszawie,1,
Uczelnia_Techniczno-Handlowa_Heleny_Chodkowskiej,1,
Akademia_Nauk_Stosowanych_w_Łomży,1,
Akademia_Sztuk_Pięknych_Jana_Matejki_w_Krakowie,1,
Państwowa_Wyższa_Szkoła_Zawodowa_w_Chełmie,1,
Akademia_Nauk_Stosowanych_Gospodarki_Krajowej_w_Kutnie,1,
Uniwersytet_Przyrodniczy_we_Wrocławiu,1,
Wyższa_Szkoła_Policji_w_Szczytnie,1,
Szkoła_Wyższa_Pawła_Włodkowica_w_Płocku,1,
Podkowiańska_Wyższa_Szkoła_Medyczna_Zofii_i_Jonasza_Łyko_w_Podkowie_Leśnej,1,
Collegium_Humanum_-_Szkoła_Główna_Menedżerska,1,
"Wyższa_Szkoła_Zarządzania_""Edukacja""_we_Wrocławiu",1,
Politechnika_Morska_w_Szczecinie,1,
KGHM_CUPRUM_Centrum_Badawczo-Rozwojowe,1,
Akademia_Marynarki_Wojennej_Bohaterów_Westerplatte,1,
Akademia_Nauk_Stosowanych_Wincentego_Pola_w_Lublinie,1,
"Wyższa_Szkoła_Bezpieczeństwa_Publicznego_i_Indywidualnego_""Apeiron""_w_Krakowie",1,
Państwowa_Wyższa_Szkoła_Techniczno-Ekonomiczna_ks._Bronisława_Markiewicza_w_Jarosławiu,1,
Politechnika_Białostocka,1,
Wyższa_Szkoła_Informatyki_i_Zarządzania_z_siedzibą_w_Rzeszowie,1,
Wyższa_Szkoła_Wychowania_Fizycznego_i_Turystyki_w_Białymstoku,1,
Wyższa_Szkoła_Bankowa_w_Warszawie,1,
Papieski_Wydział_Teologiczny_we_Wrocławiu,1,
Akademia_Muzyczna_Stanisława_Moniuszki_w_Gdańsku,1,
Akademia_Humanistyczno-Ekonomiczna_w_Łodzi,1,
Szkoła_Wyższa_Wymiaru_Sprawiedliwości,1,
Gdański_Uniwersytet_Medyczny,1,
Państwowa_Uczelnia_Zawodowa_we_Włocławku,1,
Politechnika_Częstochowska,1,
Państwowa_Wyższa_Szkoła_Zawodowa_w_Nysie,1,
Akademia_Wychowania_Fizycznego_i_Sportu_Jędrzeja_Śniadeckiego_w_Gdańsku,1,
Politechnika_Opolska,1,
Akademia_Górnośląska_Wojciecha_Korfantego_w_Katowicach,1,
Akademia_Jakuba_z_Paradyża,1,
Politechnika_Bydgoska_Jana_i_Jędrzeja_Śniadeckich,1,
Tarnowska_Szkoła_Wyższa_z_siedzibą_w_Tarnowie,1,
Wyższa_Szkoła_Komunikacji_Społecznej_w_Gdyni,1,
Akademia_Morska_w_Szczecinie,1,
Państwowa_Uczelnia_Zawodowa_prof._Edwarda_F._Szczepanika_w_Suwałkach,1,
Collegium_Da_Vinci_z_siedzibą_w_Poznaniu,1,
