institution,id,doi,title,display_name,publication_year,publication_date,journal,type,language,pdf_url,landing_page_url,oa_url,apc_paid,authors,author_orcids,countries,institutions,clean_doi
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,https://openalex.org/W3119498476,https://doi.org/10.1111/bjhp.12504,Habit formation following routine‐based versus time‐based cue planning: A randomized controlled trial,Habit formation following routine‐based versus time‐based cue planning: A randomized controlled trial,2021,2021-01-06,British Journal of Health Psychology,article,en,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/bjhp.12504,https://doi.org/10.1111/bjhp.12504,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/bjhp.12504,4120 USD (USD 4120),"Jan Keller, Dominika Kwaśnicka, Patrick Klaiber, Lena Sichert, Phillippa Lally, Lena Fleig",Jan Keller: https://orcid.org/0000-0003-4660-6844; Dominika Kwaśnicka: https://orcid.org/0000-0002-5961-837X; Patrick Klaiber: https://orcid.org/0000-0002-1957-1140; Lena Sichert: None; Phillippa Lally: https://orcid.org/0000-0002-4847-4163; Lena Fleig: https://orcid.org/0000-0002-5595-4587,"AU, CA, DE, GB, PL","Freie Universität Berlin, MSB Medical School Berlin, The University of Melbourne, University College London, University of British Columbia, Uniwersytet SWPS",10.1111/bjhp.12504
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,https://openalex.org/W2945306909,https://doi.org/10.1080/08870446.2019.1579913,"‘It’s not a diet, it’s a lifestyle’: a longitudinal, data-prompted interview study of weight loss maintenance","‘It’s not a diet, it’s a lifestyle’: a longitudinal, data-prompted interview study of weight loss maintenance",2019,2019-03-23,Psychology and Health,article,en,,https://doi.org/10.1080/08870446.2019.1579913,https://www.repository.cam.ac.uk/handle/1810/291222,,"Dominika Kwaśnicka, Stephan U Dombrowski, Martin White, Falko F. Sniehotta",Dominika Kwaśnicka: https://orcid.org/0000-0002-5961-837X; Stephan U Dombrowski: https://orcid.org/0000-0001-9832-2777; Martin White: https://orcid.org/0000-0002-1861-6757; Falko F. Sniehotta: https://orcid.org/0000-0003-1738-4269,"AU, CA, GB, PL","Curtin University, MRC Epidemiology Unit, Newcastle University, United Kingdom Clinical Research Collaboration, University of Cambridge, University of New Brunswick, Uniwersytet SWPS",10.1080/08870446.2019.1579913
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,https://openalex.org/W2890241380,https://doi.org/10.3389/fpsyg.2018.01772,Engaging in Creativity Broadens Attentional Scope,Engaging in Creativity Broadens Attentional Scope,2018,2018-09-21,Frontiers in Psychology,article,en,https://www.frontiersin.org/articles/10.3389/fpsyg.2018.01772/pdf,https://doi.org/10.3389/fpsyg.2018.01772,https://www.frontiersin.org/articles/10.3389/fpsyg.2018.01772/pdf,2950 USD (USD 2950),"Marta Katarzyna Wronska, Alina Kolańczyk, Bernard A. Nijstad",Marta Katarzyna Wronska: https://orcid.org/0000-0002-0873-4290; Alina Kolańczyk: None; Bernard A. Nijstad: https://orcid.org/0000-0001-7882-8447,"NL, PL","Sopot University of Applied Science, University of Groningen, Uniwersytet SWPS",10.3389/fpsyg.2018.01772
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,https://openalex.org/W2963013780,https://doi.org/10.2196/12707,Unraveling the Black Box: Exploring Usage Patterns of a Blended Treatment for Depression in a Multicenter Study,Unraveling the Black Box: Exploring Usage Patterns of a Blended Treatment for Depression in a Multicenter Study,2019,2019-07-25,JMIR Mental Health,article,en,https://mental.jmir.org/2019/7/e12707/PDF,https://doi.org/10.2196/12707,https://mental.jmir.org/2019/7/e12707/PDF,2750 USD (USD 2750),"Lise Kemmeren, Anneke van Schaik, Johannes H. Smit, Jeroen Ruwaard, Artur Rocha, Mário Ricardo Henriques, David Daniel Ebert, Ingrid Titzler, Jean‐Baptiste Hazo, Maya Dorsey, Katarzyna Żukowska, Heleen Riper",Lise Kemmeren: https://orcid.org/0000-0002-5386-3112; Anneke van Schaik: https://orcid.org/0000-0002-7169-9600; Johannes H. Smit: https://orcid.org/0000-0002-2062-8378; Jeroen Ruwaard: https://orcid.org/0000-0002-4510-997X; Artur Rocha: https://orcid.org/0000-0002-5637-1041; Mário Ricardo Henriques: https://orcid.org/0000-0003-0058-7596; David Daniel Ebert: https://orcid.org/0000-0001-6820-0146; Ingrid Titzler: https://orcid.org/0000-0002-8963-2324; Jean‐Baptiste Hazo: https://orcid.org/0000-0002-1834-4413; Maya Dorsey: https://orcid.org/0000-0002-9744-7575; Katarzyna Żukowska: https://orcid.org/0000-0002-7653-2033; Heleen Riper: https://orcid.org/0000-0002-8144-8901,"DE, FR, NL, PL, PT","Amsterdam University Medical Centers, Assistance Publique – Hôpitaux de Paris, Friedrich-Alexander-Universität Erlangen-Nürnberg, GGZ inGeest, Inserm, Institute for Systems Engineering and Computers, Université Paris Cité, Uniwersytet SWPS, Vrije Universiteit Amsterdam",10.2196/12707
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,https://openalex.org/W3181655150,https://doi.org/10.1136/bmjopen-2020-046435,Systematic review of ecological momentary assessment (EMA) studies of five public health-related behaviours: review protocol,Systematic review of ecological momentary assessment (EMA) studies of five public health-related behaviours: review protocol,2021,2021-07-01,BMJ Open,article,en,https://bmjopen.bmj.com/content/bmjopen/11/7/e046435.full.pdf,https://doi.org/10.1136/bmjopen-2020-046435,https://bmjopen.bmj.com/content/bmjopen/11/7/e046435.full.pdf,1500 GBP (USD 1839),"Dominika Kwaśnicka, Dimitra Kale, Verena Schneider, Jan Keller, Bernard Yeboah‐Asiamah Asare, Daniel Powell, Felix Naughton, Gill A. ten Hoor, Peter Verboon, Olga Perski",Dominika Kwaśnicka: https://orcid.org/0000-0002-5961-837X; Dimitra Kale: https://orcid.org/0000-0002-8845-7114; Verena Schneider: https://orcid.org/0000-0003-0244-6201; Jan Keller: https://orcid.org/0000-0003-4660-6844; Bernard Yeboah‐Asiamah Asare: https://orcid.org/0000-0002-1381-4981; Daniel Powell: https://orcid.org/0000-0003-4995-6057; Felix Naughton: https://orcid.org/0000-0001-9790-2796; Gill A. ten Hoor: https://orcid.org/0000-0001-5500-1893; Peter Verboon: https://orcid.org/0000-0001-8656-0890; Olga Perski: https://orcid.org/0000-0003-3285-3174,"AU, DE, GB, NL, PL","Curtin University, Freie Universität Berlin, Maastricht University, Open University of the Netherlands, The University of Melbourne, University College London, University of Aberdeen, University of East Anglia, Uniwersytet SWPS",10.1136/bmjopen-2020-046435
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,https://openalex.org/W2803094706,https://doi.org/10.1007/s12144-018-9862-2,Personal growth initiative’s relation to life meaning and satisfaction in a polish sample,Personal growth initiative’s relation to life meaning and satisfaction in a polish sample,2018,2018-05-09,Current Psychology,article,en,https://link.springer.com/content/pdf/10.1007/s12144-018-9862-2.pdf,https://doi.org/10.1007/s12144-018-9862-2,https://link.springer.com/content/pdf/10.1007/s12144-018-9862-2.pdf,,"Dominika Borowa, Marlena M. Kossakowska, Kevin Harmon, Christine Robitschek",Dominika Borowa: None; Marlena M. Kossakowska: None; Kevin Harmon: None; Christine Robitschek: https://orcid.org/0000-0002-2223-6976,"PL, US","Texas Tech University, Uniwersytet SWPS",10.1007/s12144-018-9862-2
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,https://openalex.org/W2618390429,https://doi.org/10.1371/journal.pone.0178283,"If you want to save, focus on the forest rather than on trees. The effects of shifts in levels of construal on saving decisions","If you want to save, focus on the forest rather than on trees. The effects of shifts in levels of construal on saving decisions",2017,2017-05-26,PLoS ONE,article,en,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0178283&type=printable,https://doi.org/10.1371/journal.pone.0178283,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0178283&type=printable,1805 USD (USD 1805),Joanna Rudzińska‐Wojciechowska,Joanna Rudzińska‐Wojciechowska: https://orcid.org/0000-0003-3995-6803,PL,Uniwersytet SWPS,10.1371/journal.pone.0178283
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,https://openalex.org/W3132277440,https://doi.org/10.1044/2020_jslhr-19-00423,Developmental Language Disorder and Uninhibited Primitive Reflexes in Young Children,Developmental Language Disorder and Uninhibited Primitive Reflexes in Young Children,2021,2021-02-23,Journal of Speech Language and Hearing Research,article,en,https://pubs.asha.org/doi/pdf/10.1044/2020_JSLHR-19-00423,https://doi.org/10.1044/2020_jslhr-19-00423,https://pubs.asha.org/doi/pdf/10.1044/2020_JSLHR-19-00423,,"Maria Matuszkiewicz, Tadeusz Gałkowski",Maria Matuszkiewicz: https://orcid.org/0000-0001-7056-6171; Tadeusz Gałkowski: None,"PL, US","Google (United States), Uniwersytet SWPS",10.1044/2020_jslhr-19-00423
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,https://openalex.org/W2789660209,https://doi.org/10.1080/20008198.2018.1423831,Posttraumatic stress symptoms among Polish World War II survivors: the role of social acknowledgement,Posttraumatic stress symptoms among Polish World War II survivors: the role of social acknowledgement,2018,2018-01-01,European journal of psychotraumatology,article,en,https://www.tandfonline.com/doi/pdf/10.1080/20008198.2018.1423831?needAccess=true,https://doi.org/10.1080/20008198.2018.1423831,https://www.tandfonline.com/doi/pdf/10.1080/20008198.2018.1423831?needAccess=true,1390 GBP (USD 1704),"Maja Lis‐Turlejska, Szymon Szumiał, Iwona Drapała",Maja Lis‐Turlejska: https://orcid.org/0000-0002-7418-8566; Szymon Szumiał: https://orcid.org/0000-0002-2842-4863; Iwona Drapała: None,PL,Uniwersytet SWPS,10.1080/20008198.2018.1423831
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,https://openalex.org/W3015945398,https://doi.org/10.1017/s003329172000104x,On top or underneath: where does the general factor of psychopathology fit within a dimensional model of psychopathology?,On top or underneath: where does the general factor of psychopathology fit within a dimensional model of psychopathology?,2020,2020-04-23,Psychological Medicine,article,en,,https://doi.org/10.1017/s003329172000104x,https://www.napier.ac.uk/-/media/worktribe/output-2649977/on-top-or-underneath-where-does-the-general-factor-of-psychopathology-fit-within-a.ashx,,"Philip Hyland, Jamie Murphy, Mark Shevlin, Richard P. Bentall, Thanos Karatzias, Grace W. K. Ho, Daniel Boduszek, Eoin McElroy",Philip Hyland: https://orcid.org/0000-0002-9574-7128; Jamie Murphy: https://orcid.org/0000-0003-1821-0025; Mark Shevlin: https://orcid.org/0000-0001-6262-5223; Richard P. Bentall: https://orcid.org/0000-0001-7561-2923; Thanos Karatzias: https://orcid.org/0000-0002-3002-0630; Grace W. K. Ho: https://orcid.org/0000-0003-4703-5430; Daniel Boduszek: https://orcid.org/0000-0001-5863-2906; Eoin McElroy: https://orcid.org/0000-0001-5466-8522,"GB, HK, IE, PL","Edinburgh Napier University, Hong Kong Polytechnic University, NHS Lothian, National University of Ireland, Maynooth, University of Huddersfield, University of Leicester, University of Sheffield, University of Ulster, Uniwersytet SWPS",10.1017/s003329172000104x
