,Unnamed: 0,name,orcid,doi,title,date,journal,filename,Article_ID
0,0,Katarzyna Awruk,https://orcid.org/0000-0003-3068-6309,https://doi.org/10.1016/j.jbusres.2017.11.041,Questionnaire of entrepreneurial success - Report on the initial stage of method construction,2017,Journal of Business Research,Katarzyna_Awruk_1,10-1016_j-jbusres-2017-11-041
1,1,Jarosław Bogaczewicz,https://orcid.org/0000-0002-6728-8198,https://doi.org/10.2147/tacg.s323735,Osteopontin Gene Polymorphisms rs1126616 C>T and rs1126772 A>G are Associated with Atopic Dermatitis in Polish Population,2021-10,The Application of Clinical Genetics,Jarosław_Bogaczewicz_1,10-2147_tacg-s323735
2,2,Jarosław Bogaczewicz,https://orcid.org/0000-0002-6728-8198,https://doi.org/10.5114/aoms/128102,Interplay between IL-17 family members and angiogenic cytokines in subjects with systemic sclerosis.,2021-03-21,Archives of Medical Science,Jarosław_Bogaczewicz_2,10-5114_aoms_128102
3,3,Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.3389/fpsyg.2017.00395,Auditory-motor rhythms and speech processing in French and German listeners,2017,Frontiers in Psychology,Simone_Dalla_Bella_1,10-3389_fpsyg-2017-00395
4,4,Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.3758/s13428-016-0773-6,BAASTA: Battery for the Assessment of Auditory Sensorimotor and Timing Abilities,2017,Behavior Research Methods,Simone_Dalla_Bella_2,10-3758_s13428-016-0773-6
5,5,Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.1016/j.gaitpost.2016.09.020,Biologically-variable rhythmic auditory cues are superior to isochronous cues in fostering natural gait variability in Parkinson's disease,2017,Gait and Posture,Simone_Dalla_Bella_3,10-1016_j-gaitpost-2016-09-020
6,6,Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.1038/s41598-017-11295-w,Children and adults with Attention-Deficit/Hyperactivity Disorder cannot move to the beat,2017,Scientific Reports,Simone_Dalla_Bella_4,10-1038_s41598-017-11295-w
7,7,Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.1007/s00221-017-5080-7,Music and speech distractors disrupt sensorimotor synchronization: effects of musical training,2017,Experimental Brain Research,Simone_Dalla_Bella_5,10-1007_s00221-017-5080-7
8,8,Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.3389/fnhum.2017.00273,Music games: Potential application and considerations for rhythmic training,2017,Frontiers in Human Neuroscience,Simone_Dalla_Bella_6,10-3389_fnhum-2017-00273
9,9,Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.1007/s00221-016-4776-4,To bridge or not to bridge the multisensory time gap: bimanual coordination to sound and touch with temporal lags,2017,Experimental Brain Research,Simone_Dalla_Bella_7,10-1007_s00221-016-4776-4
10,10,Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.1016/j.bandc.2017.02.002,Walking to a multisensory beat,2017,Brain and Cognition,Simone_Dalla_Bella_8,10-1016_j-bandc-2017-02-002
11,11,Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.1016/j.neuropsychologia.2016.11.022,“Lost in time” but still moving to the beat,2017,Neuropsychologia,Simone_Dalla_Bella_9,10-1016_j-neuropsychologia-2016-11-022
12,12,Witold Dobrołowicz,https://orcid.org/0000-0001-8620-0369,https://doi.org/10.17951/j.2020.33.2.9-24,Typy umysłów,2020,"Annales Universitatis Mariae Curie-Skłodowska. Sectio J, Paedagogia-Psychologia",Witold_Dobrołowicz_1,10-17951_j-2020-33-2-9-24
13,13,Witold Dobrołowicz,https://orcid.org/0000-0001-8620-0369,empty,O umyśle menedżera w świetle nowych testów,2018,"Humanizacja Pracy  2018, nr. 4, 123-139;",Witold_Dobrołowicz_2,-502285561870061170
14,14,Witold Dobrołowicz,https://orcid.org/0000-0001-8620-0369,empty,O umyśle menedżera w świetle nowych testów,2018,Humanizacja Pracy,Witold_Dobrołowicz_3,6247109717046839838
15,15,Witold Dobrołowicz,https://orcid.org/0000-0001-8620-0369,empty,MOTYWY AKTYWNOŚCI RACJONALIZATORSKO-WYNALAZCZEJ PRACOWNIKÓW PRZEMYSŁU,unrecovered,,Witold_Dobrołowicz_4,-971367767807144987
16,16,Witold Dobrołowicz,https://orcid.org/0000-0001-8620-0369,empty,MOŻLIWOŚCI TWÓRCZE DZIECI I MŁODZIEŻY,unrecovered,,Witold_Dobrołowicz_5,3913016743437516512
