name,orcid,doi,title,date,journal,filename,Article_ID,author_id
Katarzyna Awruk,https://orcid.org/0000-0003-3068-6309,https://doi.org/10.1016/j.jbusres.2017.11.041,Questionnaire of entrepreneurial success - Report on the initial stage of method construction,2017,Journal of Business Research,Katarzyna_Awruk_1,10-1016_j-jbusres-2017-11-041,F99CF34307B2DA1303A952B6A7EE281ABFF08ACC
Jarosław Bogaczewicz,https://orcid.org/0000-0002-6728-8198,https://doi.org/10.2147/tacg.s323735,Osteopontin Gene Polymorphisms rs1126616 C>T and rs1126772 A>G are Associated with Atopic Dermatitis in Polish Population,2021-10,The Application of Clinical Genetics,Jarosław_Bogaczewicz_1,10-2147_tacg-s323735,B4D0EA8266A8E9E82AE0F9EE09F4466FF0867457
Jarosław Bogaczewicz,https://orcid.org/0000-0002-6728-8198,https://doi.org/10.5114/aoms/128102,Interplay between IL-17 family members and angiogenic cytokines in subjects with systemic sclerosis.,21/03/2021,Archives of Medical Science,Jarosław_Bogaczewicz_2,10-5114_aoms_128102,B4D0EA8266A8E9E82AE0F9EE09F4466FF0867457
Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.3389/fpsyg.2017.00395,Auditory-motor rhythms and speech processing in French and German listeners,2017,Frontiers in Psychology,Simone_Dalla_Bella_1,10-3389_fpsyg-2017-00395,4A60C379F4A772D3A5F28834F2CF50FD643714BE
Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.3758/s13428-016-0773-6,BAASTA: Battery for the Assessment of Auditory Sensorimotor and Timing Abilities,2017,Behavior Research Methods,Simone_Dalla_Bella_2,10-3758_s13428-016-0773-6,4A60C379F4A772D3A5F28834F2CF50FD643714BE
Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.1016/j.gaitpost.2016.09.020,Biologically-variable rhythmic auditory cues are superior to isochronous cues in fostering natural gait variability in Parkinson's disease,2017,Gait and Posture,Simone_Dalla_Bella_3,10-1016_j-gaitpost-2016-09-020,4A60C379F4A772D3A5F28834F2CF50FD643714BE
Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.1038/s41598-017-11295-w,Children and adults with Attention-Deficit/Hyperactivity Disorder cannot move to the beat,2017,Scientific Reports,Simone_Dalla_Bella_4,10-1038_s41598-017-11295-w,4A60C379F4A772D3A5F28834F2CF50FD643714BE
Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.1007/s00221-017-5080-7,Music and speech distractors disrupt sensorimotor synchronization: effects of musical training,2017,Experimental Brain Research,Simone_Dalla_Bella_5,10-1007_s00221-017-5080-7,4A60C379F4A772D3A5F28834F2CF50FD643714BE
Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.3389/fnhum.2017.00273,Music games: Potential application and considerations for rhythmic training,2017,Frontiers in Human Neuroscience,Simone_Dalla_Bella_6,10-3389_fnhum-2017-00273,4A60C379F4A772D3A5F28834F2CF50FD643714BE
Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.1007/s00221-016-4776-4,To bridge or not to bridge the multisensory time gap: bimanual coordination to sound and touch with temporal lags,2017,Experimental Brain Research,Simone_Dalla_Bella_7,10-1007_s00221-016-4776-4,4A60C379F4A772D3A5F28834F2CF50FD643714BE
Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.1016/j.bandc.2017.02.002,Walking to a multisensory beat,2017,Brain and Cognition,Simone_Dalla_Bella_8,10-1016_j-bandc-2017-02-002,4A60C379F4A772D3A5F28834F2CF50FD643714BE
Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.1016/j.neuropsychologia.2016.11.022,“Lost in time” but still moving to the beat,2017,Neuropsychologia,Simone_Dalla_Bella_9,10-1016_j-neuropsychologia-2016-11-022,4A60C379F4A772D3A5F28834F2CF50FD643714BE
Witold Dobrołowicz,https://orcid.org/0000-0001-8620-0369,https://doi.org/10.17951/j.2020.33.2.9-24,Typy umysłów,2020,"Annales Universitatis Mariae Curie-Skłodowska. Sectio J, Paedagogia-Psychologia",Witold_Dobrołowicz_1,10-17951_j-2020-33-2-9-24,0B07EF527DAAB8C7D24820FBFBC1AEA27D072015
Witold Dobrołowicz,https://orcid.org/0000-0001-8620-0369,empty,O umyśle menedżera w świetle nowych testów,2018,"Humanizacja Pracy  2018, nr. 4, 123-139;",Witold_Dobrołowicz_2,-5.02E+17,0B07EF527DAAB8C7D24820FBFBC1AEA27D072015
Witold Dobrołowicz,https://orcid.org/0000-0001-8620-0369,empty,O umyśle menedżera w świetle nowych testów,2018,Humanizacja Pracy,Witold_Dobrołowicz_3,6.25E+18,0B07EF527DAAB8C7D24820FBFBC1AEA27D072015
Witold Dobrołowicz,https://orcid.org/0000-0001-8620-0369,empty,MOTYWY AKTYWNOŚCI RACJONALIZATORSKO-WYNALAZCZEJ PRACOWNIKÓW PRZEMYSŁU,unrecovered,,Witold_Dobrołowicz_4,-9.71E+17,0B07EF527DAAB8C7D24820FBFBC1AEA27D072015
Witold Dobrołowicz,https://orcid.org/0000-0001-8620-0369,empty,MOŻLIWOŚCI TWÓRCZE DZIECI I MŁODZIEŻY,unrecovered,,Witold_Dobrołowicz_5,3.91E+18,0B07EF527DAAB8C7D24820FBFBC1AEA27D072015
Witold Dobrołowicz,https://orcid.org/0000-0001-8620-0369,empty,"Wybrane problemy psychologii twórczości naukowej,„",unrecovered,Kiele ckie Studia Psychologiczne,Witold_Dobrołowicz_6,4.08E+18,0B07EF527DAAB8C7D24820FBFBC1AEA27D072015
Małgorzata Anna Foryś-Nogala,https://orcid.org/0000-0001-9152-1650,https://doi.org/10.5709/acp-0340-1,Cognitive Aptitudes and Processing of L2 Grammar: Exploring the Role of Rule Inferencing Skills and Working Memory,2021-12,Advances in Cognitive Psychology,Małgorzata_Anna_Foryś-Nogala_1,10-5709_acp-0340-1,415C60226AAF01B5EADB69CD306C87EE8692C732
Małgorzata Anna Foryś-Nogala,https://orcid.org/0000-0001-9152-1650,https://doi.org/10.1016/j.cognition.2020.104477,False friends or real friends? False cognates show advantage in word form learning,2021-01,Cognition,Małgorzata_Anna_Foryś-Nogala_2,10-1016_j-cognition-2020-104477,415C60226AAF01B5EADB69CD306C87EE8692C732
Małgorzata Anna Foryś-Nogala,https://orcid.org/0000-0001-9152-1650,https://doi.org/10.1080/14790718.2020.1811710,"Cross-linguistic influences, language proficiency and metalinguistic knowledge in L3 Italian subject placement",25/09/2020,International Journal of Multilingualism,Małgorzata_Anna_Foryś-Nogala_3,10-1080_14790718-2020-1811710,415C60226AAF01B5EADB69CD306C87EE8692C732
Małgorzata Anna Foryś-Nogala,https://orcid.org/0000-0001-9152-1650,https://doi.org/10.1111/lang.12390,Learning Orthographic Cognates and Non‐Cognates in the Classroom: Does Awareness of Cross‐Linguistic Similarity Matter?,22/02/2020,Language Learning,Małgorzata_Anna_Foryś-Nogala_4,10-1111_lang-12390,415C60226AAF01B5EADB69CD306C87EE8692C732
Małgorzata Anna Foryś-Nogala,https://orcid.org/0000-0001-9152-1650,https://doi.org/10.3389/fpsyg.2017.01444,How does L1 and L2 exposure impact l1 performance in bilingual children? Evidence from Polish-English migrants to the United Kingdom,2017,Frontiers in Psychology,Małgorzata_Anna_Foryś-Nogala_5,10-3389_fpsyg-2017-01444,415C60226AAF01B5EADB69CD306C87EE8692C732
Małgorzata Anna Foryś-Nogala,https://orcid.org/0000-0001-9152-1650,https://doi.org/10.1080/10489223.2016.1179744,"Syntactic, semantic and pragmatic correlates of the acquisition of exhaustivity in Wh-questions: A study of Polish monolingual children",2017,Language Acquisition,Małgorzata_Anna_Foryś-Nogala_6,10-1080_10489223-2016-1179744,415C60226AAF01B5EADB69CD306C87EE8692C732
Małgorzata Anna Foryś-Nogala,https://orcid.org/0000-0001-9152-1650,https://doi.org/10.1080/13670050.2015.1051944,"They learn the CLIL way, but do they like it? Affectivity and cognition in upper-primary CLIL classes",2017,International Journal of Bilingual Education and Bilingualism,Małgorzata_Anna_Foryś-Nogala_7,10-1080_13670050-2015-1051944,415C60226AAF01B5EADB69CD306C87EE8692C732
Jacek Janusz Gierus,https://orcid.org/0000-0003-2532-3327,https://doi.org/10.3390/jcm9113462,The Relationship between Suicide and Oxidative Stress in a Group of Psychiatric Inpatients,28/10/2020,Journal of Clinical Medicine,Jacek_Janusz_Gierus_1,10-3390_jcm9113462,DD09E71480D5674011B8AE726B9F7DACF52FC170
Jacek Janusz Gierus,https://orcid.org/0000-0003-2532-3327,https://doi.org/10.1080/13625187.2020.1783652,Religiosity among women undergoing pregnancy termination for medical reasons: the experiences and views of Polish women,02/09/2020,The European Journal of Contraception & Reproductive Health Care,Jacek_Janusz_Gierus_2,10-1080_13625187-2020-1783652,DD09E71480D5674011B8AE726B9F7DACF52FC170
Jacek Janusz Gierus,https://orcid.org/0000-0003-2532-3327,https://doi.org/10.3390/ijerph17113895,Attitudes and Opinions of Young Gynecologists on Pregnancy Termination: Results of a Cross-Sectional Survey in Poland,31/05/2020,International Journal of Environmental Research and Public Health,Jacek_Janusz_Gierus_3,10-3390_ijerph17113895,DD09E71480D5674011B8AE726B9F7DACF52FC170
Jacek Janusz Gierus,https://orcid.org/0000-0003-2532-3327,empty,"Aggressive behaviors in patients with psychiatric disorders,Zachowania agresywne ze strony pacjentów z zaburzeniami psychicznymi",2019,Psychiatria,Jacek_Janusz_Gierus_4,3.24E+18,DD09E71480D5674011B8AE726B9F7DACF52FC170
Jacek Janusz Gierus,https://orcid.org/0000-0003-2532-3327,https://doi.org/10.1136/bmjopen-2019-029501,Multivariate analysis of biopsychosocial determinants of professional activity among patients after kidney or liver transplantation in Poland,2019,BMJ Open,Jacek_Janusz_Gierus_5,10-1136_bmjopen-2019-029501,DD09E71480D5674011B8AE726B9F7DACF52FC170
Jacek Janusz Gierus,https://orcid.org/0000-0003-2532-3327,https://doi.org/10.3390/ijerph16183413,Psychosocial Profile and Reproductive Decisions of Women Undergoing Pregnancy Termination for Medical Reasons—A Cross-Sectional Study,2019-09,International Journal of Environmental Research and Public Health,Jacek_Janusz_Gierus_6,10-3390_ijerph16183413,DD09E71480D5674011B8AE726B9F7DACF52FC170
Jacek Janusz Gierus,https://orcid.org/0000-0003-2532-3327,https://doi.org/10.1080/13625187.2019.1590698,Perceptions of attending medical staff by women accessing pregnancy termination in Poland: a qualitative study.,2019-04,The European journal of contraception & reproductive health care : the official journal of the European Society of Contraception,Jacek_Janusz_Gierus_7,10-1080_13625187-2019-1590698,DD09E71480D5674011B8AE726B9F7DACF52FC170
Jacek Janusz Gierus,https://orcid.org/0000-0003-2532-3327,empty,"Cognitive screening scale for schizophrenia (CSSS): Diagnostic efficacy in group of subjects with special rehabilitational needs,Przesiewowa Skala Funkcji Poznawczych w Schizofrenii (CSSS) - Wartość diagnostyczna w grupie osób ze specjalnymi potrzebami rehabilitacyjnymi",2018,Psychiatria,Jacek_Janusz_Gierus_8,-3.19E+18,DD09E71480D5674011B8AE726B9F7DACF52FC170
Jacek Janusz Gierus,https://orcid.org/0000-0003-2532-3327,empty,Considerations of suicidal behaviour in psychiatrically hospitalised patients. A psychological portrait of a suicidal female and male,2018,Psychiatria,Jacek_Janusz_Gierus_9,-3.57E+18,DD09E71480D5674011B8AE726B9F7DACF52FC170
Jacek Janusz Gierus,https://orcid.org/0000-0003-2532-3327,https://doi.org/10.1016/j.transproceed.2018.12.001,Determinants of professional activity after kidney and liver transplantation: Questionnaire development and validation,2018,Transplantation Proceedings,Jacek_Janusz_Gierus_10,10-1016_j-transproceed-2018-12-001,DD09E71480D5674011B8AE726B9F7DACF52FC170
