,name,orcid,link,title,date,journal
0,Katarzyna Awruk,https://orcid.org/0000-0003-3068-6309,https://doi.org/10.1016/j.jbusres.2017.11.041,Questionnaire of entrepreneurial success - Report on the initial stage of method construction,2017,Journal of Business Research
1,Jarosław Bogaczewicz,https://orcid.org/0000-0002-6728-8198,https://doi.org/10.2147/tacg.s323735,Osteopontin Gene Polymorphisms rs1126616 C>T and rs1126772 A>G are Associated with Atopic Dermatitis in Polish Population,2021-10,The Application of Clinical Genetics
2,Jarosław Bogaczewicz,https://orcid.org/0000-0002-6728-8198,https://doi.org/10.5114/aoms/128102,Interplay between IL-17 family members and angiogenic cytokines in subjects with systemic sclerosis.,2021-03-21,Archives of Medical Science
3,Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.3389/fpsyg.2017.00395,Auditory-motor rhythms and speech processing in French and German listeners,2017,Frontiers in Psychology
4,Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.3758/s13428-016-0773-6,BAASTA: Battery for the Assessment of Auditory Sensorimotor and Timing Abilities,2017,Behavior Research Methods
5,Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.1016/j.gaitpost.2016.09.020,Biologically-variable rhythmic auditory cues are superior to isochronous cues in fostering natural gait variability in Parkinson's disease,2017,Gait and Posture
6,Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.1038/s41598-017-11295-w,Children and adults with Attention-Deficit/Hyperactivity Disorder cannot move to the beat,2017,Scientific Reports
7,Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.1007/s00221-017-5080-7,Music and speech distractors disrupt sensorimotor synchronization: effects of musical training,2017,Experimental Brain Research
8,Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.3389/fnhum.2017.00273,Music games: Potential application and considerations for rhythmic training,2017,Frontiers in Human Neuroscience
9,Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.1007/s00221-016-4776-4,To bridge or not to bridge the multisensory time gap: bimanual coordination to sound and touch with temporal lags,2017,Experimental Brain Research
10,Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.1016/j.bandc.2017.02.002,Walking to a multisensory beat,2017,Brain and Cognition
11,Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.1016/j.neuropsychologia.2016.11.022,“Lost in time” but still moving to the beat,2017,Neuropsychologia
12,Witold Dobrołowicz,https://orcid.org/0000-0001-8620-0369,https://doi.org/10.17951/j.2020.33.2.9-24,Typy umysłów,2020,"Annales Universitatis Mariae Curie-Skłodowska. Sectio J, Paedagogia-Psychologia"
13,Witold Dobrołowicz,https://orcid.org/0000-0001-8620-0369,empty,O umyśle menedżera w świetle nowych testów,2018,"Humanizacja Pracy  2018, nr. 4, 123-139;"
14,Witold Dobrołowicz,https://orcid.org/0000-0001-8620-0369,empty,O umyśle menedżera w świetle nowych testów,2018,Humanizacja Pracy
15,Witold Dobrołowicz,https://orcid.org/0000-0001-8620-0369,empty,MOTYWY AKTYWNOŚCI RACJONALIZATORSKO-WYNALAZCZEJ PRACOWNIKÓW PRZEMYSŁU,unrecovered,
16,Witold Dobrołowicz,https://orcid.org/0000-0001-8620-0369,empty,MOŻLIWOŚCI TWÓRCZE DZIECI I MŁODZIEŻY,unrecovered,
17,Witold Dobrołowicz,https://orcid.org/0000-0001-8620-0369,empty,"Wybrane problemy psychologii twórczości naukowej,„",unrecovered,Kiele ckie Studia Psychologiczne
18,Małgorzata Anna Foryś-Nogala,https://orcid.org/0000-0001-9152-1650,https://doi.org/10.5709/acp-0340-1,Cognitive Aptitudes and Processing of L2 Grammar: Exploring the Role of Rule Inferencing Skills and Working Memory,2021-12,Advances in Cognitive Psychology
19,Małgorzata Anna Foryś-Nogala,https://orcid.org/0000-0001-9152-1650,https://doi.org/10.1016/j.cognition.2020.104477,False friends or real friends? False cognates show advantage in word form learning,2021-01,Cognition
20,Małgorzata Anna Foryś-Nogala,https://orcid.org/0000-0001-9152-1650,https://doi.org/10.1080/14790718.2020.1811710,"Cross-linguistic influences, language proficiency and metalinguistic knowledge in L3 Italian subject placement",2020-09-25,International Journal of Multilingualism
21,Małgorzata Anna Foryś-Nogala,https://orcid.org/0000-0001-9152-1650,https://doi.org/10.1111/lang.12390,Learning Orthographic Cognates and Non‐Cognates in the Classroom: Does Awareness of Cross‐Linguistic Similarity Matter?,2020-02-22,Language Learning
22,Małgorzata Anna Foryś-Nogala,https://orcid.org/0000-0001-9152-1650,https://doi.org/10.3389/fpsyg.2017.01444,How does L1 and L2 exposure impact l1 performance in bilingual children? Evidence from Polish-English migrants to the United Kingdom,2017,Frontiers in Psychology
23,Małgorzata Anna Foryś-Nogala,https://orcid.org/0000-0001-9152-1650,https://doi.org/10.1080/10489223.2016.1179744,"Syntactic, semantic and pragmatic correlates of the acquisition of exhaustivity in Wh-questions: A study of Polish monolingual children",2017,Language Acquisition
24,Małgorzata Anna Foryś-Nogala,https://orcid.org/0000-0001-9152-1650,https://doi.org/10.1080/13670050.2015.1051944,"They learn the CLIL way, but do they like it? Affectivity and cognition in upper-primary CLIL classes",2017,International Journal of Bilingual Education and Bilingualism
25,Jacek Janusz Gierus,https://orcid.org/0000-0003-2532-3327,https://doi.org/10.3390/jcm9113462,The Relationship between Suicide and Oxidative Stress in a Group of Psychiatric Inpatients,2020-10-28,Journal of Clinical Medicine
26,Jacek Janusz Gierus,https://orcid.org/0000-0003-2532-3327,https://doi.org/10.1080/13625187.2020.1783652,Religiosity among women undergoing pregnancy termination for medical reasons: the experiences and views of Polish women,2020-09-02,The European Journal of Contraception & Reproductive Health Care
27,Jacek Janusz Gierus,https://orcid.org/0000-0003-2532-3327,https://doi.org/10.3390/ijerph17113895,Attitudes and Opinions of Young Gynecologists on Pregnancy Termination: Results of a Cross-Sectional Survey in Poland,2020-05-31,International Journal of Environmental Research and Public Health
28,Jacek Janusz Gierus,https://orcid.org/0000-0003-2532-3327,empty,"Aggressive behaviors in patients with psychiatric disorders,Zachowania agresywne ze strony pacjentów z zaburzeniami psychicznymi",2019,Psychiatria
29,Jacek Janusz Gierus,https://orcid.org/0000-0003-2532-3327,https://doi.org/10.1136/bmjopen-2019-029501,Multivariate analysis of biopsychosocial determinants of professional activity among patients after kidney or liver transplantation in Poland,2019,BMJ Open
30,Jacek Janusz Gierus,https://orcid.org/0000-0003-2532-3327,https://doi.org/10.3390/ijerph16183413,Psychosocial Profile and Reproductive Decisions of Women Undergoing Pregnancy Termination for Medical Reasons—A Cross-Sectional Study,2019-09,International Journal of Environmental Research and Public Health
