,name,orcid,link,title,date,journal
0,Rafał Aleksandrowicz,http://orcid.org/0000-0003-4895-5415,empty,A practical approach to individualisation of the learning process,2020-04,Hejnał Oświatowy
1,Rafał Aleksandrowicz,http://orcid.org/0000-0003-4895-5415,empty, Book review: Scientific writing of students. ,2020-02,Hejnał Oświatowy
2,Rafał Aleksandrowicz,http://orcid.org/0000-0003-4895-5415,https://doi.org/10.14632/nis.2019.69.35,Global and Polisensoric Strengthening of Primary School Students in Initial Classes,2019-11-07,Nauczyciel i Szkoła
3,Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.1177/0084672421994199,Three decades of the Polish psychology of religion (1989–2020),2021-07-05,Archive for the Psychology of Religion
4,Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.4467/25444972smpp.20.017.12333,Polscy migranci i norweska służba zdrowia: badanie pilotażowe,2020,Studia Migracyjne – Przegląd Polonijny
5,Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.1177/0084672420926259,Which psychology(ies) serves us best? Research perspectives on the psycho-cultural interface in the psychology of religion(s),2020-11-07,Archive for the Psychology of Religion
6,Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.1080/0048721x.2019.1681078,Psychology of religion(s) and religious studies: into the future,2020-01-02,Religion
7,Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.1080/10508619.2019.1687197,The Replication Crisis and Qualitative Research in the Psychology of Religion,2019-10-02,The International Journal for the Psychology of Religion
8,Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.5604/01.3001.0013.2969,Wielokulturowość nowym wyzwaniem etycznym w pracy polskich psychologów szkolnych i akademickich,2019-06-30,Psychologia wychowawcza
9,Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.5604/01.3001.0013.2968,Wielokulturowość w pracy psychologa: etyka i praktyka w kontekście diagnozy klinicznej i pracy terapeutycznej,2019-06-30,Psychologia wychowawcza
10,Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.4467/20843860pk.18.015.9193,Konceptualizacje snu i marzeń sennych w kulturach indygenicznych : perspektywa psycho-kulturowa,2018,Przegląd kulturoznawczy
11,Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.1080/01416200.2016.1209457,Religious discrimination discourse in the mono-cultural school: the case of Poland,2018,British Journal of Religious Education
12,Adam Anczyk,https://orcid.org/0000-0001-6906-3104,empty,Pluralism of methods in religious studies: A swot analysis,2017,Anthropos
13,Adam Anczyk,https://orcid.org/0000-0001-6906-3104,empty,The Sacred Texts Experiment : images of religious Others and their role in forming attitudes towards accepting Muslim refugees in Poland ,2017,Studia Migracyjne - Przegląd Polonijny
14,Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.1558/pome.33300,Women of power: The image of the witch and feminist movements in Poland,2017,Pomegranate
15,Jacek Bielas,https://orcid.org/0000-0001-9771-4162,https://doi.org/10.35765/rfi.2021.2702.15,Inhibition of Return (IOR): Is it Consciousness of an Object without Attention or Attention without an Object and Consciousness?,2021-12-30,Rocznik Filozoficzny Ignatianum
16,Jacek Bielas,https://orcid.org/0000-0001-9771-4162,https://doi.org/10.1177/0033294119900348,Beta Neurofeedback Training Improves Attentional Control in the Elderly,2021-02-14,Psychological Reports
17,Jacek Bielas,https://orcid.org/0000-0001-9771-4162,https://doi.org/10.1111/ejn.14773,Preparation of saccade sequences and eye programming affect endogenous covert attention,2020-09-22,European Journal of Neuroscience
18,Jacek Bielas,https://orcid.org/0000-0001-9771-4162,https://doi.org/10.1177/0959354319834672,Is the premotor theory of attention essentially about pre-reflective intentionality?,2019-12-21,Theory & Psychology
19,Jacek Bielas,https://orcid.org/0000-0001-9771-4162,https://doi.org/10.1007/s00221-019-05537-8,The gap effect reduces both manual and saccadic inhibition of return (IOR),2019-07,Experimental Brain Research
20,Jacek Bielas,https://orcid.org/0000-0001-9771-4162,https://doi.org/10.1016/j.neulet.2017.11.035,Is saccade preparation required for inhibition of return (IOR)?,2018-02,Neuroscience Letters
21,Jacek Bielas,https://orcid.org/0000-0001-9771-4162,empty,The view from within the brain: Does neurofeedback close the gap? ,2017,Journal of Consciousness Studies
22,Stefan Frydrychowicz,https://orcid.org/0000-0001-8318-6880,https://doi.org/10.14746/cis.2020.50.2,Komunikacja interpersonalna w interakcjach społecznych,2020-12-15,Człowiek i Społeczeństwo
23,Tomasz Grzegorek,https://orcid.org/0000-0002-8317-4158,empty,Czy jest jakiś pożytek ze studenckiej ankiety do ewaluacji zajęć?,2021-02,Nauka
24,Halina Grzymała-Moszczyńska,https://orcid.org/0000-0003-2751-3204,https://doi.org/10.4467/25444972smpp.20.017.12333,Polscy migranci i norweska służba zdrowia: badanie pilotażowe,2020,Studia Migracyjne – Przegląd Polonijny
25,Halina Grzymała-Moszczyńska,https://orcid.org/0000-0003-2751-3204,https://doi.org/10.1177/0084672420926259,Which psychology(ies) serves us best? Research perspectives on the psycho-cultural interface in the psychology of religion(s),2020-11-07,Archive for the Psychology of Religion
26,Halina Grzymała-Moszczyńska,https://orcid.org/0000-0003-2751-3204,https://doi.org/10.1080/0048721x.2019.1681078,Psychology of religion(s) and religious studies: into the future,2020-01-02,Religion
27,Halina Grzymała-Moszczyńska,https://orcid.org/0000-0003-2751-3204,https://doi.org/10.1080/10508619.2019.1687197,The Replication Crisis and Qualitative Research in the Psychology of Religion,2019-10-02,The International Journal for the Psychology of Religion
28,Halina Grzymała-Moszczyńska,https://orcid.org/0000-0003-2751-3204,empty,Pluralism of Methods in Religious Studies,2017,Anthropos
29,Halina Grzymała-Moszczyńska,https://orcid.org/0000-0003-2751-3204,empty,Psychological and educational counseling centers in the face of children and adolescents immigrating back to Poland,2017,Psychologia Wychowawcza
30,Halina Grzymała-Moszczyńska,https://orcid.org/0000-0003-2751-3204,empty,The sacred text experiment : images of religious others and their role in forming attitudes towards accepting Muslim refugees in Poland,2017,Przegląd Migracyjny
31,Ewa Jaglarz,https://orcid.org/0000-0001-8754-8770,empty,Aspiracje i plany życiowe młodzieży gimnazjum integracyjnego,2018,Niepełnosprawność i Rehabilitacja. nr 4
32,Ewa Jaglarz,https://orcid.org/0000-0001-8754-8770,empty,Jakościowa charakterystyka stylu zarządzania miejscem pracy ze względu na warunki sprzyjające zatrudnianiu osób z niepełnosprawnością,2018,Niepełnosprawność. Dyskursy pedagogiki specjalnej
