,name,orcid,link,title,date,journal
0,Łukasz Baka,https://orcid.org/0000-0003-1173-9874,https://doi.org/10.3390/ijerph18157730,How Is Work Ability Shaped in Groups of Shift and Non-Shift Workers? A Comprehensive Approach to Job Resources and Mediation Role of Emotions at Work,2021-07,International Journal of Environmental Research and Public Health
1,Łukasz Baka,https://orcid.org/0000-0003-1173-9874,https://doi.org/10.13075/mp.5893.01115,What is job crafting? Review of theoretical models of job crafting,01/07/2021,Medycyna Pracy
2,Łukasz Baka,https://orcid.org/0000-0003-1173-9874,https://doi.org/10.13075/ijomeh.1896.01745,Coronavirus anxiety and exhaustion among Polish front-line healthcare workers – the mediation effect of insomnia,27/05/2021,International Journal of Occupational Medicine and Environmental Health
3,Łukasz Baka,https://orcid.org/0000-0003-1173-9874,https://doi.org/10.24425/ppb.2019.126022,Can job control be counterproductive? The moderation effect of the Dark Triad and job control on job stressor – counterproductive work behavior link,2019,Polish Psychological Bulletin
4,Łukasz Baka,https://orcid.org/0000-0003-1173-9874,https://doi.org/10.13075/ijomeh.1896.01425,"Explaining active and passive types of counterproductive work behavior: The moderation effect of bullying, the dark triad and job control",2019,International Journal of Occupational Medicine and Environmental Health
5,Łukasz Baka,https://orcid.org/0000-0003-1173-9874,https://doi.org/10.5604/01.3001.0013.2411,Wybrane metody profilaktyki stresu wśród personelu medycznego psychiatrycznej opieki zdrowotnej,2019,Bezpieczeństwo Pracy. Nauka i Praktyka
6,Łukasz Baka,https://orcid.org/0000-0003-1173-9874,https://doi.org/10.13075/ijomeh.1896.00.01187,Development and validation of the polish version of colquitt’s organizational justice measure,2018,International Journal of Occupational Medicine and Environmental Health
7,Łukasz Baka,https://orcid.org/0000-0003-1173-9874,https://doi.org/10.13075/ijomeh.1896.01187,Development and validation of the Polish version of Colquitt’s Organizational Justice Measure,2018,International Journal of Occupational Medicine and Environmental Health
8,Łukasz Baka,https://orcid.org/0000-0003-1173-9874,https://doi.org/10.14691/cppj.24.3.481,Mechanizmy kształtowania się zdolności do pracy w świetle modelu wymagania w pracy - zasoby,2018,Czasopismo Psychologiczne -Pychological Journal
9,Łukasz Baka,https://orcid.org/0000-0003-1173-9874,https://doi.org/10.5604/01.3001.0010.8528,Stres w pracy personelu medycznego psychiatrycznej opieki zdrowotnej – przegląd badań,2018,Bezpieczeństwo Pracy. Nauka i Praktyka
10,Łukasz Baka,https://orcid.org/0000-0003-1173-9874,https://doi.org/10.1080/09585192.2018.1443962,Types of job demands make a difference. Testing the job demand-control-support model among Polish police officers,2018,International Journal of Human Resource Management
11,Łukasz Baka,https://orcid.org/0000-0003-1173-9874,https://doi.org/10.1080/10803548.2018.1463670,When do the ‘dark personalities’ become less counterproductive? The moderating role of job control and social support,2018,International Journal of Occupational Safety and Ergonomics
12,Łukasz Baka,https://orcid.org/0000-0003-1173-9874,https://doi.org/10.13075/mp.5893.00569,"Norwegian teacher self-efficacy scale – psychometric properties of the Polish version of the scale,Norweska Skala Poczucia Własnej Skuteczności Nauczycieli – psychometryczne właściwości polskiej wersji narzędzia",2017,Medycyna Pracy
13,Natalia Elżbieta Banasik-Jemielniak,https://orcid.org/0000-0003-4568-3231,https://doi.org/10.1017/s0272263119000408,"BILINGUAL CHILDREN’S PHONOLOGY SHOWS EVIDENCE OF TRANSFER, BUT NOT DECELERATION IN THEIR L1",06/03/2020,Studies in Second Language Acquisition
14,Natalia Elżbieta Banasik-Jemielniak,https://orcid.org/0000-0003-4568-3231,https://doi.org/10.1371/journal.pone.0228538,“Wonderful! We’ve just missed the bus.” – Parental use of irony and children’s irony comprehension,21/02/2020,PLOS ONE
15,Natalia Elżbieta Banasik-Jemielniak,https://orcid.org/0000-0003-4568-3231,https://doi.org/10.1007/s10936-019-09654-x,Children’s Comprehension of Irony: Studies on Polish-Speaking Preschoolers,2019-10,Journal of Psycholinguistic Research
16,Natalia Elżbieta Banasik-Jemielniak,https://orcid.org/0000-0003-4568-3231,https://doi.org/10.1080/02699206.2019.1637458,Language assessment of monolingual and multilingual children using non-word and sentence repetition tasks,10/07/2019,Clinical Linguistics & Phonetics
