,name,orcid,link,title,date,journal
0,Łukasz Bola,https://orcid.org/0000-0003-3774-8664,https://doi.org/10.1016/j.neuroimage.2020.117613,Brain plasticity dynamics during tactile Braille learning in sighted subjects: Multi-contrast MRI approach,2021,NeuroImage
1,Łukasz Bola,https://orcid.org/0000-0003-3774-8664,https://doi.org/10.1007/s11682-020-00346-y,Early deafness leads to re-shaping of functional connectivity beyond the auditory cortex,2021,Brain Imaging and Behavior
2,Łukasz Bola,https://orcid.org/0000-0003-3774-8664,https://doi.org/10.1016/j.neuroimage.2020.117544,Functional reorganization of the reading network in the course of foreign language acquisition,2021,NeuroImage
3,Łukasz Bola,https://orcid.org/0000-0003-3774-8664,https://doi.org/10.1016/j.cortex.2020.10.025,The role of the superior parietal lobule in lexical processing of sign language: Insights from fMRI and TMS,2021,Cortex
4,Łukasz Bola,https://orcid.org/0000-0003-3774-8664,https://doi.org/10.1523/jneurosci.2242-20.2021,Temporal Dynamics of Brain White Matter Plasticity in Sighted Subjects during Tactile Braille Learning: A Longitudinal Diffusion Tensor Imaging Study.,2021-07,The Journal of neuroscience : the official journal of the Society for Neuroscience
5,Łukasz Bola,https://orcid.org/0000-0003-3774-8664,https://doi.org/10.1002/hbm.25229,Multimodal imaging of brain reorganization in hearing late learners of sign language.,2020-10,Human brain mapping
6,Łukasz Bola,https://orcid.org/0000-0003-3774-8664,https://doi.org/10.1016/j.cub.2020.05.071,"Decoding Natural Sounds in Early ""Visual"" Cortex of Congenitally Blind Individuals.",2020-06,Current biology : CB
0,Łukasz Bola,https://orcid.org/0000-0003-3774-8664,https://doi.org/10.1016/j.neuroimage.2019.116084,Functional hierarchy for tactile processing in the visual cortex of sighted adults,2019-11,NeuroImage
8,Łukasz Bola,https://orcid.org/0000-0003-3774-8664,https://doi.org/10.3389/fnhum.2018.00393,Letter and Speech Sound Association in Emerging Readers With Familial Risk of Dyslexia,2018-10-02,Frontiers in Human Neuroscience
9,Łukasz Bola,https://orcid.org/0000-0003-3774-8664,https://doi.org/10.3389/fpsyg.2017.00514,Universal Visual Features Might Be Necessary for Fluent Reading. A Longitudinal Study of Visual Reading in Braille and Cyrillic Alphabets.,2017,Frontiers in Psychology
