,name,orcid,link,title,date,journal
0,Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.1038/s41467-021-25207-0,A pre-registered short-term forecasting study of COVID-19 in Germany and Poland during the second wave,2021-12,Nature Communications
1,Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.1007/s10899-021-10015-4,"Online Gambling Activity, Pay-to-Win Payments, Motivation to Gamble and Coping Strategies as Predictors of Gambling Disorder Among e-sports Bettors",2021-12-10,Journal of Gambling Studies
2,Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.13075/ijomeh.1896.01700,"The quality of life, resources, and coping during the first weeks of the COVID‑19 pandemic in people seeking psychological counselling before the pandemic",2021-05-27,International Journal of Occupational Medicine and Environmental Health
3,Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.1016/j.chb.2020.106592,Pay for play – Behavioural patterns of pay-to-win gaming,2021-02,Computers in Human Behavior
4,Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.17951/j.2020.33.3.123-144,The Development and Psychometric Properties of the Polish Version of the Self-Control Scale,2020-10-30,"Annales Universitatis Mariae Curie-Skłodowska, sectio J – Paedagogia-Psychologia"
5,Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.18290/rpsych20231-1,Is the Structure of the Strategic Approach to Coping Scale Cross-Culturally Stable? Evidence Based on a Scoping Literature Review,2020-09-10,Roczniki Psychologiczne
6,Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.18290/rpsych20231-2,The Polish Adaptation of the Strategic Approach to Coping Scale,2020-09-10,Roczniki Psychologiczne
7,Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.1080/13674676.2019.1586861,"Readiness to Engage in Interreligious Dialogue Test – internal structure, reliability and validity",2020-07-02,"Mental Health, Religion & Culture"
8,Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.1080/13674676.2019.1623766,Theory-driven measurement of the content of prayer: Polish revision of S. Huber’s Content of Prayer Scale,2020-07-02,"Mental Health, Religion & Culture"
9,Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.1177/0004865819890379,Problem gambling among male Polish prisoners: A study of prevalence and psychosocial factors,2020-06-05,Australian & New Zealand Journal of Criminology
10,Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.3390/rel11020064,Centrality of Religiosity Scale in Polish Research: A Curvilinear Mechanism that Explains the Categories of Centrality of Religiosity,2020-01-29,Religions
11,Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.3390/ijerph17020404,The Prevalence of E-Gambling and of Problem E-Gambling in Poland,2020-01-08,International Journal of Environmental Research and Public Health
12,Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,empty,Analiza strukturalna zasobów u osób zagrożonych marginalizacją społeczną – Kwestionariusz Zachowania Zasobów Hobfolla,2019,Przegląd Psychologiczny
13,Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.26325/genpr.2019.1.1,Classic anatomical models are still effective in the didactics of human anatomy,2019,General and Professional Education
14,Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,empty,Psychometric validation of the Adolescence Deconversion Scale,2019,Przegląd Psychologiczny
15,Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,empty,Structural analysis of resources  in those at risk of social marginalization – Hobfoll’s Conservation of Resources Evaluation,2019,Przegląd Psychologiczny
16,Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,empty,Walidacja psychometryczna Skali Dekonwersji Młodzieży,2019,Przegląd Psychologiczny
17,Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.18290/rpsych.2017.20.1-5en,A structural analysis of deconversion processes in adolescence: The construction of the Adolescent Deconversion Scale,2017,Roczniki Psychologiczne
18,Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.18290/rpsych.2017.20.1-5pl,Analiza strukturalna procesów dekonwersji w okresie dojrzewania – konstrukcja Skali Dekonwersji Adolescentów,2017,Roczniki Psychologiczne
19,Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.18290/rpsych.2017.20.1-1pl,Oblicza psychologii religii w Polsce,2017,Roczniki Psychologiczne
20,Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.18290/rpsych.2017.20.1-1en,The faces of religiosity in Poland,2017,Roczniki Psychologiczne
21,Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,empty,Tożsamość religijna a gotowość do wejścia w dialog międzyreligijny,2017,Przegląd Religioznawczy
22,Wacław Jan Bąk,https://orcid.org/0000-0001-8629-6292,https://doi.org/10.1017/s0144686x21001689,Relationship between self-assessed health and life satisfaction in older adults: the moderating role of ego-resiliency,2021-11-15,Ageing and Society
23,Wacław Jan Bąk,https://orcid.org/0000-0001-8629-6292,https://doi.org/10.5114/cipp.2021.104801,Euthymia: a neglected aspect of trait depression and its role in predicting subjective well-being,2021-04-10,Current Issues in Personality Psychology
24,Wacław Jan Bąk,https://orcid.org/0000-0001-8629-6292,https://doi.org/10.18290/rpsych20234-1,In Search for the Adaptive Self: A Model of Adaptive Self-Concept,2021-03-19,Roczniki Psychologiczne
25,Wacław Jan Bąk,https://orcid.org/0000-0001-8629-6292,https://doi.org/10.1016/j.paid.2021.110815,Domains of intellectual humility: Self-esteem and narcissism as independent predictors,2021-03-10,Personality and Individual Differences
26,Wacław Jan Bąk,https://orcid.org/0000-0001-8629-6292,https://doi.org/10.24425/ppb.2020.134725,Self-standards in late adulthood. Perceived health as a moderator of the relationship between self-discrepancy and affect,2020-12-08,Polish Psychological Bulletin
