,name,orcid,link,title,date,journal
0,Maria Borczykowska-Rzepka,https://orcid.org/0000-0002-8915-0042,empty,O zjawisku samotności wśród młodzieży z chorobami skórno-nerwowymi – rozważania teoretyczno-empiryczne,2020,Zeszyty Naukowe Państwowej Wyższej Szkoły Zawodowej im. Witelona w Legnicy
1,Maria Borczykowska-Rzepka,https://orcid.org/0000-0002-8915-0042,https://doi.org/10.34697/2451-0858-pis-2020-1-004,Poczucie satysfakcji i sensu życia u matek dzieci z dystrofią mieśniową Duchenne'a- rozważania teoretyczno empiryczne.,2020,Państwo i Społeczeństwo
2,Maria Borczykowska-Rzepka,https://orcid.org/0000-0002-8915-0042,empty,Adolescents perception of parenting styles as a correlate of their styles of coping with stress,2019,Zeszyty Naukowe Państwowej Wyższej Szkoły Zawodowej im. Witelona w Legnicy
3,Maria Borczykowska-Rzepka,https://orcid.org/0000-0002-8915-0042,empty,Młodzież gimnazjalna w obliczu niepełnosprawności członka rodziny-doniesienie z badań nad samotnością rodzeństwa dzieci z mózgowym porażeniem dziecięcym.,2019,Zeszyty Naukowe Państwowej Wyższej Szkoły Zawodowej im. Witelona w Legnicy
4,Maria Borczykowska-Rzepka,https://orcid.org/0000-0002-8915-0042,empty,O potrzebie poszukiwania korelatów satysfakcji z życia matek z dziećmi z dystrofią mięśniową Duchenne'a - rozważania teoretyczno-empiryczne.,2019,Zeszyty Naukowe PWSZ im.Witelona w Legnicy
5,Maria Borczykowska-Rzepka,https://orcid.org/0000-0002-8915-0042,empty,Paradoks problemu samotności na przykładzie chorych ze sclerosis multiplex (SM),2018,Czasopismo Psychologiczne
6,Maria Borczykowska-Rzepka,https://orcid.org/0000-0002-8915-0042,https://doi.org/10.20883/pielpol.2017.52,Ocena jakości życia rodzin/opiekunów osób chorych na stwardnienie rozsiane dokonana w świetle przeprowadzonych badań,2017,Pielęgniarstwo Polskie
7,Maria Borczykowska-Rzepka,https://orcid.org/0000-0002-8915-0042,empty,Samotność czynnikiem ryzyka zachowań agresywnych wśród wychowanków placówek opiekuńczo-wychowawczych,2017,Zeszyty Naukowe Państwowej Wyższej Szkoły Zawodowej im. Witelona w Legnicy
8,Anna Czerniak,https://orcid.org/0000-0003-1020-7307,empty,Serving two masters – What kind of resistance to influence allows maintaining a positive image?,2018-12-28,Social Psychological Bulletin
9,Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.21307/ane-2021-017,The neural substrates of diminished humor comprehension in schizophrenia and its relationship with psychopathology,2021-05,Acta Neurobiologiae Experimentalis
10,Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.12740/pp/131533,The relationships of need for closure dimensions with psychotic-like experiences and jumping to conclusions. A study of a large cross-population sample,2021-04-30,Psychiatria Polska
11,Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.12740/pp/onlinefirst/116579,"Sheltered employment in schizophrenia is related to disorganization symptoms, processing speed and metaphor comprehension",2020-10-31,Psychiatria Polska
12,Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.12740/pp/onlinefirst/115554,Premorbid social relationships and the course of schizophrenia in a 20-year follow-up study,2020-06-30,Psychiatria Polska
13,Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.1016/j.comppsych.2019.152149,Humor perception in schizophrenia appears to be related to disorganization syndrome,2020-01,Comprehensive Psychiatry
14,Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.5114/ppn.2018.81364,"Associations of insight and treatment adherence with employment status of people with schizophrenia,Wgląd i współpraca w leczeniu a zatrudnienie osób chorujących na schizofrenię",2019,Postepy Psychiatrii i Neurologii
15,Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.1016/j.schres.2019.05.008,Dynamics of impaired humour processing in schizophrenia – An EEG effective connectivity study,2019,Schizophrenia Research
16,Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.1111/eip.12829,"Mediating role of cognitive biases, resilience and depressive symptoms in the relationship between childhood trauma and psychotic-like experiences in young adults",2019,Early Intervention in Psychiatry
17,Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.1016/j.jad.2019.05.008,Resilience and cognitive biases mediate the relationship between early exposure to traumatic life events and depressive symptoms in young adults,2019,Journal of Affective Disorders
18,Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.1016/j.schres.2018.01.004,Diminished activation of the right Inferior Parietal Lobule as a neural substrate of impaired cartoon-jokes comprehension in schizophrenia outpatients,2018,Schizophrenia Research
19,Artur Daren,https://orcid.org/0000-0003-1851-9911,empty,Forms of aggression in women experiencing violence in their intimate relationships,2018,Psychoterapia
20,Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.1016/j.nicl.2017.06.005,Neural circuit of verbal humor comprehension in schizophrenia - an fMRI study,2017,NeuroImage: Clinical
21,Agnieszka Fusińska-Korpik,https://orcid.org/0000-0003-3520-1315,https://doi.org/10.12740/pt/128972,Aspekty terapeutyczne oddziału zamkniętego,2020,Psychoterapia
22,Agnieszka Fusińska-Korpik,https://orcid.org/0000-0003-3520-1315,https://doi.org/10.1007/s12144-020-00797-y,The revised Edward Zigler-Yale Personality Questionnaire for persons with intellectual disability: A new four-factor structure in confirmatory factor analysis,2020,Current Psychology
23,Agnieszka Fusińska-Korpik,https://orcid.org/0000-0003-3520-1315,empty,Jak rozwiązać konflikt? Narzędzia skutecznej komunikacji w sytuacjach trudnych,2018,Lekarz Rodzinny
24,Dorota Jasiecka,https://orcid.org/0000-0002-8017-032X,https://doi.org/10.34938/z92d-kd44,Psychosomatic Risk from Perspective of Attachment Trauma and Body Self Disorders,2019,Sztuka Leczenia
