,name,orcid,link,title,date,journal
0,Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.1080/17522439.2021.1945664,Cognitive and personality predictors of trait resilience in young people with psychosis proneness: an exploratory study,2021-07-05,Psychosis
1,Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.12740/pp/onlinefirst/115554,Premorbid social relationships and the course of schizophrenia in a 20-year follow-up study,2020-06-30,Psychiatria Polska
2,Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.1093/schbul/sbaa030.377,M65. INTERPLAY OF TRAIT RESILIENCE WITH NEUROCOGNITIVE FUNCTIONING AND PERSONALITY CHARACTERISTICS IN YOUNG PEOPLE WITH PUTATIVE ‘AT RISK MENTAL STATE’,2020-05-18,Schizophrenia Bulletin
3,Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.1111/eip.12829,"Mediating role of cognitive biases, resilience and depressive symptoms in the relationship between childhood trauma and psychotic-like experiences in young adults.",2019-05,Early intervention in psychiatry
4,Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.1016/j.jad.2019.05.008,Resilience and cognitive biases mediate the relationship between early exposure to traumatic life events and depressive symptoms in young adults.,2019-05,Journal of affective disorders
5,Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.12740/pp/91915,Differences in subjective quality of life of people with a schizophrenia diagnosis between participants in Occupational Therapy Workshops and those working in a Sheltered Employment Establishment.,2019-02,Psychiatria polska
6,Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.1016/j.psychres.2019.01.044,A combination of self-disturbances and psychotic-like experiences. A cluster analysis study on a non-clinical sample in Poland.,2019-01,Psychiatry research
7,Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.12740/pp/onlinefirst/79835,Mental rotation task in bipolar disorder.,2018-10,Psychiatria polska
8,Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.1080/07420528.2018.1463236,"Associations between chronotype, sleep disturbances and seasonality with fatigue and inflammatory bowel disease symptoms.",2018-05,Chronobiology international
9,Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.1016/j.jad.2018.02.017,"The role of affective temperaments assessed by the Temperament Evaluation of Memphis, Pisa and San Diego-Autoquestionnaire (TEMPS-A) in the relationship between morningness-eveningness and bipolarity.",2018-02,Journal of affective disorders
