,name,orcid,link,title,date,journal
0,Krystyna Elżbieta Adamska,https://orcid.org/0000-0002-3605-3919,https://doi.org/10.5114/cipp.2017.68335,Adaptation of the four forms of employee silence scale in a Polish sample,2017,Current Issues in Personality Psychology
1,Krystyna Elżbieta Adamska,https://orcid.org/0000-0002-3605-3919,https://doi.org/10.7366/1896180020174307,Skala emocjonalnego nastawienia wobec organizacji (SENO) - konstrukcja i właściwości psychometryczne narzędzia,2017,Psychologia Społeczna
2,Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,https://doi.org/10.1016/j.psyneuen.2021.105294,(Re-)activity in the caregiving situation: Genetic diversity within Oxytocin–Vasopressin Pathway is associated with salivary oxytocin and vasopressin concentrations in response to contact with a crying infant-simulator,2021-09,Psychoneuroendocrinology
3,Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,https://doi.org/10.3390/ijerph18094815,Empathy and Hormonal Changes as Predictors of Sensitive Responsiveness towards Infant Crying: A Study Protocol,2021-04-30,International Journal of Environmental Research and Public Health
4,Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,empty,Validation of the Parental Responsiveness Scale,2021-04-10,Current Issues in Personality Psychology
5,Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,empty,"Diagnosis of children with sanfilippo disease – psychological, social and motor assessment",2020,Acta Neuropsychologica
6,Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,https://doi.org/10.3390/ijerph17218050,Do physical activity and personality matter for hair cortisol concentration and self-reported stress in pregnancy? A pilot cross-sectional study,2020,International Journal of Environmental Research and Public Health
7,Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,empty,Dystrofia mięśniowa Duchenne'a - funkcjonowanie poznawcze,2020,
8,Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,https://doi.org/10.1002/mgg3.1356,Untypically mild phenotype of a patient suffering from Sanfilippo syndrome B with the c.638C>T/c.889C>T (p.Pro213Leu/p.Arg297Ter) mutations in the NAGLU gene,2020-09,Molecular Genetics & Genomic Medicine
9,Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,https://doi.org/10.1080/03004430.2020.1753719,Parental negative emotionality and emotional reactions to child’s crying: the mediating role of child’s temperament,2020-05-13,Early Child Development and Care
10,Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,empty,Wybrane aspekty poznawczego funkcjonowania dorosłego rodzeństwa z galaktozemią klasyczną,2019,Psychiatria
11,Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,empty,Aktualizacja-siebie rodziców dzieci z dystrofią mięśniową Duchenne’a,2018,"Niepełnosprawność - Zagadnienia, Problemy, Rozwiązania"
12,Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,https://doi.org/10.5604/01.3001.0011.8321,Cognitive functioning and autonomy of patients with Duchenne muscular dystrophy,2018,Acta Neuropsychologica
13,Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,empty,Dysmorfie twarzy w zwierciadle społecznych ustosunkowań,2018,
14,Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,empty,Empathic parenting - dimensions of empathy and attachment as predictors of the responsiveness of mothers and fathers towards toddlers/infants ,unrecovered,Przegląd Psychologiczny
15,Paweł Andrzej Atroszko,https://orcid.org/0000-0001-5707-3882,https://doi.org/10.1007/s12144-021-01554-5,A solution for factorial validity testing of three-item scales: an example of tau-equivalent strict measurement invariance of three-item loneliness scale,2021,Current Psychology
16,Paweł Andrzej Atroszko,https://orcid.org/0000-0001-5707-3882,https://doi.org/10.1016/j.paid.2021.111299,Attitudes to AI among high school students: understanding distrust towards humans will not help us understand distrust towards AI,2021,Personality and Individual Differences
17,Paweł Andrzej Atroszko,https://orcid.org/0000-0001-5707-3882,https://doi.org/10.1007/s10943-021-01350-2,Is there a general factor of spiritual intelligence? Factorial validity of the Polish adaptation of Spiritual Intelligence Self-Report Inventory,2021,Journal of Religion and Health
18,Paweł Andrzej Atroszko,https://orcid.org/0000-0001-5707-3882,https://doi.org/10.1007/s12144-021-01712-9,Measurement of shopping addiction and its relationship with personality traits and well-being among Polish undergraduate students,2021,Current Psychology
19,Paweł Andrzej Atroszko,https://orcid.org/0000-0001-5707-3882,https://doi.org/10.1016/j.addbeh.2021.106941,"Profiles of potential behavioral addictions' severity and their associations with gender, personality, and well-being: A person-centered approach",2021,Addictive Behaviors
