,name,orcid,link,title,date,journal
0,Cengiz Acartürk,https://orcid.org/0000-0002-5443-6868,https://doi.org/10.1109/access.2021.3068961,Anomaly-Based Intrusion Detection by Machine Learning: A Case Study on Probing Attacks to an Institutional Network,2021,IEEE Access
1,Cengiz Acartürk,https://orcid.org/0000-0002-5443-6868,https://doi.org/10.1109/access.2021.3049200,Malicious Code Detection: Run Trace Output Analysis by LSTM,2021,IEEE Access
2,Cengiz Acartürk,https://orcid.org/0000-0002-5443-6868,https://doi.org/10.16910/jemr.14.1.1,Gaze aversion in conversational settings: An investigation based on mock job interview,2021-05-19,Journal of Eye Movement Research
3,Cengiz Acartürk,https://orcid.org/0000-0002-5443-6868,https://doi.org/10.1155/2021/8842420,The Role of Visual Features in Text-Based CAPTCHAs: An fNIRS Study for Usable Security,2021-05-04,Computational Intelligence and Neuroscience
4,Cengiz Acartürk,https://orcid.org/0000-0002-5443-6868,https://doi.org/10.1080/10447318.2020.1823688,Integrating Mobile Multimodal Interactions based on Programming By Demonstration​,2021-03-16,International Journal of Human–Computer Interaction
5,Cengiz Acartürk,https://orcid.org/0000-0002-5443-6868,https://doi.org/10.1177/1747021820963310,Eye movement control in Turkish sentence reading,2021-02-21,Quarterly Journal of Experimental Psychology
6,Cengiz Acartürk,https://orcid.org/0000-0002-5443-6868,https://doi.org/10.1049/ise2.12005,Continuous improvement on maturity and capability of Security Operation Centres,2021-01,IET Information Security
7,Cengiz Acartürk,https://orcid.org/0000-0002-5443-6868,https://doi.org/10.1098/rstb.2017.0126,"Gender is not simply a matter of black and white, or is it?",2018,Philosophical Transactions of the Royal Society B: Biological Sciences
8,Cengiz Acartürk,https://orcid.org/0000-0002-5443-6868,https://doi.org/10.16910/jemr.11.6.2,MAGiC: A multimodal framework for analysing gaze in dyadic communication,2018-11-12,Journal of Eye Movement Research
9,Cengiz Acartürk,https://orcid.org/0000-0002-5443-6868,https://doi.org/10.1080/03075079.2017.1414780,Multi-authoring and its impact on university rankings: a case study of CERN effect on Turkish universities,2017,Studies in Higher Education
10,Cengiz Acartürk,https://orcid.org/0000-0002-5443-6868,https://doi.org/10.1080/00220973.2016.1143793,Secondary-Task Effects on Learning With Multimedia: An Investigation Through Eye-Movement Analysis,2017,Journal of Experimental Education
11,Dariusz Asanowicz,https://orcid.org/0000-0001-7475-2086,https://doi.org/10.1162/jocn_a_01727,Selection for Action: The Medial Frontal Cortex Is an Executive Hub for Stimulus and Response Selection,2021-07-01,Journal of Cognitive Neuroscience
12,Dariusz Asanowicz,https://orcid.org/0000-0001-7475-2086,https://doi.org/10.3758/s13414-019-01958-3,Phasic alerting facilitates endogenous orienting of spatial attention: Evidence from event-related lateralizations of the EEG,2020-05-06,"Attention, Perception, & Psychophysics"
