,name,orcid,link,title,date,journal
0,Ryszarda Ewa Bernacka,https://orcid.org/0000-0002-5919-3076,https://doi.org/10.17951/j.2020.33.3.247-260,Coping with Stress of (Non)conformist Employees,2020-10-31,"Annales Universitatis Mariae Curie-Skłodowska, sectio J – Paedagogia-Psychologia"
1,Ryszarda Ewa Bernacka,https://orcid.org/0000-0002-5919-3076,empty,Jakość komunikacji między rodzicami i dziećmi w różnym stopniu zaangażowanymi w agresję elektroniczną,2019,FIDES ET RATIO
2,Ryszarda Ewa Bernacka,https://orcid.org/0000-0002-5919-3076,empty,Kontekst komunikacyjny postaw rodzicielskich w percepcji  nonkonformistów  i konformistów.,2019,FIDES ET RATIO
3,Ryszarda Ewa Bernacka,https://orcid.org/0000-0002-5919-3076,https://doi.org/10.17951/j.2019.32.4.97-115,Osobowość nauczyciela w ujęciu psychologicznym,2019-12-31,"Annales Universitatis Mariae Curie-Skłodowska, sectio J – Paedagogia-Psychologia"
4,Ryszarda Ewa Bernacka,https://orcid.org/0000-0002-5919-3076,https://doi.org/10.17951/j.2019.32.4.197-215,Temperament i motywacja osiągnięć menedżerów,2019-12-31,"Annales Universitatis Mariae Curie-Skłodowska, sectio J – Paedagogia-Psychologia"
5,Ryszarda Ewa Bernacka,https://orcid.org/0000-0002-5919-3076,https://doi.org/10.17951/j.2018.31.4.179-195,Emocjonalne predyktory nonkonformizmu,2019-04-26,"Annales Universitatis Mariae Curie-Skłodowska, sectio J – Paedagogia-Psychologia"
6,Dominik Jakub Borawski,https://orcid.org/0000-0002-1504-2145,https://doi.org/10.1177/0192513x20966013,"Interrelations between Attachment Styles, Emotional Contagion and Loneliness",2021-09-15,Journal of Family Issues
7,Dominik Jakub Borawski,https://orcid.org/0000-0002-1504-2145,https://doi.org/10.1007/s12144-019-00412-9,Authenticity and rumination mediate the relationship between loneliness and well-being,2021-09-13,Current Psychology
8,Dominik Jakub Borawski,https://orcid.org/0000-0002-1504-2145,https://doi.org/10.1016/j.paid.2020.110580,"The interplay between loneliness, mindfulness, and presence of meaning. Does search for meaning matter?",2020-12,Personality and Individual Differences
9,Dominik Jakub Borawski,https://orcid.org/0000-0002-1504-2145,https://doi.org/10.4467/20843879pr.19.003.10594,"Cechy osobowości jako mediator między strategiami reprodukcyjnymi związanymi z historią życia a światopoglądem. Moderacyjna rola płci """,2019,Psychologia Rozwojowa
10,Dominik Jakub Borawski,https://orcid.org/0000-0002-1504-2145,https://doi.org/10.34766/fetr.v40i4.195,Nadzieja podstawowa a postrzegany wpływ alkoholizmu rodziców na funkcjonowanie psychospołeczne osób dorosłych. Mediacyjna rola osobowego wzrostu,2019-12-31,Kwartalnik Naukowy Fides et Ratio
11,Dominik Jakub Borawski,https://orcid.org/0000-0002-1504-2145,https://doi.org/10.4467/20843879pr.18.007.8941,A Dialogical Approach to the Identity Dilemmas of Young Adults,2018,Psychologia Rozwojowa
12,Dominik Jakub Borawski,https://orcid.org/0000-0002-1504-2145,https://doi.org/10.1016/j.paid.2018.07.037,The loneliness of the zero-sum game loser. The balance of social exchange and belief in a zero-sum game as predictors of loneliness,2018-12,Personality and Individual Differences
