,name,orcid,link,title,date,journal
0,Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.3389/fpsyt.2021.648386,Anankastia or Psychoticism? Which One Is Better Suited for the Fifth Trait in the Pathological Big Five: Insight From the Circumplex of Personality Metatraits Perspective,2021,Frontiers in Psychiatry
1,Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.24425/ppb.2021.137887,Number and content of personality types across methods and samples: Empirically filling the theoretically developed map of RUNO typology,2021,Polish Psychological Bulletin
2,Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.24425/ppb.2021.137886,Theoretical framework for the RUNO personality typology based on the circumplex of personality metatraits,2021,Polish Psychological Bulletin
3,Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.3389/fpsyg.2021.711323,Toward a Model of Personality Competencies Underlying Social and Emotional Skills: Insight From the Circumplex of Personality Metatraits,2021,Frontiers in Psychology
4,Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.31648/przegldpsychologiczny.7786,Applications of psychological knowledge: Five theses and an example,2021-12-22,Przegląd Psychologiczny
5,Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.1016/j.paid.2021.111052,Ellipse rather than a circumplex: A systematic test of various circumplexes of emotions,2021-10,Personality and Individual Differences
6,Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.1111/jopy.12627,"Between‐ and within‐person structures of value traits and value states: Four different structures, four different interpretations",2021-10-08,Journal of Personality
7,Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.1111/jopy.12616,The Circumplex of Personality Metatraits and the HEXACO model: Toward refinement and integration,2021-08-09,Journal of Personality
8,Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.21697/sp.2021.21.1.01,A cross-cultural study of purposive “traits of action”: Measurement invariance of scales based on the action–trait theory of human motivation using exploratory structural equation modeling,2021-08-04,Studia Psychologica
9,Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.1007/s12144-019-00291-0,Belief in a zero-sum game and subjective well-being across 35 countries,2021-07,Current Psychology
10,Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.1016/j.paid.2020.110544,Higher-order factors of the Big Six – Similarities between Big Twos identified above the Big Five and the Big Six,2021-03,Personality and Individual Differences
11,Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.1037/pas0000901,Investigating the structure of the Polish Five Factor Narcissism Inventory: Support for the three-factor model of narcissism.,2021-03-22,Psychological Assessment
12,Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.1016/j.paid.2019.109775,A three-step procedure for analysis of circumplex models: An example of narcissism located within the circumplex of personality metatraits,2021-02,Personality and Individual Differences
13,Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.4467/20843879pr.20.016.13153,Kołowy Model Sposobów Kształtowania się Tożsamości: założenia teoretyczne i empiryczna weryfikacja,2020,Psychologia Rozwojowa
14,Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.5114/cipp.2020.98693,Psychometric properties of the Polish versions of the HEXACO-60 and the HEXACO-100 personality inventories,2020,Current Issues in Personality Psychology
15,Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.1186/s42409-020-00017-0,Measuring school children’s attitudes toward immigrants in Switzerland and Poland,2020-12,Measurement Instruments for the Social Sciences
16,Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.3389/fpsyg.2020.515895,Community Feeling and Narcissism as Two Opposite Phenomena,2020-10-27,Frontiers in Psychology
17,Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.1016/j.paid.2020.110085,Personality underpinnings of dark personalities: An example of Dark Triad and deadly sins,2020-09,Personality and Individual Differences
18,Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.3389/fpsyg.2020.552740,Type C Personality: Conceptual Refinement and Preliminary Operationalization,2020-09-16,Frontiers in Psychology
19,Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.1016/j.paid.2020.110003,In search of convergence between the main dimensions of interpersonal and basic human values in the context of personality traits,2020-08,Personality and Individual Differences
20,Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.32872/spb.3029,A categorization of behaviors reported in experience sampling studies,2020-07-31,Social Psychological Bulletin
21,Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.1080/13674676.2019.1635575,Polish adaptation of the Vices and Virtues Scales (VAVS),2020-07-02,"Mental Health, Religion & Culture"
22,Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.1111/jopy.12502,Stability and change of basic personal values in early adolescence: A 2‐year longitudinal study,2020-06,Journal of Personality
23,Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.1002/per.2230,Explaining Everyday Behaviours and Situational Context by Personality Metatraits and Higher‐order Values,2020-01-09,European Journal of Personality
24,Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.3389/fpsyg.2019.00281,Behavioral signatures of values in everyday behavior in retrospective and real-time self-reports,2019,Frontiers in Psychology
25,Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.1057/s41267-018-0174-4,"Correction to: Does organizational formalization facilitate voice and helping organizational citizenship behaviors? It depends on (national) uncertainty norms (Journal of International Business Studies, (2019), 50, 1, (125-134), 10.1057/s41267-017-0132-6)",2019,Journal of International Business Studies
26,Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.24425/ppb.2019.130694,Identity statuses across various life domains and well-being in emerging adults ,2019,Polish Psychological Bulletin
27,Anna Małgorzata Czyżkowska,https://orcid.org/0000-0002-8695-2381,empty,Polish adaptation of the Parents as Social Context Questionnaire (PASCQ). Towards a synthesis of parental relationship models,2019,Educational Psychology
28,Anna Małgorzata Czyżkowska,https://orcid.org/0000-0002-8695-2381,empty,Polska adaptacja Kwestionariusza interpersonalnego kontekstu rodzicielstwa (PASCQ). Próba syntezy konstruktów opisujących relacje wychowawcze i rodzicielskie,2019,Psychologia Wychowawcza
29,Anna Małgorzata Czyżkowska,https://orcid.org/0000-0002-8695-2381,empty,"Komunikacja, relacje partnerskie oraz funkcjonowanie seksualne par leczących się z powodu niepłodnósci",2018,Studia Psychologica: Theoria et praxis
30,Anna Małgorzata Czyżkowska,https://orcid.org/0000-0002-8695-2381,https://doi.org/10.21697/snr.2018.49.4.05,Uzależnienie od seksu z perspektywy teorii przywiązania,2018-12-31,Studia nad Rodziną
