,name,orcid,link,title,date,journal
0,Paulina Banaszkiewicz,https://orcid.org/0000-0002-0237-3121,https://doi.org/10.17951/j.2020.33.3.33-47,"Porównanie pojęcia zawiści w pokoleniach X, Y i Z",2020-10-31,"Annales Universitatis Mariae Curie-Skłodowska, sectio J – Paedagogia-Psychologia"
1,Paulina Banaszkiewicz,https://orcid.org/0000-0002-0237-3121,https://doi.org/10.17951/j.2018.31.4.121-137,Różnice międzypłciowe w zazdrości – perspektywa psychologii osobowości a perspektywa psychologii ewolucyjnej,2019-04-26,"Annales Universitatis Mariae Curie-Skłodowska, sectio J – Paedagogia-Psychologia"
2,Paulina Banaszkiewicz,https://orcid.org/0000-0002-0237-3121,empty,Zazdrość romantyczna: kluczowe koncepcje teoretyczne i narzędzia pomiaru,unrecovered,Psychologia Społeczna
3,Anna Błaszczak,https://orcid.org/0000-0003-0597-5117,https://doi.org/10.1111/ejed.12474,Parental involvement in remote learning during the COVID‐19 pandemic—Dominant approaches and their diverse implications,2021-12,European Journal of Education
4,Anna Błaszczak,https://orcid.org/0000-0003-0597-5117,https://doi.org/10.24131/3724.200105,Teaching Academic Honesty and Ethical Standards,2021-03-25,EDUKACJA
5,Anna Błaszczak,https://orcid.org/0000-0003-0597-5117,https://doi.org/10.17951/j.2020.33.2.25-34,Znaczenie intelektualnych i osobowościowych korelatów osiągnięć szkolnych,2020-06-29,"Annales Universitatis Mariae Curie-Skłodowska, sectio J – Paedagogia-Psychologia"
6,Anna Błaszczak,https://orcid.org/0000-0003-0597-5117,empty,THE EFFECTIVENESS OF MINDFULNESS STRESS BASED REDUCTION TRAINING AS A METHOD OF SUPPORTING NURSES IN COPING WITH STRESS AND BURNOUT,2019-06-01,Polish Nursing
7,Anna Błaszczak,https://orcid.org/0000-0003-0597-5117,https://doi.org/10.17951/j.2018.31.3.113-120,Metafora w praktyce terapeutycznej w ujęciu Miltona H. Ericksona,2019-02-26,"Annales Universitatis Mariae Curie-Skłodowska, sectio J – Paedagogia-Psychologia"
8,Anna Błaszczak,https://orcid.org/0000-0003-0597-5117,https://doi.org/10.17951/j.2018.31.1.61-73,The Influence of Mindfulness Stress Based Reduction Training on Somatic Health,2018-08-20,"Annales Universitatis Mariae Curie-Skłodowska, sectio J, Paedagogia-Psychologia"
9,Anna Błaszczak,https://orcid.org/0000-0003-0597-5117,https://doi.org/10.17951/j.2017.30.4.245,Mindfulness-Based Stress Reduction as a Method Supporting the Process of Coping with Stress and Professional Burnout among Nurses,2018-04-30,"Annales Universitatis Mariae Curie-Skłodowska, sectio J, Paedagogia-Psychologia"
10,Aneta Rita Borkowska,https://orcid.org/0000-0003-3201-3693,https://doi.org/10.3390/cancers13061332,The Feasibility Study of Hypofractionated Radiotherapy with Regional Hyperthermia in Soft Tissue Sarcomas.,2021-03-16,Cancers
11,Aneta Rita Borkowska,https://orcid.org/0000-0003-3201-3693,https://doi.org/10.1016/j.ijrobp.2021.02.019,Combined Preoperative Hypofractionated Radiotherapy With Doxorubicin-Ifosfamide Chemotherapy in Marginally Resectable Soft Tissue Sarcomas: Results of a Phase 2 Clinical Trial.,2021-02-16,"International journal of radiation oncology, biology, physics"
12,Aneta Rita Borkowska,https://orcid.org/0000-0003-3201-3693,https://doi.org/10.3390/jcm9092996,Clinicopathological Features and Prognostic Factors of Primary Acral Melanomas in Caucasians.,2020-09-16,Journal of clinical medicine
13,Aneta Rita Borkowska,https://orcid.org/0000-0003-3201-3693,https://doi.org/10.3390/jcm9082471,Hypofractionated Radiotherapy in Locally Advanced Myxoid Liposarcomas of Extremities or Trunk Wall: Results of a Single-Arm Prospective Clinical Trial,2020-08,Journal of Clinical Medicine
14,Aneta Rita Borkowska,https://orcid.org/0000-0003-3201-3693,https://doi.org/10.3390/cancers12082061,Neoadjuvant Treatment Options in Soft Tissue Sarcomas.,2020-07-26,Cancers
15,Aneta Rita Borkowska,https://orcid.org/0000-0003-3201-3693,https://doi.org/10.18632/oncotarget.27642,Mutation profile of primary subungual melanomas in Caucasians.,2020-06-23,Oncotarget
16,Aneta Rita Borkowska,https://orcid.org/0000-0003-3201-3693,https://doi.org/10.1016/s1470-2045(19)30326-2,"NBTXR3, a first-in-class radioenhancer hafnium oxide nanoparticle, plus radiotherapy versus radiotherapy alone in patients with locally advanced soft-tissue sarcoma (Act.In.Sarc): a multicentre, phase 2-3, randomised, controlled trial.",2019-07-08,The Lancet. Oncology
17,Aneta Rita Borkowska,https://orcid.org/0000-0003-3201-3693,https://doi.org/10.1016/j.ejso.2018.03.020,Denosumab treatment of inoperable or locally advanced giant cell tumor of bone - Multicenter analysis outside clinical trial.,2018-03-31,European journal of surgical oncology : the journal of the European Society of Surgical Oncology and the British Association of Surgical Oncology
18,Magdalena Bury-Kamińska,https://orcid.org/0000-0003-4432-0383,https://doi.org/10.3390/brainsci11091166,Chemotherapy-Related Differences in Cognitive Functioning and Their Biological Predictors in Patients with Multiple Myeloma,2021-09,Brain Sciences
19,Wojciech Cwalina,https://orcid.org/0000-0001-8866-4618,https://doi.org/10.1016/j.jenvp.2019.04.014,The role of normative prompts and norm support cues in promoting light-switching behavior: A field study,2019,Journal of Environmental Psychology
20,Wojciech Cwalina,https://orcid.org/0000-0001-8866-4618,https://doi.org/10.1080/15377857.2018.1447754,Crisis Management: Government Strategy in Framing Reform Proposals and Communications,2018,Journal of Political Marketing
21,Barnaba Danieluk,https://orcid.org/0000-0001-5006-3649,https://doi.org/10.1111/jopy.12585,Making and maintaining relationships through the prism of the dark triad traits: A longitudinal social network study,2021-04-02,Journal of Personality
22,Sara Aleksandra Filipiak,https://orcid.org/0000-0001-7818-7168,https://doi.org/10.15557/pipk.2021.0018,Emotional and cognitive representation of COVID-19 among Polish adults during the peak of the second wave of the pandemic,2021-11-10,Psychiatria i Psychologia Kliniczna
23,Sara Aleksandra Filipiak,https://orcid.org/0000-0001-7818-7168,https://doi.org/10.1111/1460-6984.12631,Interpretation of familiar metaphors and proverbs by Polish people in middle and late adulthood,2021-06-14,International Journal of Language & Communication Disorders
24,Sara Aleksandra Filipiak,https://orcid.org/0000-0001-7818-7168,https://doi.org/10.3390/ijerph18094564,On the Rocky Road to Independence: Big Five Personality Traits and Locus of Control in Polish Primary School Students during Transition into Early Adolescence,2021-04-25,International Journal of Environmental Research and Public Health
25,Sara Aleksandra Filipiak,https://orcid.org/0000-0001-7818-7168,https://doi.org/10.4467/20843879pr.20.025.13433,Comparative Analysis of Personality and Preferences of Values of Polish Early Adolescents Learning in Integrated and Non-integrated Classes,2020,Psychologia Rozwojowa
