,name,orcid,link,title,date,journal
0,Bibianna Beata Bałaj,https://orcid.org/0000000150667493,https://doi.org/10.3390/s21010270,Gait Analysis under Spatial Navigation Task in Elderly People—A Pilot Study,2021-01,Sensors
1,Bibianna Beata Bałaj,https://orcid.org/0000000150667493,https://doi.org/10.1002/hbm.25162,Spatiotemporal complexity patterns of resting‐state bioelectrical activity explain fluid intelligence: Sex matters,2020-12,Human Brain Mapping
2,Bibianna Beata Bałaj,https://orcid.org/0000000150667493,https://doi.org/10.3390/s20102834,Heart Rate Variability and Accelerometry as Classification Tools for Monitoring Perceived Stress Levels—A Pilot Study on Firefighters,2020-05-16,Sensors
3,Bibianna Beata Bałaj,https://orcid.org/0000000150667493,https://doi.org/10.1080/24721840.2019.1696680,Susceptibility to Flight Simulator-Induced Spatial Disorientation in Pilots and Non-Pilots,2020-04-02,The International Journal of Aerospace Psychology
4,Bibianna Beata Bałaj,https://orcid.org/0000000150667493,https://doi.org/10.3357/amhp.5277.2019,Auditory verbal working memory load effects on a simulator-induced spatial disorientation event,2019,Aerospace Medicine and Human Performance
5,Bibianna Beata Bałaj,https://orcid.org/0000000150667493,https://doi.org/10.3357/amhp.5342.2019,In Response,2019,Aerospace Medicine and Human Performance
6,Bibianna Beata Bałaj,https://orcid.org/0000000150667493,https://doi.org/10.1016/j.jenvp.2019.101318,On the essentialism of places: Between conservative and progressive meanings,2019-10,Journal of Environmental Psychology
7,Bibianna Beata Bałaj,https://orcid.org/0000000150667493,https://doi.org/10.1007/s10111-018-0534-7,Spatial disorientation cue effects on gaze behaviour in pilots and non-pilots,2019-08,"Cognition, Technology & Work"
8,Bibianna Beata Bałaj,https://orcid.org/0000000150667493,https://doi.org/10.3357/amhp.5042.2018,Change Detection Flicker Task Effects on Simulator-Induced Spatial Disorientation Events,2018,Aerospace medicine and human performance
9,Bibianna Beata Bałaj,https://orcid.org/0000000150667493,https://doi.org/10.5709/acp-0245-5,Mental Size Scaling of Three-Dimensional Objects Perceived Visually or Tactilely,2018,Advances in Cognitive Psychology
