,name,orcid,link,title,date,journal
0,Katarzyna Anna Błońska,https://orcid.org/0000-0001-7210-777X,empty,Dieta wegetariańska i jej związki z cechami osobowości u kobiet,2021-12-30,Przegląd Psychologiczny
1,Katarzyna Anna Błońska,https://orcid.org/0000-0001-7210-777X,https://doi.org/10.31648/pp.7358,Dieta wegetariańska i jej związki z cechami osobowości u kobiet,2021-12-30,Przegląd Psychologiczny
2,Katarzyna Anna Błońska,https://orcid.org/0000-0001-7210-777X,https://doi.org/10.31648/przegldpsychologiczny.7888,The vegetarian diet and its relations with the personality of women,2021-12-30,Przegląd Psychologiczny
3,Katarzyna Anna Błońska,https://orcid.org/0000-0001-7210-777X,https://doi.org/10.15503/onis2014.648.655,Teatr tańca i jego terapeutyczne aspekty,2020-02-15,Ogrody Nauk i Sztuk
4,Katarzyna Anna Błońska,https://orcid.org/0000-0001-7210-777X,https://doi.org/10.15503/onis2015.297.305,Troska o siebie jako wyraz zdrowego ustosunkowania wobec własnej osoby,2020-02-05,Ogrody Nauk i Sztuk
5,Anna Teresa Bokszczanin,https://orcid.org/0000-0002-0499-8133,https://doi.org/10.1002/casp.2577,"Structure and agency in
            capabilities‐enhancing
            homeless services: Housing first, housing quality and consumer choice",2021-10-06,Journal of Community & Applied Social Psychology
6,Anna Teresa Bokszczanin,https://orcid.org/0000-0002-0499-8133,https://doi.org/10.1080/14036096.2020.1762725,Home as a Base for a Well-Lived Life: Comparing the Capabilities of Homeless Service Users in Housing First and the Staircase of Transition in Europe,2021-05-27,"Housing, Theory and Society"
7,Anna Teresa Bokszczanin,https://orcid.org/0000-0002-0499-8133,https://doi.org/10.1002/ajcp.12470,Factors Associated with Providers' Work Engagement and Burnout in Homeless Services: A Cross-national Study.,2020-11-02,American journal of community psychology
8,Anna Teresa Bokszczanin,https://orcid.org/0000-0002-0499-8133,https://doi.org/10.2147/prbm.s266511,"<p>Examining Anxiety, Life Satisfaction, General Health, Stress and Coping Styles During COVID-19 Pandemic in Polish Sample of University Students</p>",2020-09,Psychology Research and Behavior Management
9,Anna Teresa Bokszczanin,https://orcid.org/0000-0002-0499-8133,https://doi.org/10.1002/ajcp.12404,Homeless Adults’ Recovery Experiences in Housing First and Traditional Services Programs in Seven European Countries,2020-06,American Journal of Community Psychology
10,Anna Teresa Bokszczanin,https://orcid.org/0000-0002-0499-8133,https://doi.org/10.2196/14584,"Comparison of Housing First and Traditional Homeless Service Users in Eight European Countries: Protocol for a Mixed Methods, Multi-Site Study",2020-02-05,JMIR Research Protocols
11,Anna Teresa Bokszczanin,https://orcid.org/0000-0002-0499-8133,https://doi.org/10.1016/j.socscimed.2020.112802,Europeans’ willingness to pay for ending homelessness: A contingent valuation study,2020-01,Social Science & Medicine
12,Anna Teresa Bokszczanin,https://orcid.org/0000-0002-0499-8133,https://doi.org/10.1371/journal.pone.0221896,"European public perceptions of homelessness: A knowledge, attitudes and practices survey",2019,PLoS ONE
13,Anna Teresa Bokszczanin,https://orcid.org/0000-0002-0499-8133,https://doi.org/10.3390/ijerph16091590,Goals and Principles of Providers Working with People Experiencing Homelessness: A Comparison Between Housing First and Traditional Staircase Services in Eight European Countries,2019-05-07,International Journal of Environmental Research and Public Health
14,Anna Teresa Bokszczanin,https://orcid.org/0000-0002-0499-8133,https://doi.org/10.1186/s13690-018-0317-x,"Knowledge, attitudes, and practices about homelessness and willingness-to-pay for housing-first across 8 European countries: A survey protocol",2018,Archives of Public Health
15,Anna Teresa Bokszczanin,https://orcid.org/0000-0002-0499-8133,https://doi.org/10.1177/0886260517696868,Poly-Victimization in Polish Adolescents: Risk Factors and the Moderating Role of Coping,2017,Journal of Interpersonal Violence
16,Romuald Derbis,https://orcid.org/0000-0001-5145-7922,https://doi.org/10.13075/mp.5893.01149,"Workload, job satisfaction and occupational stress in Polish midwives before and during the COVID-19 pandemic",2021-12-22,Medycyna Pracy
17,Romuald Derbis,https://orcid.org/0000-0001-5145-7922,https://doi.org/10.3389/fpsyt.2021.712103,Fear of COVID-19 and Life Satisfaction: The Role of the Health-Related Hardiness and Sense of Coherence,2021-11-01,Frontiers in Psychiatry
18,Romuald Derbis,https://orcid.org/0000-0001-5145-7922,https://doi.org/10.5114/cipp.2020.100095," The Dark Triad, goal achievement and work engagement as predictors of counterproductive work behaviors among IT employees",2020,Current Issues in Personality Psychology 8(3):197-210
19,Romuald Derbis,https://orcid.org/0000-0001-5145-7922,https://doi.org/10.5114/hpr.2020.98428,The association between achievement goal motivation and counterproductive work behavior: the moderating effect of work engagement and the Dark Triad,2020,Health Psychology Report
20,Romuald Derbis,https://orcid.org/0000-0001-5145-7922,https://doi.org/10.4467/20843879pr.19.011.10894,Postawy wobec globalizacji a satysfakcja z życia. Mediacyjna rola procesów tożsamościowych,2019-06-30,Psychologia Rozwojowa
21,Romuald Derbis,https://orcid.org/0000-0001-5145-7922,empty,Środowiskowe i osobowościowe uwarunkowania satysfakcji z pracy,2019-01-31,Problemy higieny i epidemiologii
22,Romuald Derbis,https://orcid.org/0000-0001-5145-7922,empty,Poczucie jakości życia i samoocena pacjentów w trakcie terapii uzależnienia od alkoholu,2018-12,"Czasopismo Psychologiczne, Psychological Journal"
23,Romuald Derbis,https://orcid.org/0000-0001-5145-7922,https://doi.org/10.1080/23311908.2018.1451610,"Work satisfaction, psychological resiliency and sense of coherence as correlates of work engagement",2018-03-14,Cogent Psychology
24,Romuald Derbis,https://orcid.org/0000-0001-5145-7922,https://doi.org/10.14691/cppj.23.2.38,Znaczenie doświadczanych emocji dla rozwiązywania zadań problemowych przez makiawelistów,2017-02,"Czassopismo Psychologiczne, Psychological Journal"
25,Romuald Derbis,https://orcid.org/0000-0001-5145-7922,https://doi.org/10.14691/cppj.23.1.147,Podstawowe samowartościowanie - walidacja polskiej wersji skali do pomiaru Core Self-Evaluations,2017-01,"Czasopismo Psychologiczne, Psychological Journal"
26,Romuald Derbis,https://orcid.org/0000-0001-5145-7922,https://doi.org/10.14691/cppj.23.1.4,Wewnątrzkulturowe uwarunkowania międzypokoleniowej transmisji przywiązania w adolescencji,2017-01,"Czasopismo Psychologiczne, Psychological Journal"
27,Romuald Derbis,https://orcid.org/0000-0001-5145-7922,https://doi.org/10.14691/cppj.24.3.453,Model Doświadczania Globalizacji (MDG) i wstępna wersja Skali Doświadczania Globalizacji (SDG),unrecovered,"Czasopsmo Psychologiczne, Psychological Journal"
28,Romuald Derbis,https://orcid.org/0000-0001-5145-7922,empty,"Motywacja osiągnięć, ciemna triada i zaangażowanie w pracę jako korelaty zachowań kontrproduktywnych",unrecovered,"Czasopismo Psychologiczne, Psychological  Journal"
29,Romuald Derbis,https://orcid.org/0000-0001-5145-7922,https://doi.org/10.1515/pjap-2015-0056,"Relations between Parenting Stress, Attachment, and Life  Satisfaction in Mothers of  Adolescent Children",unrecovered,
30,Joanna Dymecka,https://orcid.org/0000-0002-7092-3017,https://doi.org/10.3390/ijerph182413237,"Fatigue, Physical Disability and Self-Efficacy as Predictors of the Acceptance of Illness and Health-Related Quality of Life in Patients with Multiple Sclerosis",2021-12,International Journal of Environmental Research and Public Health
31,Joanna Dymecka,https://orcid.org/0000-0002-7092-3017,https://doi.org/10.3390/ijerph182413111,"Fear of Coronavirus, Stress and Fear of Childbirth in Polish Pregnant Women during the COVID-19 Pandemic",2021-12,International Journal of Environmental Research and Public Health
32,Joanna Dymecka,https://orcid.org/0000-0002-7092-3017,empty,Fear of COVID-19 as a buffer in the relationship between perceived stress and life satisfaction in the Polish population at the beginning of the global pandemic,2021-02-09,Health Psychology Report
33,Joanna Dymecka,https://orcid.org/0000-0002-7092-3017,empty,Selected psychometric aspects of the Polish version of the Liverpool Self-efficacy Scale,2020-12-29,Current Issues in Personality Psychology
34,Joanna Dymecka,https://orcid.org/0000-0002-7092-3017,empty,Niepełnosprawność a jakość życia pacjentów ze stwardnieniem rozsianym. Mediacyjna rola zapotrzebowania na wsparcie społeczne [Disability and the quality of life of patients with multiple sclerosis. Mediating role of the need for social support],2019-12-01,Człowiek-Niepełnosprawność-Społeczeństwo
35,Joanna Dymecka,https://orcid.org/0000-0002-7092-3017,empty,Poczucie koherencji a style radzenia sobie ze stresem rodziców dzieci z chorobą nowotworową,2018-12-18,Psychoonkologia
36,Joanna Dymecka,https://orcid.org/0000-0002-7092-3017,https://doi.org/10.3390/ijerph15122678,Biomedical Variables and Adaptation to Disease and Health-Related Quality of Life in Polish Patients with MS,2018-11,International Journal of Environmental Research and Public Health
37,Joanna Dymecka,https://orcid.org/0000-0002-7092-3017,empty,Skala Niesprawności Neurologicznej Szpitala Guy jako istotne narzędzie do oceny objawów występujących u osób z SM,2017-02-11,Niepełnosprawność - Zagadnienia Problemy Rozwiązania
38,Jakub Aleksander Filipkowski,https://orcid.org/0000-0002-1801-8001,https://doi.org/10.5114/ppn.2021.111935,Fear of COVID-19: stress and job satisfaction among Polish doctors during the pandemic,2021,Postępy Psychiatrii i Neurologii
39,Jakub Aleksander Filipkowski,https://orcid.org/0000-0002-1801-8001,https://doi.org/10.15225/pnn.2021.10.1.1,"Fear of COVID-19, Risk Perception and Stress Level in Polish Nurses During COVID-19 Outbreak",2021-05-19,The Journal of Neurological and Neurosurgical Nursing
40,Jakub Aleksander Filipkowski,https://orcid.org/0000-0002-1801-8001,https://doi.org/10.5114/cipp.2020.100095,"The Dark Triad, goal achievement and work engagement as predictors of counterproductive work behaviors among IT employees",2020-10-21,Current Issues in Personality Psychology
