,name,orcid,link,title,date,journal
0,Karolina Zofia Czernecka,https://orcid.org/0000-0002-2971-9591,https://doi.org/10.34766/fetr.v47i3.847,Embodied narratives: communication value of tattoos,2021,Fides et Ratio
1,Karolina Zofia Czernecka,https://orcid.org/0000-0002-2971-9591,https://doi.org/10.1007/s12144-021-01769-6,Is the impact of high reward sensitivity and poor cognitive control on adolescent risk-taking more visible in rewarding conditions?,2021-05-03,Current Psychology
2,Karolina Zofia Czernecka,https://orcid.org/0000-0002-2971-9591,https://doi.org/10.24425/ppb.2019.126016,Behave yourself! NAS-50 as a reliable tool for assessment of adolescent self-control,2019,Polish Psychological Bulletin
3,Karolina Zofia Czernecka,https://orcid.org/0000-0002-2971-9591,https://doi.org/10.24425/124344,Art training and personality traits as predictors of aesthetic experience of different art styles,2018,Polish Psychological Bulletin
4,Karolina Zofia Czernecka,https://orcid.org/0000-0002-2971-9591,empty,Neuropsychologiczne aspekty percepcji muzyki,2018,Res Facta Nova
5,Karolina Zofia Czernecka,https://orcid.org/0000-0002-2971-9591,https://doi.org/10.5114/cipp.2018.72268,Many face(t)s of young people's risk-taking: individual and situational determinants,2017,Current Issues in Personality Psychology
6,Ewa Barbara Czerwińska-Jakimiuk,https://orcid.org/0000-0003-2367-7965,empty,Agresja w perspektywie psychologicznej i filozoficznej : przegląd wybranych teorii ,2020,"Argument. Biannual Philosophical Journal Vol. 10, nr 1, s. 197-212"
7,Ewa Barbara Czerwińska-Jakimiuk,https://orcid.org/0000-0003-2367-7965,empty, Perspektywy życiowe u uczniów szkoły ponadgimnazjalnej i ich sytuacyjne i osobowościowe korelaty,2019,"Biblioteka Współczesnej Myśli Pedagogicznej. - 2019, T. 8, s. 79-90"
8,Natalia Czyżowska,https://orcid.org/0000-0003-2597-5608,https://doi.org/10.34766/fetr.v48i4.921,Meaning in life and its significance in emerging adulthood - literature review and preliminary study results,2021-12-30,Quarterly Journal Fides et Ratio
9,Natalia Czyżowska,https://orcid.org/0000-0003-2597-5608,https://doi.org/10.3390/ijerph18062890,Posttraumatic Growth and Spirituality in Mothers of Children with Pediatric Cancer,2021-12-03,International Journal of Environmental Research and Public Health
10,Natalia Czyżowska,https://orcid.org/0000-0003-2597-5608,https://doi.org/10.3390/ijerph18189714,Does Reflection on Everyday Events Enhance Meaning in Life and Well-Being among Emerging Adults? Self-Efficacy as Mediator between Meaning in Life and Well-Being,2021-09-15,International Journal of Environmental Research and Public Health
11,Natalia Czyżowska,https://orcid.org/0000-0003-2597-5608,empty,Edukacja moralna - koncepcje i badania ,2020,Public Policy Studies
12,Natalia Czyżowska,https://orcid.org/0000-0003-2597-5608,https://doi.org/10.1080/13617672.2020.1746878,Young adults in relationships and singles: religiosity and the structure of values,2020-10-01,Journal of Beliefs & Values
13,Natalia Czyżowska,https://orcid.org/0000-0003-2597-5608,https://doi.org/10.5114/hpr.2020.93768,Intimate relationship and its significance for eudaimonic well-being in young adults ,2020-03-17,Health Psychology Report
14,Natalia Czyżowska,https://orcid.org/0000-0003-2597-5608,https://doi.org/10.3390/ijerph16224447,Selected Predictors of the Sense of Intimacy in Relationships of Young Adults,2019-11-13,International Journal of Environmental Research and Public Health
15,Natalia Czyżowska,https://orcid.org/0000-0003-2597-5608,https://doi.org/10.34766/fetr.v2i38.82,Komunikacja zorientowana na pacjenta – ważny element wysokiej jakości opieki,2019-06-30,Kwartalnik Naukowy Fides et Ratio
16,Natalia Czyżowska,https://orcid.org/0000-0003-2597-5608,https://doi.org/10.34766/fetr.v1i37.44,Związek intymny szansą na dobre życie osób w okresie wyłaniającej się dorosłości,2019-03-30,Quarterly Journal Fides et Ratio
17,Natalia Czyżowska,https://orcid.org/0000-0003-2597-5608,empty,Opieka skoncentrowana na godności jako odpowiedź na potrzeby osób u kresu życia,2018,Quaterly Journal Fides et Ratio
18,Natalia Czyżowska,https://orcid.org/0000-0003-2597-5608,https://doi.org/10.7494/human.2018.17.3.7,Palliative and hospice care in social awareness in different countries,2018,Studia Humanistyczne AGH
19,Natalia Czyżowska,https://orcid.org/0000-0003-2597-5608,empty,W poszukiwaniu atrybutów dobrej śmierci ,2018,Quaterly Journal Fides et Ratio
20,Malwina Dankiewicz,https://orcid.org/0000-0002-6511-7686,https://doi.org/10.3389/fpsyg.2020.00559,Ill-Defined Problem Solving Does Not Benefit From Daytime Napping,2020,Frontiers in Psychology
21,Malwina Dankiewicz,https://orcid.org/0000-0002-6511-7686,https://doi.org/10.24917/20845596.12.12,„Macierzyństwo nowoplemienne” – analiza jakościowa parentingowych komunikatów internetowych,2019-12-01,Annales Universitatis Paedagogicae Cracoviensis. Studia Psychologica
22,Monika Derda,https://orcid.org/0000-0002-3207-9644,https://doi.org/10.1093/nc/niab009,No validity without a theory—a critical look at subjective measures of consciousness,2021-02-10,Neuroscience of Consciousness
23,Monika Derda,https://orcid.org/0000-0002-3207-9644,https://doi.org/10.1016/j.concog.2019.102767,The role of levels of processing in disentangling the ERP signatures of conscious visual processing,2019,Consciousness and Cognition
24,Monika Derda,https://orcid.org/0000-0002-3207-9644,https://doi.org/10.1016/j.concog.2017.07.010,The levels of perceptual processing and the neural correlates of increasing subjective visibility,2017,Consciousness and Cognition
25,Joanna Maria Fryt,https://orcid.org/0000-0003-1265-2236,https://doi.org/10.1002/cad.20431,Positive and negative risk taking in adolescence: Age patterns and relations to social environment,2021-09,New Directions for Child and Adolescent Development
26,Agnieszka Fudali-Czyż,https://orcid.org/0000-0002-6769-2975,https://doi.org/10.18290/rpsych20234-6,Professor Piotr Francuz (1960–2020),2021-03-19,Roczniki Psychologiczne
27,Agnieszka Fudali-Czyż,https://orcid.org/0000-0002-6769-2975,empty,Employability of University Students: Introduction of the Concept and the Psychometric Properties of the Polish Self-Perceived Employability Scale,2021-01-27,Educational Studies Review
28,Agnieszka Fudali-Czyż,https://orcid.org/0000-0002-6769-2975,https://doi.org/10.5709/acp-0292-z,How Does Knowledge About an Artist’s Disability Change the Aesthetic Experience?,2020-06,Advances in Cognitive Psychology
29,Agnieszka Fudali-Czyż,https://orcid.org/0000-0002-6769-2975,https://doi.org/10.1515/ctra-2019-0011,"If I knew they were the expression of creativity in people with blindness, I would rate them higher - Bias in Evaluating the Work of People with Blindness",2019-12-01,Creativity. Theories – Research - Applications
30,Agnieszka Fudali-Czyż,https://orcid.org/0000-0002-6769-2975,https://doi.org/10.1177/0301006619861882,Vection Attenuates N400 Event-Related Potentials in a Change-Detection Task,2019-08,Perception
31,Agnieszka Fudali-Czyż,https://orcid.org/0000-0002-6769-2975,https://doi.org/10.1007/s10111-018-0534-7,Spatial disorientation cue effects on gaze behaviour in pilots and non-pilots,2018-11,"Cognition, Technology & Work"
32,Agnieszka Fudali-Czyż,https://orcid.org/0000-0002-6769-2975,https://doi.org/10.3389/fpsyg.2018.01972,The Effect of Art Expertise on Eye Fixation-Related Potentials During Aesthetic Judgment Task in Focal and Ambient Modes,2018-10,Frontiers in Psychology
33,Agnieszka Fudali-Czyż,https://orcid.org/0000-0002-6769-2975,https://doi.org/10.3357/amhp.5042.2018,Change Detection Flicker Task Effects on Simulator-Induced Spatial Disorientation Events,2018-10-01,Aerospace Medicine and Human Performance
34,Agnieszka Fudali-Czyż,https://orcid.org/0000-0002-6769-2975,https://doi.org/10.1080/24721840.2018.1486195,Selective Attention and Working Memory Under Spatial Disorientation in a Flight Simulator,2018-04-03,The International Journal of Aerospace Psychology
35,Joanna Ganczarek,https://orcid.org/0000-0002-7522-2076,https://doi.org/10.1016/j.poetic.2021.101537,The impact of ambiguity in the image and title on the liking and understanding of contemporary paintings,2021-08,Poetics
36,Joanna Ganczarek,https://orcid.org/0000-0002-7522-2076,https://doi.org/10.1002/pchj.365,Perceived cognitive challenge predicts eye movements while viewing contemporary paintings,2020-08-27,PsyCh Journal
37,Joanna Ganczarek,https://orcid.org/0000-0002-7522-2076,https://doi.org/10.1007/s10339-018-0861-x,From “Einfühlung” to empathy: exploring the relationship between aesthetic and interpersonal experience,2018,Cognitive Processing
38,Natalia Maja Józefacka,https://orcid.org/0000-0002-1674-3760,https://doi.org/10.3390/ijerph17228308,The Routines-Based Model Internationally Implemented,2020-11,International Journal of Environmental Research and Public Health
39,Julia Kaleńska-Rodzaj,https://orcid.org/0000-0001-7202-7606,https://doi.org/10.1177/0305735620961154,Music performance anxiety and pre-performance emotions in the light of psychology of emotion and emotion regulation,2021-11-08,Psychology of Music
40,Julia Kaleńska-Rodzaj,https://orcid.org/0000-0001-7202-7606,https://doi.org/10.1177/1321103x19830098,Pre-performance emotions and music performance anxiety beliefs in young musicians,2020-04,Research Studies in Music Education
41,Julia Kaleńska-Rodzaj,https://orcid.org/0000-0001-7202-7606,https://doi.org/10.24425/119499,Waiting for the Concert. Pre-Performance Emotions and the Performance Success of Teenage Music School Students,2018,Polish Psychological Bulletin
42,Julia Kaleńska-Rodzaj,https://orcid.org/0000-0001-7202-7606,https://doi.org/10.14746/rfn.2018.19.1,Emocje estetyczne w świetle badań psychologii muzyki: opis i mechanizmy wyjaśniające,2018-12-15,Res Facta Nova. Teksty o muzyce współczesnej
43,Lada Kaliská,https://orcid.org/0000-0001-9700-5980,https://doi.org/10.1038/s41562-021-01173-x,A multi-country test of brief reappraisal interventions on emotions during the COVID-19 pandemic,2021,Nature Human Behaviour
44,Lada Kaliská,https://orcid.org/0000-0001-9700-5980,https://doi.org/10.21697/seb.2020.18.4.03,Man´s attitude towards nature and animal respect questionnaire (AniRe-Que),2020,Studia Ecologiae et Bioethicae
45,Lada Kaliská,https://orcid.org/0000-0001-9700-5980,https://doi.org/10.15452/psyx.2020.11.0010,Črtová emocionálna inteligencia a životná spokojnosť vysokoškolákov - kroskulturálny výskum (Slováci vs. Ukrajinci),2020,Psychologie a její¬ kontexty
46,Lada Kaliská,https://orcid.org/0000-0001-9700-5980,empty,Editorial,2019,Školský psychológ
47,Lada Kaliská,https://orcid.org/0000-0001-9700-5980,https://doi.org/10.29333/ejecs/283,Post-traumatic stress disorder related to trait emotional intelligence of Slovaks in comparison to Turkish immigrants in Slovakia,2019,Journal of Ethnic and Cultural Studies
48,Lada Kaliská,https://orcid.org/0000-0001-9700-5980,https://doi.org/10.15804/tner.2019.56.2.24,Replication study of the Slovak MESI scale and its construct validity in two research samples,2019,The New Educational Review
49,Lada Kaliská,https://orcid.org/0000-0001-9700-5980,empty,Rozvoj potencialít črtovej emociálnej inteligencie u školopovinných detí primárneho stupňa edukácie,2019,Školský psychológ
50,Lada Kaliská,https://orcid.org/0000-0001-9700-5980,empty,Examination of the latent structure of DSM-5 posttraumatic stress disorder symptoms in Slovakia,2018,Psychiatry Research
51,Lada Kaliská,https://orcid.org/0000-0001-9700-5980,empty,Komparácia a komplementarita dvoch koncepcií črtovej emocionálnej inteligencie v dvoch vývinových obdobiach,2018,Psychologie a její¬ kontexty
52,Lada Kaliská,https://orcid.org/0000-0001-9700-5980,empty,Renate Motschnig & David Ryback. (2016). Transforming Communication in Leadership and Teamwork. Person-Centered Innovations,2018,Psychologie a její¬ kontexty
53,Lada Kaliská,https://orcid.org/0000-0001-9700-5980,empty,Stretnutie psychológov a školských psychológov,2018,Spravodajca Univerzity Mateja Bela v Banskej Bystrici
54,Lada Kaliská,https://orcid.org/0000-0001-9700-5980,https://doi.org/10.1016/j.psychres.2018.06.028,Examination of the latent structure of DSM-5 posttraumatic stress disorder symptoms in Slovakia,2018-09,Psychiatry Research
55,Lada Kaliská,https://orcid.org/0000-0001-9700-5980,empty,Editorial,2017,Školský psychológ
56,Alina Maria Kałużna-Wielobób,https://orcid.org/0000-0002-1921-8822,empty,"The relationship between emotion regulation strategies, personality traits and skin picking behaviours in a non-clinical sample of Polish adults",2018,Psychiatry Research
57,Alina Maria Kałużna-Wielobób,https://orcid.org/0000-0002-1921-8822,empty,The role of activation level and emotion regulation strategies in skin-picking behaviours: findings in non-clinical sample,2018,Journal of Obsessive-Compulsive and Related Disorders
58,Alina Maria Kałużna-Wielobób,https://orcid.org/0000-0002-1921-8822,empty,"he community feeling versus anxiety, self-esteem and well-being - introductory research",2017,Polish Psychological Bulletin
59,Zinoviia Karpenko,https://orcid.org/0000-0002-0747-2591,https://doi.org/10.15330/ps.11.1.54-58,"Аксіологічна психопедагогіка Г. Жука: засадничі ідеї, концептуальні уявлення, практичні рекомендації",2021-06-30,Psychology of Personality
60,Zinoviia Karpenko,https://orcid.org/0000-0002-0747-2591,https://doi.org/10.31392/npu-nc.series12.2021.13(58).04,ПОЕТИЧНА ПСИХОТЕРАПІЯ ЯК ЗАСІБ ФАСИЛІТАЦІЇ ДУХОВНОЇ ТРАНСФОРМАЦІЇ ОСОБИСТОСТІ,2021-03-31,Науковий часопис НПУ імені М. П. Драгоманова. Серія 12. Психологічні науки
61,Zinoviia Karpenko,https://orcid.org/0000-0002-0747-2591,https://doi.org/10.15330/ps.10.1.203-209,МЕТАМОДЕРНІСТСЬКІ ЗАСАДИ МЕДІАПСИХОЛОГІЇ ОСОБИСТОСТІ (англ),2020-02-20,Psychology of Personality
62,Zinoviia Karpenko,https://orcid.org/0000-0002-0747-2591,https://doi.org/10.15330/ps.9.1.96-104,З ДОСВІДУ ЗАСТОСУВАННЯ АВТОБІОГРАФІЧНОГО НАРАТИВУ В ОРГАНІЗАЦІЙНІЙ ПСИХОЛОГІЇ: АКСІОЛОГІЧНА ОПТИКА,2019-02-20,Psychology of Personality
63,Zinoviia Karpenko,https://orcid.org/0000-0002-0747-2591,https://doi.org/10.31108/1.2018.6.16.6,МОБІНГ В АКМЕПЕРІОДІ: РИЗИКИ І РЕСУРСИ КОРЕКЦІЇ ЖИТТЄВОГО СЦЕНАРІЮ ОСОБИСТОСТІ,2018-07-02,PSYCHOLOGICAL JOURNAL
64,Zinoviia Karpenko,https://orcid.org/0000-0002-0747-2591,https://doi.org/10.15330/ps.8.1.7-13,ЕПІСТЕМОЛОГІЧНІ МОДУСИ МЕТОДОЛОГІЧНОЇ ТРІАНГУЛЯЦІЇ   В ПЕРСОНОЛОГІЇ,2018-02-20,Psychology of Personality
65,Joanna Kossewska,https://orcid.org/0000-0002-8156-6764,empty,Acceptance of robot-mediated teaching and therapy for children with atypical development by Polish professionals,2020,Journal of Policy and Practice in Intellectual Disabilities
66,Joanna Kossewska,https://orcid.org/0000-0002-8156-6764,empty,Teacher education and confidence regarding autism of specialist primary school teachers,2020,European Journal of Special Needs Education
67,Joanna Kossewska,https://orcid.org/0000-0002-8156-6764,https://doi.org/10.1111/jppi.12296,Acceptance of Robot‐Mediated Teaching and Therapy for Children With Atypical Development by Polish Professionals,2020-03,Journal of Policy and Practice in Intellectual Disabilities
68,Joanna Kossewska,https://orcid.org/0000-0002-8156-6764,https://doi.org/10.21277/sw.v1i9.441,Training needs in the field of autism by contemporary polish teachers in the context of international asd-east project ,2019,Social Welfare Interdisciplinary Approach
69,Joanna Kossewska,https://orcid.org/0000-0002-8156-6764,https://doi.org/10.24917/20845596.11.13,Knowledge about autism by Polish future psychologists ,2018,Annales Universitatis Paedagogicae Cracoviensis. Studia Psychologica
70,Joanna Kossewska,https://orcid.org/0000-0002-8156-6764,https://doi.org/10.5875/ausmt.v8i1.1582,Music play using a vibraphone with a humanoid robot as interaction training for autistic children,2018,International Journal of Automation and Smart TechnologyOpen Access
71,Joanna Kossewska,https://orcid.org/0000-0002-8156-6764,https://doi.org/10.24917/20845596.10.5,Adults with HF-ASD in loving relationships : a research report ,2017,Annales Universitatis Paedagogicae Cracoviensis. Studia Psychologica
72,Joanna Kossewska,https://orcid.org/0000-0002-8156-6764,https://doi.org/10.5604/01.3001.0011.7871,Wypalenie sił a perspektywa temporalna u rodziców dzieci z zaburzeniami rozwoju,2017,PSYCHOLOGIA WYCHOWAWCZA
73,Katarzyna Anna Kotlarska,https://orcid.org/0000-0002-8243-3381,https://doi.org/10.3390/ijerph19010056,Phenomenology of the COVID-19 Pandemic Experience in Patients Suffering from Chronic Schizophrenia—A Qualitative Analysis,2021-12-22,International Journal of Environmental Research and Public Health
74,Katarzyna Anna Kotlarska,https://orcid.org/0000-0002-8243-3381,https://doi.org/10.12740/pt/123003,Model pracy Dziennego Oddziału Psychiatrycznego Rehabilitacyjnego Kraków-Podgórze II w Szpitalu Babińskiego w Krakowie,2020,Psychoterapia
75,Łukasz Radosław Krzywoszański,https://orcid.org/0000-0001-9222-2150,https://doi.org/10.3389/fnins.2021.727440,Bedtime Procrastination Partially Mediates the Impact of Personality Characteristics on Daytime Fatigue Resulting From Sleep Deficiency,2021-09-24,Frontiers in Neuroscience
76,Łukasz Radosław Krzywoszański,https://orcid.org/0000-0001-9222-2150,https://doi.org/10.3389/fpsyt.2021.576867,Symptoms of Anxiety and Depression in Students With Developmental Disabilities During COVID-19 Lockdown in Poland.,2021-03-18,Frontiers in psychiatry
77,Łukasz Radosław Krzywoszański,https://orcid.org/0000-0001-9222-2150,https://doi.org/10.3390/biomedicines8110509,"Early Depression Independently of Other Neuropsychiatric Conditions, Influences Disability and Mortality after Stroke (Research Study—Part of PROPOLIS Study)",2020-11-17,Biomedicines
78,Łukasz Radosław Krzywoszański,https://orcid.org/0000-0001-9222-2150,https://doi.org/10.1007/s12144-020-00797-y,The revised Edward Zigler Yale-Personality Questionnaire (EZPQ) for persons with intellectual disability: A new four-factor structure in confirmatory factor analysis,2020-05-22,Current Psychology
79,Łukasz Radosław Krzywoszański,https://orcid.org/0000-0001-9222-2150,https://doi.org/10.24917/20845596.12.6,Przegląd badań nad deficytami w rozwoju teorii umysłu u dzieci z FASD,2019-12-01,Annales Universitatis Paedagogicae Cracoviensis Studia Psychologica
80,Łukasz Radosław Krzywoszański,https://orcid.org/0000-0001-9222-2150,https://doi.org/10.3389/fnins.2019.00963,"Bedtime Procrastination, Sleep-Related Behaviors, and Demographic Factors in an Online Survey on a Polish Sample",2019-09-18,Frontiers in Neuroscience
81,Łukasz Radosław Krzywoszański,https://orcid.org/0000-0001-9222-2150,https://doi.org/10.3389/fpsyt.2019.00221,Sleep Disorders in Huntington’s Disease,2019-04-12,Frontiers in Psychiatry
82,Łukasz Radosław Krzywoszański,https://orcid.org/0000-0001-9222-2150,https://doi.org/10.4172/neuropsychiatry.1000193,Emotions processing in amyotrophic lateral sclerosis and behavioral variant of frontotemporal dementia-correlation with executive functions,2017,Neuropsychiatry
83,Łukasz Radosław Krzywoszański,https://orcid.org/0000-0001-9222-2150,https://doi.org/10.15219/em72.1323,Perspektywy stosowania w edukacji techniki implementacji intencji,2017-12-31,e-mentor
84,Marzena Agnieszka Kutt,https://orcid.org/0000-0001-9222-2150,https://doi.org/10.3389/fnins.2021.727440,Bedtime Procrastination Partially Mediates the Impact of Personality Characteristics on Daytime Fatigue Resulting From Sleep Deficiency,2021-09-24,Frontiers in Neuroscience
85,Marzena Agnieszka Kutt,https://orcid.org/0000-0001-9222-2150,https://doi.org/10.3389/fpsyt.2021.576867,Symptoms of Anxiety and Depression in Students With Developmental Disabilities During COVID-19 Lockdown in Poland.,2021-03-18,Frontiers in psychiatry
86,Marzena Agnieszka Kutt,https://orcid.org/0000-0001-9222-2150,https://doi.org/10.3390/biomedicines8110509,"Early Depression Independently of Other Neuropsychiatric Conditions, Influences Disability and Mortality after Stroke (Research Study—Part of PROPOLIS Study)",2020-11-17,Biomedicines
87,Marzena Agnieszka Kutt,https://orcid.org/0000-0001-9222-2150,https://doi.org/10.1007/s12144-020-00797-y,The revised Edward Zigler Yale-Personality Questionnaire (EZPQ) for persons with intellectual disability: A new four-factor structure in confirmatory factor analysis,2020-05-22,Current Psychology
88,Marzena Agnieszka Kutt,https://orcid.org/0000-0001-9222-2150,https://doi.org/10.24917/20845596.12.6,Przegląd badań nad deficytami w rozwoju teorii umysłu u dzieci z FASD,2019-12-01,Annales Universitatis Paedagogicae Cracoviensis Studia Psychologica
89,Marzena Agnieszka Kutt,https://orcid.org/0000-0001-9222-2150,https://doi.org/10.3389/fnins.2019.00963,"Bedtime Procrastination, Sleep-Related Behaviors, and Demographic Factors in an Online Survey on a Polish Sample",2019-09-18,Frontiers in Neuroscience
