,name,orcid,link,title,date,journal
0,ADRIANNA WERONIKA BOBER,https://orcid.org/0000-0003-2242-2311,https://doi.org/10.3390/ijerph19010230,Impact of Shyness on Self-Esteem: The Mediating Effect of Self-Presentation,2021-12-26,International Journal of Environmental Research and Public Health
1,ADRIANNA WERONIKA BOBER,https://orcid.org/0000-0003-2242-2311,https://doi.org/10.3390/jcm10184199,Higher-Order Language Dysfunctions in Individuals with Alcohol Use Disorder,2021-09-16,Journal of Clinical Medicine
2,ADRIANNA WERONIKA BOBER,https://orcid.org/0000-0003-2242-2311,https://doi.org/10.3390/jcm10143158,"Relationship of Corpus Callosum Integrity with Working Memory, Planning, and Speed of Processing in Patients with First-Episode and Chronic Schizophrenia",2021-07,Journal of Clinical Medicine
3,MAGDALENA MIROSŁAWA CHĘĆ,https://orcid.org/0000-0001-8666-4905,https://doi.org/10.12740/app/109628,Contemporary views on shyness – a literature review,2019-09-07,Archives of Psychiatry and Psychotherapy
4,MAGDALENA MIROSŁAWA CHĘĆ,https://orcid.org/0000-0001-8666-4905,https://doi.org/10.1080/00220671.2016.1157783,Academic motivation in children with dyslexia,2017,Journal of Educational Research
5,ADAM PAWEŁ FALEWICZ,https://orcid.org/0000-0002-0412-7602,https://doi.org/10.34766/fetr.v48i4.989,Typology of people in middle and late adulthood based on the profile of coping with everyday life events,2021-12-30,Kwartalnik Naukowy Fides et Ratio
6,ADAM PAWEŁ FALEWICZ,https://orcid.org/0000-0002-0412-7602,https://doi.org/10.3390/rel12121049,Validation of the Polish Version of the Brief Measure of Perceived Divine Engagement and Disengagement in Response to Prayer (PDED),2021-11,Religions
7,ADAM PAWEŁ FALEWICZ,https://orcid.org/0000-0002-0412-7602,empty,Psychological theories of stress and coping,2017,Studia Paradyskie
8,KAROLINA KALISZEWSKA,https://orcid.org/0000-0002-3925-8397,https://doi.org/10.14746/ikps.2017.17.05,Proces adaptacji rodziców do roli rodzicielskiej dziecka z zespołem Downa jako strategia radzenia sobie z sytuacją stresową,2018-09-09,Interdyscyplinarne Konteksty Pedagogiki Specjalnej
9,KAROL MARCIN KARASIEWICZ,https://orcid.org/0000-0002-5890-6118,https://doi.org/10.3390/jcm10184199,Higher-Order Language Dysfunctions in Individuals with Alcohol Use Disorder,2021-09-16,Journal of Clinical Medicine
10,KAROL MARCIN KARASIEWICZ,https://orcid.org/0000-0002-5890-6118,https://doi.org/10.1007/s11332-020-00722-7,Spotlight on the link between imagery and empathy in sport,2021-03-03,Sport Sciences for Health
11,MAGDALENA TERESA KERESTEY,https://orcid.org/0000-0002-7395-7730,https://doi.org/10.3390/brainsci11111420,Assessment of Motor Planning and Inhibition Performance in Non-Clinical Sample—Reliability and Factor Structure of the Tower of London and Go/No Go Computerized Tasks,2021-10-27,Brain Sciences
12,MAGDALENA TERESA KERESTEY,https://orcid.org/0000-0002-7395-7730,https://doi.org/10.3390/jcm10143158,"Relationship of Corpus Callosum Integrity with Working Memory, Planning, and Speed of Processing in Patients with First-Episode and Chronic Schizophrenia",2021-07-17,Journal of Clinical Medicine
13,MAGDALENA TERESA KERESTEY,https://orcid.org/0000-0002-7395-7730,https://doi.org/10.3390/jcm10132782,"Executive Dysfunctions in Schizophrenia: A Critical Review of Traditional, Ecological, and Virtual Reality Assessments",2021-06-24,Journal of Clinical Medicine
14,MAGDALENA TERESA KERESTEY,https://orcid.org/0000-0002-7395-7730,https://doi.org/10.1016/j.pnpbp.2020.109955,The relationship between cingulum bundle integrity and different aspects of executive functions in chronic schizophrenia,2020-08,Progress in Neuro-Psychopharmacology and Biological Psychiatry
15,MAGDALENA TERESA KERESTEY,https://orcid.org/0000-0002-7395-7730,https://doi.org/10.18290/rpsych.2018.21.3-5,Validation of the Polish version of the Short Form of the Five Facet Mindfulness Questionnaire,2018,Roczniki Psychologiczne
16,KRYSTIAN MICHAŁ KONIECZNY,https://orcid.org/0000-0002-9779-0947,https://doi.org/10.12740/app/143999,Online psychotherapy during COVID-19 pandemic - experiences of psychotherapists. Research review.,2021-11-21,Archives of Psychiatry and Psychotherapy
17,KRYSTIAN MICHAŁ KONIECZNY,https://orcid.org/0000-0002-9779-0947,https://doi.org/10.12740/pp/100373,Dimensions of Neurotic Personality and Its Selected Predictors in Individuals With Arterial Hypertension,2019-08-31,Psychiatria Polska
18,ZDZISŁAW STANISŁAW KROPLEWSKI,https://orcid.org/0000-0003-4842-661X,https://doi.org/10.3390/rel12121049,Validation of the Polish Version of the Brief Measure of Perceived Divine Engagement and Disengagement in Response to Prayer (PDED),2021-11,Religions
19,MARIA ANTONINA LIGOCKA,https://orcid.org/0000-0003-3955-0774,https://doi.org/10.12740/pp/82028,Intermediary role of mood in the way music affects emotional reception of visual stimuli in adolescents,2019,Psychiatria Polska
20,MARIA ANTONINA LIGOCKA,https://orcid.org/0000-0003-3955-0774,https://doi.org/10.37096/shdisj-19-1.1-0003,HOPE AND TIME PERSPECTIVE,2019-12-15,Socialization & Human Development: International Scientific Journal
21,MARIA ANTONINA LIGOCKA,https://orcid.org/0000-0003-3955-0774,https://doi.org/10.1016/j.paid.2017.12.008,The association between COMT rs4680 and OPRM1 rs1799971 polymorphisms and temperamental traits in combat athletes,2018,Personality and Individual Differences
22,MARIA ANTONINA LIGOCKA,https://orcid.org/0000-0003-3955-0774,https://doi.org/10.21164/pomjlifesci.493,Wpływ muzyki popularnej na odbiór emocjonalny materiału obrazowego u młodzieży gimnazjalnej,2018-12-20,Pomeranian Journal of Life Sciences
23,MARIA ANTONINA LIGOCKA,https://orcid.org/0000-0003-3955-0774,https://doi.org/10.1016/j.physbeh.2017.08.018,Temperament as a modulating factor of pain sensitivity in combat sport athletes,2017,Physiology and Behavior
24,MARIA ANTONINA LIGOCKA,https://orcid.org/0000-0003-3955-0774,https://doi.org/10.29359/bjhpa.09.4.14,Sensitivity to pain and strategies of coping with stress in combat athletes,2017-12-31,Baltic journal of Health and Physical Activity
25,SYLWIA NATALIA MICHAŁOWSKA,https://orcid.org/0000-0003-4504-910X,https://doi.org/10.3390/jcm10112225,White Matter Integrity of the Corpus Callosum and Psychopathological Dimensions in Deficit and Non-Deficit Schizophrenia Patients,2021-05,Journal of Clinical Medicine
26,SYLWIA NATALIA MICHAŁOWSKA,https://orcid.org/0000-0003-4504-910X,empty,Psychosocial context of the decision-making process and the consequences of preventive procedures in a patient with BRCA1 genetic mutation,2020,Archives of Psychiatry and Psychotherapy
27,SYLWIA NATALIA MICHAŁOWSKA,https://orcid.org/0000-0003-4504-910X,https://doi.org/10.12740/app/112143,How to support patients with BRCA genetic mutation? Research review.,2019-12-18,Archives of Psychiatry and Psychotherapy
28,SYLWIA NATALIA MICHAŁOWSKA,https://orcid.org/0000-0003-4504-910X,empty,Styles of coping with stress and the level of anxiety in patients with cancer,2019-06,Archives of Psychiatry and Psychotherapy
29,SYLWIA NATALIA MICHAŁOWSKA,https://orcid.org/0000-0003-4504-910X,empty,Components of the psychosocial functioning of carriers of BRCA1 and/or BRCA2 gene mutations,2018-11,Psychiatria
30,MARZENA PIŁAT,https://orcid.org/0000-0002-8410-5752,https://doi.org/10.12740/app/144883,Fear of death among voluntary migrants - qualitative pilot study,2021-12-30,Archives of Psychiatry and Psychotherapy
31,WOJCIECH ROBERT RODZEŃ,https://orcid.org/0000-0002-6194-3286,https://doi.org/10.2147/prbm.s322788,Influence of Life Satisfaction on Self-Esteem Among Young Adults: The Mediating Role of Self-Presentation,2021-09,Psychology Research and Behavior Management
32,WOJCIECH ROBERT RODZEŃ,https://orcid.org/0000-0002-6194-3286,https://doi.org/10.3390/rel12040284,The Loss of Self-Dignity and Anger among Polish Young Adults: The Moderating Role of Religiosity,2021-04-20,Religions
33,WOJCIECH ROBERT RODZEŃ,https://orcid.org/0000-0002-6194-3286,https://doi.org/10.2147/prbm.s275902,<p>The Role of Self-Esteem in the Relationship Between Loneliness and Life Satisfaction in Late Adulthood: Evidence from Poland</p>,2020-12,Psychology Research and Behavior Management
34,WOJCIECH ROBERT RODZEŃ,https://orcid.org/0000-0002-6194-3286,https://doi.org/10.2147/prbm.s268643,<p>Big Five Personality Traits and Gratitude: The Role of Emotional Intelligence</p>,2020-11,Psychology Research and Behavior Management
35,WOJCIECH ROBERT RODZEŃ,https://orcid.org/0000-0002-6194-3286,https://doi.org/10.1007/s12144-020-00942-7,Positive downstream indirect reciprocity scale (PoDIRS–6): Construction and psychometric characteristics,2020-07-24,Current Psychology
36,WOJCIECH ROBERT RODZEŃ,https://orcid.org/0000-0002-6194-3286,empty,Wise functioning and coping strategies in adolescents: Age as an intervening variable,2018-06,Educational Psychology
37,DAWID SUBOCZ,https://orcid.org/0000-0003-1604-1547,https://doi.org/10.12740/app/143916,The role of attachment relationships in the pathogenesis of dissociative symptoms – literature review,2021-11-13,Archives of Psychiatry and Psychotherapy
