,name,orcid,link,title,date,journal
0,Anna Anzulewicz,https://orcid.org/0000-0002-3065-2136,https://doi.org/10.1016/j.concog.2019.102798,In search of the optimal measure of awareness: Discrete or continuous?,2019-10,Consciousness and Cognition
1,Anna Anzulewicz,https://orcid.org/0000-0002-3065-2136,https://doi.org/10.1136/bmjopen-2018-026226,Phase 3 diagnostic evaluation of a smart tablet serious game to identify autism in 760 children 3-5 years old in Sweden and the United Kingdom.,2019-07,BMJ open
2,Anna Anzulewicz,https://orcid.org/0000-0002-3065-2136,https://doi.org/10.3758/s13414-019-01781-w,Bringing action into the picture. How action influences visual awareness,2019-06-05,"Attention, Perception, & Psychophysics"
3,Anna Anzulewicz,https://orcid.org/0000-0002-3065-2136,https://doi.org/10.1111/cogs.12578,Shades of Awareness on the Mechanisms Underlying the Quality of Conscious Representations: A Commentary to Fazekas and Overgaard ().,2018-01,Cognitive science
4,Anna Anzulewicz,https://orcid.org/0000-0002-3065-2136,https://doi.org/10.1038/s41598-017-14209-y,Automatic recognition of therapy progress among children with autism,2017-10,Scientific Reports
5,Aleksandra Bala,https://orcid.org/0000-0001-6239-7232,https://doi.org/10.1016/j.jocn.2020.11.027,Awake intraoperative mapping to identify cortical regions related to music performance: Technical note,2021,Journal of Clinical Neuroscience
6,Aleksandra Bala,https://orcid.org/0000-0001-6239-7232,https://doi.org/10.1371/journal.pone.0257678,Occult focal cortical dysplasia may predict poor outcome of surgery for drug-resistant mesial temporal lobe epilepsy,2021-09-30,PLOS ONE
7,Aleksandra Bala,https://orcid.org/0000-0001-6239-7232,https://doi.org/10.3389/fneur.2021.727055,Cortical and Subcortical Anatomy of the Parietal Lobe From the Neurosurgical Perspective,2021-08-26,Frontiers in Neurology
8,Aleksandra Bala,https://orcid.org/0000-0001-6239-7232,https://doi.org/10.1007/s10143-021-01602-5,"Anatomical aspects of the insula, opercula and peri-insular white matter for a transcortical approach to insular glioma resection",2021-07-22,Neurosurgical Review
9,Aleksandra Bala,https://orcid.org/0000-0001-6239-7232,https://doi.org/10.1109/jsen.2020.3012404,Fatigue detection caused by office work with the use of EOG signal,2020,IEEE Sensors Journal
10,Aleksandra Bala,https://orcid.org/0000-0001-6239-7232,https://doi.org/10.1038/s41598-018-36031-w,Experience of adverse events with cerebral propofol testing in patients with drug resistant epilepsy,2019,Scientific Reports
11,Aleksandra Bala,https://orcid.org/0000-0001-6239-7232,https://doi.org/10.1176/appi.neuropsych.17080153,Social Perception in Mesial Temporal Lobe Epilepsy: Interpreting Social Information From Moving Shapes and Biological Motion,2018,Journal of Neuropsychiatry and Clinical Neurosciences
12,Aleksandra Bala,https://orcid.org/0000-0001-6239-7232,https://doi.org/10.1016/j.yebeh.2017.04.016,Gaze matters! The effect of gaze direction on emotional enhancement of memory for faces in patients with mesial temporal lobe epilepsy,2017,Epilepsy and Behavior
13,Aleksandra Bala,https://orcid.org/0000-0001-6239-7232,https://doi.org/10.1038/s41598-017-00565-2,Social cognition in neuropsychiatric populations: a comparison of theory of mind in schizophrenia and mesial temporal lobe epilepsy,2017,Scientific Reports
14,Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,https://doi.org/10.1111/jopy.12636,Communal collective narcissism,2021,JOURNAL OF PERSONALITY
15,Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,https://doi.org/10.1037/rel0000273,The Assessment of Spirituality and Religious Sentiments (ASPIRES) Scale: Examining a Spiritual Transcendence Nomological Net in Polish Context,2021,Psychology of Religion and Spirituality
16,Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,https://doi.org/10.1177/1948550620963655,"Collective Narcissism, In-Group Satisfaction, and Solidarity in the Face of COVID-19",2020,Social Psychological and Personality Science
17,Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,https://doi.org/10.1037/pspp0000260,"Low Self-Esteem Predicts Out-group Derogation via Collective Narcissism, but this Relationship Is Obscured by In-group Satisfaction",2020,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY
18,Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,https://doi.org/10.1037/sgd0000446,"The COVID-19 pandemic, authoritarianism, and rejection of sexual dissenters in Poland.",2020,Psychology of Sexual Orientation and Gender Diversity
19,Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,https://doi.org/10.3390/ijerph17124565,The State of Vaccine Confidence in Poland: A 2019 Nationwide Cross-Sectional Survey,2020,International Journal of Environmental Research and Public Health
20,Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,https://doi.org/10.1002/ijop.12487,"Cross-cultural invariance of NPI-13: Entitlement as culturally specific, leadership and grandiosity as culturally universal",2019,INTERNATIONAL JOURNAL OF PSYCHOLOGY
21,Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,https://doi.org/10.1002/per.2206,Seeking a common framework for research on narcissism: An attempt to integrate the different faces of narcissism within the Circumplex of Personality Metatraits,2019,EUROPEAN JOURNAL OF PERSONALITY
22,Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,https://doi.org/10.19195/2083-7763.9.17,Fear of missing out a korzystanie z urządzeń umożliwiających dostęp do mediów społecznościowych na podstawie badań polskich internautów,2019-04-17,Forum Socjologiczne
23,Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,empty,Fear of missing out a korzystanie z urządzeń umożliwiających dostęp do mediów społecznościowych na podstawie badań polskich internautów,2018,Forum Socjologiczne
24,Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,empty,Fear of missing out a korzystanie z urządzeń umożliwiających dostęp do mediów społecznościowych na podstawie badań polskich internautów,2018,Forum Socjologiczne
25,Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,empty,Fear of Missing Out a korzystanie z urządzeń umożliwiających dostęp do mediów społecznościowych – w oparciu o badania polskich internautów,2018,Forum Socjologiczne
26,Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,empty,Corruption and Sexual Scandal: The Importance of Politician Gender,2017,Anales de Psicologia
27,Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,https://doi.org/10.6018/analesps.32.3.229171,Corruption and Sexual Scandal: The Importance of Politician Gender,2017,Anales de Psicologia
28,Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,empty,Roszczeniowość psychologiczna a metoda jej pomiaru: Polska adaptacja Skali roszczeniowości psychologicznej (PES),2017,SOCIAL PSYCHOLOGICAL BULLETIN (PSYCHOLOGIA SPOLECZNA)
29,Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,https://doi.org/10.7366/1896180020163809,Roszczeniowość psychologiczna a metoda jej pomiaru: Polska adaptacja Skali roszczeniowości psychologicznej (PES),2017,PSYCHOLOGIA SPOLECZNA
30,Kamilla Bargiel-Matusiewicz,https://orcid.org/0000-0002-9467-2267,https://doi.org/10.1007/s11211-021-00373-0,Beliefs on Sexual Violence in the Context of System Justification Theory: The Role of Hostile Sexism and Beliefs in Biological Origins of Gender Differences,2021-07-21,Social Justice Research
31,Kamilla Bargiel-Matusiewicz,https://orcid.org/0000-0002-9467-2267,https://doi.org/10.1002/jclp.23011,The role of beliefs about the impact of illness on fertility and close relationships for psychopathological symptoms in women treated for hypothyroidism,2020-12-27,Journal of Clinical Psychology
32,Kamilla Bargiel-Matusiewicz,https://orcid.org/0000-0002-9467-2267,https://doi.org/10.3390/rel11030132,Emotional State of Parents of Children Diagnosed with Cancer: Examining Religious and Meaning-Focused Coping,2020-03-16,Religions
33,Kamilla Bargiel-Matusiewicz,https://orcid.org/0000-0002-9467-2267,https://doi.org/10.3389/fpsyg.2019.01526,"Smoking status, body mass index, health-related quality of life, and acceptance of life with illness in stable outpatients with COPD",2019,Frontiers in Psychology
34,Kamilla Bargiel-Matusiewicz,https://orcid.org/0000-0002-9467-2267,https://doi.org/10.1177/0391398818823765,The positive influence of psychological intervention on the level of anxiety and depression in dialysis patients: A pilot study,2019,International Journal of Artificial Organs
35,Kamilla Bargiel-Matusiewicz,https://orcid.org/0000-0002-9467-2267,https://doi.org/10.1080/13548506.2019.1619789,The role of psychological and medical variables in the process of adaptation to life with chronic illness in a group of COPD outpatients,2019,"Psychology, Health and Medicine"
36,Kamilla Bargiel-Matusiewicz,https://orcid.org/0000-0002-9467-2267,https://doi.org/10.3389/fpsyg.2019.02011,Posttraumatic Stress Symptoms and Posttraumatic Growth in Mothers of Children With Intellectual Disability – The Role of Intrusive and Deliberate Ruminations: A Preliminary Report,2019-09-04,Frontiers in Psychology
37,Kamilla Bargiel-Matusiewicz,https://orcid.org/0000-0002-9467-2267,https://doi.org/10.3389/fpsyg.2018.02316,Gray's personality dimensions and reasons for voluntary sleep deprivation among college students,2018,Frontiers in Psychology
38,Kamilla Bargiel-Matusiewicz,https://orcid.org/0000-0002-9467-2267,empty,Hormonal contraception use in social and psychological context,2017,"Wiadomosci lekarskie (Warsaw, Poland : 1960)"
39,Kamilla Bargiel-Matusiewicz,https://orcid.org/0000-0002-9467-2267,https://doi.org/10.3389/fpsyg.2017.01245,Mixed psychological changes following mastectomy: Unique predictors and heterogeneity of post-traumatic growth and post-traumatic depreciation,2017,Frontiers in Psychology
40,Julia Izabela Barlińska,https://orcid.org/0000-0001-6014-9390,https://doi.org/10.14746/ikps.2018.20.05,Cyberprzemoc a kreowanie własnego wizerunku w internecie - co w ich mechanizmach zmienia niepełnosprawność młodych dorosłych osób?,2018-10-22,Interdyscyplinarne Konteksty Pedagogiki Specjalnej
41,Julia Izabela Barlińska,https://orcid.org/0000-0001-6014-9390,https://doi.org/10.3389/fpsyg.2018.00799,Cyberbullying Among Adolescent Bystanders: Role of Affective Versus Cognitive Empathy in Increasing Prosocial Cyberbystander Behavior,2018-05,Frontiers in Psychology
42,Michał Kamil Bilewicz,https://orcid.org/0000-0001-5027-1691,https://doi.org/10.1080/00918369.2016.1179029,On Old-Fashioned Versus Modern Homonegativity Distinction: Evidence From Poland,2017,Journal of Homosexuality
43,Michał Kamil Bilewicz,https://orcid.org/0000-0001-5027-1691,https://doi.org/10.1016/j.paid.2016.09.058,“Humanum ignoscere est”. The relationship of national and supranational identifications with intergroup forgiveness,2017,Personality and Individual Differences
44,Barbara Janina Bokus,https://orcid.org/0000-0002-3048-0055,https://doi.org/10.1007/s10936-019-09654-x,Children’s Comprehension of Irony: Studies on Polish-Speaking Preschoolers,2019,Journal of Psycholinguistic Research
45,Barbara Janina Bokus,https://orcid.org/0000-0002-3048-0055,https://doi.org/10.5604/01.3001.0013.2960,Jak dzieci w wieku przedszkolnym uzasadniają użycie języka figuratywnego.  Dane z  badań z zastosowaniem Zadania Rozumienia Ironii (ZRI)  ,2019,Psychologia Wychowawcza
46,Barbara Janina Bokus,https://orcid.org/0000-0002-3048-0055,empty,"Разбиране от деца и юноши на метафори, описващи хора",2018,Ezik i literatura
47,Barbara Janina Bokus,https://orcid.org/0000-0002-3048-0055,https://doi.org/10.1515/plc-2017-0018,Editorial remarks: beyond literal meaning. Metaphors,2017,Psychology of Language and Communication
48,Barbara Janina Bokus,https://orcid.org/0000-0002-3048-0055,https://doi.org/10.1515/plc-2017-0005,The Dialogical Self's Round Table: Who sits at it and where?,2017,Psychology of Language and Communication
49,Barbara Janina Bokus,https://orcid.org/0000-0002-3048-0055,https://doi.org/10.3389/fpsyg.2017.02215,"When sugar-coated words taste dry: The relationship between gender, anxiety, and response to irony",2017,Frontiers in Psychology
50,Magdalena Daria Budziszewska,https://orcid.org/0000-0002-1837-2086,https://doi.org/10.3390/su131911119,“These Are the Very Small Things That Lead Us to That Goal”: Youth Climate Strike Organizers Talk about Activism Empowering and Taxing Experiences,2021-10-08,Sustainability
51,Magdalena Daria Budziszewska,https://orcid.org/0000-0002-1837-2086,https://doi.org/10.1177/0022167821993243,From Climate Anxiety to Climate Action: An Existential Perspective on Climate Change Concerns Within Psychotherapy,2021-02-10,Journal of Humanistic Psychology
52,Magdalena Daria Budziszewska,https://orcid.org/0000-0002-1837-2086,https://doi.org/10.1007/s10508-020-01800-0,"An Experiencer, An Animal or An Object? Erection Salience Decreases Men’s Perceived Agency",2020,Archives of Sexual Behavior
53,Magdalena Daria Budziszewska,https://orcid.org/0000-0002-1837-2086,https://doi.org/10.3389/fpsyg.2020.570928,Love and Romantic Relationships in the Voices of Patients Who Experience Psychosis: An Interpretive Phenomenological Analysis,2020,Frontiers in Psychology
54,Magdalena Daria Budziszewska,https://orcid.org/0000-0002-1837-2086,https://doi.org/10.1177/0743558419845870,“Anger Detracts From Beauty”: Gender Differences in Adolescents’ Narratives About Anger,2020-09-29,Journal of Adolescent Research
55,Magdalena Daria Budziszewska,https://orcid.org/0000-0002-1837-2086,https://doi.org/10.1177/0143034319867745,Differentiated content of verbal aggression: Effect of gender on insults in secondary schools in Poland,2019,SCHOOL PSYCHOLOGY INTERNATIONAL
