,name,orcid,link,title,date,journal
0,Olga Bąk,https://orcid.org/0000-0002-8347-031X,https://doi.org/10.4467/20843879pr.21.013.15136,Pochwały i krytyka od nauczyciela a bezradność intelektualna z matematyki i języka polskiego u dziewcząt i chłopców w okresie wczesnej adolescencji,2021-09,Psychologia Rozwojowa
1,Olga Bąk,https://orcid.org/0000-0002-8347-031X,https://doi.org/10.1080/01443410.2020.1778642,Can praise undo the unfavourable effects of earlier failures?,2020-11-25,Educational Psychology
2,Olga Bąk,https://orcid.org/0000-0002-8347-031X,https://doi.org/10.1016/j.psychres.2018.05.054,Assessment of the frequency criterion for the diagnosis of non-suicidal self-injury disorder in female adolescents with conduct disorder,2018,Psychiatry Research
3,Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.18778/2450-4491.12.14,Strategia unikowego radzenia sobie młodzieży w wieku dorastania w sytuacji konfliktu społecznego w kontekście oceny poznawczej konfliktu i modelującego wpływu rodziców,2021-06-14,Nauki o Wychowaniu. Studia Interdyscyplinarne
4,Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.5604/01.3001.0014.9041,Strategy of avoidance coping with a social conflict situation by adolescents – family implications,2021-04-30,Psychologia Wychowawcza
5,Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.4467/20843879pr.20.002.11999,Adolescent Coping Strategies in Social Conflict in Relation to Self-Esteem and Cognitive Appraisal of a Conflict,2020,Psychologia Rozwojowa
6,Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.14656/pfp20200201,Coping strategies in adolescents in situations of social conflict and the locus of control ,2020,Polskie Forum Psychologiczne
7,Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.16926/p.2020.29.10,Youth coping strategies in a social conflict situation – theoretical implications,2020,Pedagogika. Studia i Rozprawy
8,Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.12775/pbe.2020.019,Self-Esteem and Strategies for Coping with a Social Conflict Situation Preferred by Adolescents,2020-12-30,Przegląd Badań Edukacyjnych
9,Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.17951/j.2020.33.2.179-206,Ocena poznawcza konfliktu i emocjonalny wymiar strategii radzenia sobie młodzieży w sytuacji konfliktu społecznego,2020-06-29,"Annales Universitatis Mariae Curie-Skłodowska, sectio J – Paedagogia-Psychologia"
10,Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.34862/fo.2019.1.3,Aggressive strategy for coping with a social conflict situation by adolescents: Psychosocial conditions,2019,Forum Oświatowe
11,Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,empty,Ocena poznawcza jako czynnik determinujący strategie agresji w radzeniu sobie gimnazjalistów w sytuacji konfliktu społecznego,2019,Chowanna
12,Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,empty,"Strategia agresywnego radzenia sobie młodzieży gimnazjalnej w sytuacji konfliktu społecznego w kontekście poczucia kontroli nad sytuacją, oceny poznawczej konfliktu i reakcji emocjonalnych",2019,"Teraźniejszość, Człowiek, Edukacja"
13,Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.35923/jes.2018.2.05,Aggressive Coping Strategy in Situations of Social Conflict. An Attempt to Determine Personality Predictor,2018,Journal of Educational Sciences
14,Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.5604/01.3001.0012.8282,Determinants of aggressive coping strategies in adolescents in situations of social conflict,2018,Psychologia Wychowawcza
15,Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.13165/sd-18-16-1-04,Parental attitudes in the perception of adolescents and coping strategies in a social conflict situation,2018,Social Work
16,Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.4467/20843879pr.18.020.9949,Strategia agresywnego radzenia sobie młodzieży dorastającej w sytuacji konfliktu społecznego. Analiza osobowościowych i rodzinnych uwarunkowań,2018,Psychologia Rozwojowa
17,Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.5114/cipp.2018.75709,The role of emotional reactions and retrospective assessment of parental attitudes in controlling destructive strategies for coping with a social conflict situation by junior high school students,2018,Current Issues in Personality Psychology
18,Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.12775/pbe.2018.014,Adolescents in the Face of a Social Conflict Situation. The Analysis of Determinants of Destructive Coping Strategies,2018-11-29,Przegląd Badań Edukacyjnych
19,Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.15804/tner.2017.49.3.04,A cross-cultural comparison of Lithuanian and Polish adolescents' conflict styles ,2017,The New Educational Review
20,Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.14656/pfp20170405,Psychospołeczne korelaty agresywnej strategii radzenia sobie dorastających w sytuacji konfliktu społecznego,2017,Polskie Forum Psychologiczne
21,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.3390/su132413704,Negative Affect and Maladaptive Eating Behavior as a Regulation Strategy in Normal-Weight Individuals: A Narrative Review,2021-12,Sustainability
22,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.3390/ijerph182010979,"How Does Food Addiction Relate to Obesity? Patterns of Psychological Distress, Eating Behaviors and Physical Activity in a Sample of Lebanese Adults: The MATEO Study",2021-10,International Journal of Environmental Research and Public Health
23,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.3390/nu13072475,Dieting and Disinhibited Eating Patterns in Adult Women with Normal Body Weight: Does Rumination Matter?,2021-07,Nutrients
24,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.3390/nu13082571,The Relationship between Music and Food Intake: A Systematic Review and Meta-Analysis,2021-07,Nutrients
25,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.3390/nu13061993,The Spanish Version of the Eating Habits Questionnaire (EHQ-ES) and Its Links to Symptoms and Concerns Characteristic of Eating Disorders among Young Adults,2021-06,Nutrients
26,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.3390/nu13041316,The Relationships between Sleep and Mental and Physical Health of Chinese Elderly: Exploring the Mediating Roles of Diet and Physical Activity,2021-04,Nutrients
27,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.3390/ijerph18052690,Drunkorexia and Emotion Regulation and Emotion Regulation Difficulties: The Mediating Effect of Disordered Eating Attitudes,2021-03,International Journal of Environmental Research and Public Health
28,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.3390/nu13020675,How Healthy Are Health-Related Behaviors in University Students: The HOLISTic Study,2021-02,Nutrients
29,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.1007/s40519-020-00857-z,"Rumination, mood, and maladaptive eating behaviors in overweight and healthy populations",2021-02-20,"Eating and Weight Disorders - Studies on Anorexia, Bulimia and Obesity"
30,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.1007/s40519-020-00853-3,The impact of food-related behaviours and emotional functioning on body mass index in an adult sample,2021-02-20,Eating and Weight Disorders
31,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.1007/s40519-019-00816-3,Vegetarian diet and orthorexia nervosa: a review of the literature,2021-02-20,Eating and Weight Disorders
32,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,empty,How Healthy Are Health-Related Behaviors in University Students: The HOLISTic Study ,2021-02-19,Nutrients
33,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,empty,"Orthorexia nervosa and its association with alexithymia, emotion dysregulation and disordered eating attitudes among Lebanese adults",2021-02-11,"Eating and Weight Disorders - Studies on Anorexia, Bulimia and Obesity"
34,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.3390/nu12123716,Evaluation of Orthorexia Nervosa and Symptomatology Associated with Eating Disorders among European University Students: A Multicentre Cross-Sectional Study,2020-12,Nutrients
35,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.3390/nu12123907,"Pathological Preoccupation with Healthy Eating (Orthorexia Nervosa) in a Spanish Sample with Vegetarian, Vegan, and Non-Vegetarian Dietary Patterns",2020-12,Nutrients
36,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.3390/nu12123865,The Prevalence of Orthorexia Nervosa in Polish and Lebanese Adults and Its Relationship with Sociodemographic Variables and BMI Ranges: A Cross-Cultural Perspective,2020-12,Nutrients
37,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.3390/nu12123820,Assessing Orthorexia Nervosa: Validation of the Polish Version of the Eating Habits Questionnaire in a General Population Sample.,2020-12-14,Nutrients
38,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.3390/nu12113490,Identifying the Profile of Orthorexic Behavior and “Normal” Eating Behavior with Cluster Analysis: A Cross-Sectional Study among Polish Adults,2020-11,Nutrients
39,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.1007/s00737-020-01077-1,"The effect of a web-based psychoeducation on emotional functioning, eating behaviors, and body image among premenopausal women with excess body weight.",2020-11-11,Archives of women's mental health
40,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.1007/s40519-020-01025-z,The Polish version of the Düsseldorf Orthorexia Scale (PL-DOS) and its comparison with the English version of the DOS (E-DOS).,2020-10-06,Eating and weight disorders : EWD
41,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.3390/ijerph17176028,The Homeostatic Theory of Obesity: An Empirical Verification of the Circle of Discontent with an Assessment of Its Relationship to Restrained and Uncontrolled Eating among Children and Adolescents,2020-08,International Journal of Environmental Research and Public Health
42,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.1007/s40519-019-00740-6,The moderating effects of mindful eating on the relationship between emotional functioning and eating styles in overweight and obese women,2020-08-16,"Eating and Weight Disorders - Studies on Anorexia, Bulimia and Obesity"
43,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.3390/nu12072133,"Restrained Eating and Vegan, Vegetarian and Omnivore Dietary Intakes.",2020-07-17,Nutrients
44,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.3390/nu12030646,"Interaction between Vegetarian Versus Omnivorous Diet and Unhealthy Eating Patterns (Orthorexia Nervosa, Cognitive Restraint) and Body Mass Index in Adults",2020-02,Nutrients
45,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,empty,"Interaction between Vegetarian Versus Omnivorous Diet and Unhealthy Eating Patterns (Orthorexia Nervosa, Cognitive Restraint) and Body Mass Index in Adults ",2020-02-28,Nutrients
46,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.1186/s12888-019-2208-2,"Orthorexia nervosa, eating patterns and personality traits: a cross-cultural comparison of Italian, Polish and Spanish university students",2019-12,BMC Psychiatry
47,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.3390/ijerph16152692,Children’s and Mothers’ Perspectives of Problematic Eating Behaviours in Young Children and Adolescents: An Exploratory Study,2019-07-28,International Journal of Environmental Research and Public Health
48,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.1007/s40519-018-0563-5,Strict health-oriented eating patterns (orthorexic eating behaviours) and their connection with a vegetarian and vegan diet,2019-06,"Eating and Weight Disorders - Studies on Anorexia, Bulimia and Obesity"
49,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.1007/s40519-018-0606-y,Definition and diagnostic criteria for orthorexia nervosa: a narrative review of the literature,2019-04,"Eating and Weight Disorders - Studies on Anorexia, Bulimia and Obesity"
50,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.1186/s12937-018-0401-7,Food-related behaviours among individuals with overweight/obesity and normal body weight,2018,Nutr J
51,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.2147/ndt.s159562,"Risk assessment of night-eating syndrome occurrence in women in Poland, considering the obesity factor in particular",2018,Neuropsychiatr Dis Treat
52,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,empty,The psychopathology of body image in orthorexia nervosa,2018,Journal of Psychopathology
53,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.2147/ndt.s129660,Analysis concerning nutritional behaviors in the context of the risk of orthorexia,2017,Neuropsychiatric Disease and Treatment
54,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.12740/app/68422,Models of eating disorders: a theoretical investigation of abnormal eating patterns and body image disturbance,2017,Archives of Psychiatry and Psychotherapy
55,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.1186/s12888-017-1241-2,Orthorexia and anorexia nervosa: two distinct phenomena? A cross-cultural comparison of orthorexic behaviours in clinical and non-clinical samples,2017,Bmc Psychiatry
56,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.1007/s40519-017-0427-4,"Orthorexia nervosa: relationship with obsessive-compulsive symptoms, disordered eating patterns and body uneasiness among Italian university students",2017,Eating and Weight Disorders-Studies on Anorexia Bulimia and Obesity
57,Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.12740/app/76342,The three-factor eating questionnaire-R18 Polish version: Factor structure analysis among normal weight and obese adult women,2017,Archives of Psychiatry and Psychotherapy
58,Kamila Beata Czepczor-Bernat,https://orcid.org/0000-0002-1707-0000,https://doi.org/10.3390/nu14010187,"Comparison of Food-Based and Music-Based Regulatory Strategies for (Un)Healthy Eating, Depression, Anxiety and Stress",2021-12-31,Nutrients
