,name,orcid,link,title,date,journal
0,Eleonora Maria Bielawska-Batorowicz,https://orcid.org/0000-0002-3177-6026,https://doi.org/10.3390/ijerph18116003,Psychometric Properties of the Polish Version of the Parental Feelings Inventory,2021-06-03,International Journal of Environmental Research and Public Health
1,Eleonora Maria Bielawska-Batorowicz,https://orcid.org/0000-0002-3177-6026,https://doi.org/10.1080/02646838.2019.1665172,A longitudinal study of parental attachment: pre- and postnatal study with couples,2020-10-19,Journal of Reproductive and Infant Psychology
2,Eleonora Maria Bielawska-Batorowicz,https://orcid.org/0000-0002-3177-6026,https://doi.org/10.3390/ijerph17082675,The Effect of Maternal Depression on Infant Attachment: A Systematic Review,2020-04-14,International Journal of Environmental Research and Public Health
3,Eleonora Maria Bielawska-Batorowicz,https://orcid.org/0000-0002-3177-6026,https://doi.org/10.1080/02646838.2018.1543943,Negative cognitive styles as risk factors for the occurrence of PMS and PMDD,2019-05-27,Journal of Reproductive and Infant Psychology
4,Eleonora Maria Bielawska-Batorowicz,https://orcid.org/0000-0002-3177-6026,https://doi.org/10.5114/hpr.2017.62522,Quality of the relationship and menopausal symptoms of menopausal women,2017,Health Psychology Report
5,Jan Chodkiewicz,https://orcid.org/0000-0002-5613-3473,https://doi.org/10.3390/jcm10245892,Initial Study on COMT and DRD2 Gene Polymorphisms as Well as the Influence of Temperament and Character Trait on the Severity of Alcohol Craving in Alcohol-Dependent Patients,2021-12,Journal of Clinical Medicine
6,Jan Chodkiewicz,https://orcid.org/0000-0002-5613-3473,https://doi.org/10.3390/ijerph18073423,Mental Health during the Second Wave of the COVID-19 Pandemic—Polish Studies,2021-03,International Journal of Environmental Research and Public Health
7,Jan Chodkiewicz,https://orcid.org/0000-0002-5613-3473,https://doi.org/10.3390/ijerph17197015,Mental Health and the SARS-COV-2 Epidemic—Polish Research Study,2020-09,International Journal of Environmental Research and Public Health
8,Jan Chodkiewicz,https://orcid.org/0000-0002-5613-3473,https://doi.org/10.3390/ijerph17134677,Alcohol Consumption Reported during the COVID-19 Pandemic: The Initial Stage,2020-06,International Journal of Environmental Research and Public Health
9,Mariusz Cieślak,https://orcid.org/0000-0001-8307-7262,https://doi.org/10.3390/ijerph18168517,"Associations of Maternal-Infant Bonding with Maternal Mental Health, Infant’s Characteristics and Socio-Demographical Variables in the Early Postpartum Period: A Cross-Sectional Study",2021-08-12,International Journal of Environmental Research and Public Health
10,Mariusz Cieślak,https://orcid.org/0000-0001-8307-7262,https://doi.org/10.3390/ijerph18115542,Mental Health and the Symptoms of PTSD in People with Depression and Anxiety Disorders during the COVID-19 Pandemic,2021-05-22,International Journal of Environmental Research and Public Health
11,Mariusz Cieślak,https://orcid.org/0000-0001-8307-7262,empty,Mental health and the perceived consequences of the SARS-CoV-2,2021-03,"Polskie Forum Psychologiczne, 1, 73-96"
12,Mariusz Cieślak,https://orcid.org/0000-0001-8307-7262,empty,Satysfakcja seksualna i jej znaczenie w bliskich związkach emocjonalnych,2020-12-17,"Polskie Forum Psychologiczne, 4, 389-405"
13,Mariusz Cieślak,https://orcid.org/0000-0001-8307-7262,empty,"Maternal–Infant Bonding and Its Relationships with Maternal Depressive Symptoms, Stress and Anxiety in the Early Postpartum Period in a Polish Sample",2020-07-28,
14,Mariusz Cieślak,https://orcid.org/0000-0001-8307-7262,empty,Twardość psychiczna i wsparcie społeczne a wzrost pourazowy u chorych z nowotworem – doniesienie wstępne,2017,
15,Maria Finogenow,https://orcid.org/0000-0002-0358-4465,empty,"Cognitive behavioural therapy for insomnia and possibilities of its use among the elderly,Terapia poznawczo-behawioralna bezsennosci i mozliwosci jej zastosowania u osób starszych",2017,Psychoterapia
16,Mateusz Adam Hauk,https://orcid.org/0000-0003-1202-9022,empty,Nowe podejście do zarządzania szkoleniami w organizacjach biznesowych,2021,Zeszyty Naukowe Wyższej Szkoły Humanitas
17,Mateusz Adam Hauk,https://orcid.org/0000-0003-1202-9022,empty,Projektowanie pracy – potrzeba redefinicji podejścia do problematyki „work – design”,2020,Bezpieczeństwo Pracy – Nauka i Praktyka
18,Mateusz Adam Hauk,https://orcid.org/0000-0003-1202-9022,empty,Emotional Satisfaction at Work and Sociodemographic Variables,2019,"Edukacja Ekonomistów i Menedżerów : problemy, innowacje, projekty"
19,Mateusz Adam Hauk,https://orcid.org/0000-0003-1202-9022,empty,Cechy pracy a zadowolenie z pracy.,2018-12-21,Acta Universitatis Lodziensis. Folia Psychologica
20,Mateusz Adam Hauk,https://orcid.org/0000-0003-1202-9022,empty,Grywalizacja w rekrutacji – pytania sytuacyjne w formie gry jako pomysł na urozmaicenie procesów selekcji kandydatów,2017,Zarządzanie zasobami Ludzkimi
21,Iwona Lidia Janicka,https://orcid.org/0000-0002-1408-5354,empty,Communication of partners in intercultural marriages,2021,Kwartalnik Naukowy Fides et Ratio
22,Iwona Lidia Janicka,https://orcid.org/0000-0002-1408-5354,empty,Kwestionariusz Nadseksualizacji – polska adaptacja metody.,2021,"Seksuologia Polska,19,1-10"
23,Iwona Lidia Janicka,https://orcid.org/0000-0002-1408-5354,empty,No licence for love versus same-sex relationships – partner relations and interpersonal commitment,2021,"Current Issues in Personality Psychology, 9(2), 101–113"
24,Iwona Lidia Janicka,https://orcid.org/0000-0002-1408-5354,empty,Zaangażowanie małżeńskie partnerów religijnych. ,2021,"Kwartalnik Naukowy Fides et Ratio,1, 66-79."
25,Iwona Lidia Janicka,https://orcid.org/0000-0002-1408-5354,empty,Satysfakcja seksualna i jej znaczenie w bliskich zwiazkach emocjonalnych,2020-12,"Polskie Forum Psychologiczne, 4, 389-405"
26,Iwona Lidia Janicka,https://orcid.org/0000-0002-1408-5354,empty,Can close romantic relationships last? The commitment of partners  in married and cohabitant couples,2019-11-03,"Current Issues in Personality  Psychology, 7(3), 203–211"
27,Iwona Lidia Janicka,https://orcid.org/0000-0002-1408-5354,empty,Oczekiwania młodych dorosłych a zaangażowanie w bliskich związkach emocjonalnych.,2018,". Psychological Journal, 24, 2, 397-404."
28,Iwona Lidia Janicka,https://orcid.org/0000-0002-1408-5354,empty,Zależność i wsparcie od partnera a więź matki z dzieckiem w okresie prenatalnym,2018,"Polskie Forum Psychologiczne, 1, 139-146."
29,Iwona Lidia Janicka,https://orcid.org/0000-0002-1408-5354,empty,Jakość i stabilność małżeństw dwóch karier,2017,"Psychological Journal, 1, 35-42."
30,Iwona Lidia Janicka,https://orcid.org/0000-0002-1408-5354,empty,Kwestionariusz Zaangażowania Interpersonalnego ,2017,"Polskie Forum Psychologiczne,2, 205-218."
31,Karolina Aleksandra Jarecka,https://orcid.org/0000-0002-6577-4360,empty,Symptoms of hormonal changes in Polish men and women in the second half of life,2021-01,"Health Psychology Report, 9(3), 252–263"
32,Karolina Aleksandra Jarecka,https://orcid.org/0000-0002-6577-4360,https://doi.org/10.3390/ijerph17082675,The Effect of Maternal Depression on Infant Attachment: A Systematic Review,2020-04,International Journal of Environmental Research and Public Health
33,Karolina Aleksandra Jarecka,https://orcid.org/0000-0002-6577-4360,empty,Jakość związku a objawy menopauzalne u kobiet i andropauzalne u mężczyzn,2017,"Polskie Forum Psychologiczne,22(2), 219-241"
34,Karolina Aleksandra Jarecka,https://orcid.org/0000-0002-6577-4360,empty,Quality of the relationship and menopausal symptoms of menopausal women. ,2017,"Health Psychology Report, 5(1), 55-66"
35,Adrianna Kaczuba,https://orcid.org/0000-0002-8605-7889,https://doi.org/10.5604/01.3001.0014.9043,Razem czy osobno? Emigracja zarobkowa a wczesne nieadaptacyjne schematy młodych dorosłych,2021,PSYCHOLOGIA WYCHOWAWCZA
36,Adrianna Kaczuba,https://orcid.org/0000-0002-8605-7889,empty,Skala Przekonań Dorosłych Eurosierot (SPDE) – założenia teoretyczne i analiza właściwości psychometrycznych,2020,POLSKIE FORUM PSYCHOLOGICZNE
37,Adrianna Kaczuba,https://orcid.org/0000-0002-8605-7889,https://doi.org/10.5604/01.3001.0014.2659,Miłość na szkolnym korytarzu – charakterystyka romantycznych związków adolescentów z perspektywy nauczycieli i uczniów,2020-06-30,Psychologia Wychowawcza
38,Adrianna Kaczuba,https://orcid.org/0000-0002-8605-7889,empty,Oczekiwania młodych dorosłych a zaangażowanie w bliskich związkach emocjonalnych,2018,Czasopismo Psychologiczne
39,Magdalena Ewa Kobylarczyk-Kaczmarek,https://orcid.org/0000-0002-7069-316X,https://doi.org/10.4467/20843879pr.20.018.13155,Empathy as a Mediator Between Parental Attitudes and Adolescents’ Aggressive Behaviour,2020,Psychologia Rozwojowa
40,Magdalena Ewa Kobylarczyk-Kaczmarek,https://orcid.org/0000-0002-7069-316X,https://doi.org/10.5114/ppn.2020.96699,Positive effects of trauma among people living with human immunodeficiency virus – the role of rumination and coping strategies,2020,Postępy Psychiatrii i Neurologii
41,Magdalena Ewa Kobylarczyk-Kaczmarek,https://orcid.org/0000-0002-7069-316X,https://doi.org/10.12775/pbe.2020.007,"Stress and Coping Strategies Among Participants of Stress Management Interventions at the Science, Technology and Art Festival",2020-06-30,Przegląd Badań Edukacyjnych
42,Magdalena Ewa Kobylarczyk-Kaczmarek,https://orcid.org/0000-0002-7069-316X,https://doi.org/10.1080/07347332.2019.1600628,The role of rumination in posttraumatic growth in people struggling with cancer,2019-05-14,
43,Magdalena Ewa Kobylarczyk-Kaczmarek,https://orcid.org/0000-0002-7069-316X,empty,Children’s impact of Event Scale—CRIES-13,2018-12,Przegląd Psychologiczny
44,Magdalena Ewa Kobylarczyk-Kaczmarek,https://orcid.org/0000-0002-7069-316X,https://doi.org/10.5114/cipp.2017.68341,Assessing resiliency and personal growth in a  group of adolescents experiencing negative life events: The mediating role of  emotional intelligence. ,2017,Current Issues in Personality Psychology
45,Magdalena Ewa Kobylarczyk-Kaczmarek,https://orcid.org/0000-0002-7069-316X,https://doi.org/10.7366/1896180020174106,Rola zasobów osobistych i społecznych w  kształtowaniu poczucia jakości życia u nastolatków – wychowanków domów dziecka. ,2017,Psychologia społeczna
46,Magdalena Ewa Kobylarczyk-Kaczmarek,https://orcid.org/0000-0002-7069-316X,https://doi.org/10.1177/0030222817724699,The Experience of Trauma Resulting From the  Loss of a Child and Posttraumatic Growth—The Mediating Role of Coping Strategies ,2017,Journal of Omega Death and Dying
47,Magdalena Ewa Kobylarczyk-Kaczmarek,https://orcid.org/0000-0002-7069-316X,https://doi.org/10.1080/15325024.2016.1159115,The Mediating Role of Resiliency in the Relationship Between Temperament and Posttraumatic Growth,2017,Journal of Loss and Trauma
48,Karolina Kossakowska,https://orcid.org/0000-0003-3618-1918,https://doi.org/10.1007/s12144-020-01004-8,“Psychometric properties and factor structure of the attitudes to fertility and childbearing scale (AFCS) in a sample of polish women”,2021-07-01,Current Psychology
49,Karolina Kossakowska,https://orcid.org/0000-0003-3618-1918,https://doi.org/10.1007/s10389-020-01301-3,Health behavior among Polish institutionalized older adults: the effect of resiliency mediated by satisfaction with life,2021-06-05,Journal of Public Health
50,Karolina Kossakowska,https://orcid.org/0000-0003-3618-1918,empty,Ciąża i poród w czasach pandemii COVID-19: wybrane aspekty psychologiczne,2020,Kwartalnik Naukowy Fides et Ratio
51,Karolina Kossakowska,https://orcid.org/0000-0003-3618-1918,empty,"Obawy dotyczące psychologicznych i fizjologicznych aspektów ciąży, porodu i połogu u kobiet nieposiadających dzieci",2020,Kwartalnik Naukowy Fides et Ratio
52,Karolina Kossakowska,https://orcid.org/0000-0003-3618-1918,https://doi.org/10.3390/ijerph17082675,The Effect of Maternal Depression on Infant Attachment: A Systematic Review,2020,International Journal of Environmental Research and Public Health
53,Karolina Kossakowska,https://orcid.org/0000-0003-3618-1918,https://doi.org/10.21164/pomjlifesci.538,"Aktywność fizyczna ciężarnych widziana oczami studentów fizjoterapii. Rola wiedzy, przekonań i doświadczeń własnych przyszłych fizjoterapeutów = Physical activity of pregnant women in the eyes of physiotherapy students. The role of knowledge, beliefs and personal experiences among future physiotherapists",2019,Pomeranian Journal of Life Sciences
54,Karolina Kossakowska,https://orcid.org/0000-0003-3618-1918,https://doi.org/10.4415/ann_19_02_02,An international study of middle school students’ preferences about digital interactive education activities for promoting psychological well-being and mental health,2019,ANNALI DELL ISTITUTO SUPERIORE DI SANITA
55,Karolina Kossakowska,https://orcid.org/0000-0003-3618-1918,empty,Depresja poporodowa matki i jej konsekwencje dla dziecka i rodziny = Maternal postpartum depression and its consequences for the child and family,2019,Kwartalnik Naukowy Fides et Ratio
56,Karolina Kossakowska,https://orcid.org/0000-0003-3618-1918,empty,Kompleksowa terapia udrażniająca w leczeniu obrzęku limfatycznego u kobiet po mastektomii,2019,Fizjoterapia Polska
