,name,orcid,link,title,date,journal
0,Dominik Kamil Adamek,https://orcid.org/0000-0002-0210-1353,empty,"Kto bywa cyniczny w pracy? Zaangażowanie w pracę, przywiązanie do organizacji i etyka pracy a cynizm organizacyjny",2017,ZARZĄDZANIE ZASOBAMI LUDZKIMI
1,Karina Atłas,https://orcid.org/0000-0002-4363-3583,https://doi.org/10.1007/s12144-021-02543-4,Exhausted due to the pandemic: Validation of Coronavirus Stress Measure and COVID-19 Burnout Scale in a Polish sample,2021-11-26,Current Psychology
2,Karina Atłas,https://orcid.org/0000-0002-4363-3583,empty,Ciemniejsza strona bohaterstwa,2019,Psychologia w praktyce
3,Lidia Natalia Baran, https://orcid.org/0000-0002-3118-1997 ,https://doi.org/10.1016/j.paid.2021.110844,Are intelligent peers liked more? Assessing peer-reported liking through the network analysis,2021,Personality and Individual Differences
4,Lidia Natalia Baran, https://orcid.org/0000-0002-3118-1997 ,https://doi.org/10.1177/1747016120980562,Publish or be ethical? Publishing pressure and scientific misconduct in research,2021-07-18,Research Ethics
5,Lidia Natalia Baran, https://orcid.org/0000-0002-3118-1997 ,https://doi.org/10.1016/j.paid.2020.110265,The structure of the Dark Triad traits: A network analysis,2020-12,Personality and Individual Differences
6,Lidia Natalia Baran, https://orcid.org/0000-0002-3118-1997 ,https://doi.org/10.1371/journal.pone.0238141,"Academic dishonesty among university students: The roles of the psychopathy, motivation, and self-efficacy",2020-08-31,PLOS ONE
7,Lidia Natalia Baran, https://orcid.org/0000-0002-3118-1997 ,empty,Terapia akceptacji i zaangażowania (ACT) w zaburzeniach lękowych.,2019,Psychiatria po Dyplomie
8,Lidia Natalia Baran, https://orcid.org/0000-0002-3118-1997 ,https://doi.org/10.1016/j.jrp.2018.04.005,Situational suppression use and social hierarchy in non-individualistic and hierarchic society: A replication study,2018,Journal of Research in Personality
9,Lidia Natalia Baran, https://orcid.org/0000-0002-3118-1997 ,empty,Między myślą a czynem – o pomiarze utajonych  konstruktów psychicznych za pomocą Implicit Relational Assessment Procedure.,2017,Czasopismo Psychologiczne
10,Mateusz Blukacz,https://orcid.org/0000-0002-4689-5650,https://doi.org/10.1016/j.psyneuen.2021.105325,Dysregulated by stigma: Cortisol responses to repeated psychosocial stress in gay and heterosexual men,2021-09,Psychoneuroendocrinology
11,Mateusz Blukacz,https://orcid.org/0000-0002-4689-5650,https://doi.org/10.1371/journal.pone.0255386,How relevant for you is to be a moral person? Polish validation of the Self-Importance of Moral Identity Scale,2021-08-03,PLOS ONE
12,Mateusz Blukacz,https://orcid.org/0000-0002-4689-5650,https://doi.org/10.1007/s11523-021-00822-5,Risk and Benefit for Targeted Therapy Agents in Pediatric Phase II Trials in Oncology: A Systematic Review with a Meta-Analysis,2021-06-10,Targeted Oncology
13,Mateusz Blukacz,https://orcid.org/0000-0002-4689-5650,https://doi.org/10.1016/j.jsxm.2021.02.013,Sexual Health Studies in Gay and Lesbian People: A Critical Review of the Literature.,2021-05-01,The journal of sexual medicine
14,Mateusz Blukacz,https://orcid.org/0000-0002-4689-5650,https://doi.org/10.1002/ajpa.24295,Inflammaging: Blame the sons. Relationships between the number of sons and the level of inflammatory mediators among post-reproductive women.,2021-04-30,American journal of physical anthropology
15,Mateusz Blukacz,https://orcid.org/0000-0002-4689-5650,https://doi.org/10.3389/fpsyg.2020.01997,"The Relationship Between Spirituality, Health-Related Behavior, and Psychological Well-Being",2020-08,Frontiers in Psychology
16,Mateusz Blukacz,https://orcid.org/0000-0002-4689-5650,https://doi.org/10.1155/2019/9791281,"Physical Activity, Sedentary Behavior, and Quality of Life among University Students",2019,BioMed Research International
17,Mateusz Blukacz,https://orcid.org/0000-0002-4689-5650,https://doi.org/10.13075/ijomeh.1896.01323,Occupational burnout and its overlapping effect with depression and anxiety,2019-03-08,International Journal of Occupational Medicine and Environmental Health
18,Mateusz Blukacz,https://orcid.org/0000-0002-4689-5650,empty,Impact of pre-operative glycated haemoglobin A1C level on 1-year outcomes of endovascular treatment in patients with critical limb ischemia in the course of diabetes mellitus.,2019-01,Folia medica Cracoviensia
19,Magdalena Justyna Bolek-Kochanowska,https://orcid.org/0000-0002-4575-8152,https://doi.org/10.1016/j.jrp.2018.04.005,Situational suppression use and social hierarchy in non-individualistic and hierarchic society: A replication study,2018,Journal of Research in Personality
20,Maciej Bożek,https://orcid.org/0000-0002-2701-7107,https://doi.org/10.53024/3.3.43.2021,Przegląd współczesnych sposobów przesłuchania podejrzanego,2021-10-07,Kwartalnik Krajowej Szkoły Sądownictwa i Prokuratury
21,Maciej Bożek,https://orcid.org/0000-0002-2701-7107,https://doi.org/10.1016/j.jrp.2018.04.005,Situational suppression use and social hierarchy in non-individualistic and hierarchic society: A replication study,2018,Journal of Research in Personality
22,Anna Aleksandra Brandt-Salmeri,https://orcid.org/0000-0002-9432-3016,https://doi.org/10.1038/s41598-021-85445-6,"Author Correction: Factors associated with fear of childbirth among Polish pregnant women (Scientific Reports, (2021), 11, 1, (4397), 10.1038/s41598-021-83915-5)",2021,Scientific Reports
23,Anna Aleksandra Brandt-Salmeri,https://orcid.org/0000-0002-9432-3016,https://doi.org/10.1016/j.midw.2021.102940,Pandemic-related pregnancy stress assessment–Psychometric properties of the Polish PREPS and its relationship with childbirth fear,2021,Midwifery
24,Anna Aleksandra Brandt-Salmeri,https://orcid.org/0000-0002-9432-3016,https://doi.org/10.1016/j.paid.2020.110098,Effect of prenatal distress on subjective happiness in pregnant women: The role of prenatal attitudes towards maternity and ego-resiliency,2020,Personality and Individual Differences
25,Anna Aleksandra Brandt-Salmeri,https://orcid.org/0000-0002-9432-3016,https://doi.org/10.1016/j.midw.2020.102731,Vaginal delivery or caesarean section – Severity of early symptoms of postpartum depression and assessment of pain in Polish women in the early puerperium,2020,Midwifery
26,Anna Aleksandra Brandt-Salmeri,https://orcid.org/0000-0002-9432-3016,https://doi.org/10.29119/1641-3466.2019.141.9,ASSESSMENT OF OBSTETRICIAN-PATIENT RELATIONSHIP 2 AND STRESS LEVELS EXPERIENCED BY WOMEN IN HEALTHY 3 PREGNANCY AND PREGNANCY COMPLICATED BY MATERNAL 4 OR FETAL FACTORS,2019,Scientific Papers of Silesian University of Technology. Organization and Management Series
27,Anna Aleksandra Brandt-Salmeri,https://orcid.org/0000-0002-9432-3016,https://doi.org/10.29119/1641-3466.2019.141.1,BODY IMAGE IN WOMEN WITH BREAST CANCER UNDERGOING SURGICAL TREATMENT – A COMPARATIVE ANALYSIS,2019,Scientific Papers of Silesian University of Technology. Organization and Management Series
28,Anna Aleksandra Brandt-Salmeri,https://orcid.org/0000-0002-9432-3016,https://doi.org/10.5114/hpr.2019.84213,Depression and marital satisfaction: The mediating role of sexual satisfaction and perceived partner acceptance in women after mastectomy,2019,Health Psychology Report
29,Anna Aleksandra Brandt-Salmeri,https://orcid.org/0000-0002-9432-3016,empty,Depression and marital satisfaction: the mediating role of sexual satisfaction and perceived partner acceptance in women after mastectomy.,2019,Health Psychology Report
30,Anna Aleksandra Brandt-Salmeri,https://orcid.org/0000-0002-9432-3016,https://doi.org/10.29119/1641-3466.2019.141.14,THE CRISIS OF DIVORCE AND THE NATURE OF THE EXPERIENCED LIFE CHANGES,2019,Scientific Papers of Silesian University of Technology. Organization and Management Series
31,Anna Aleksandra Brandt-Salmeri,https://orcid.org/0000-0002-9432-3016,empty,Obraz ciała a samoocena kobiet z rakiem piersi – rola akceptacji ciała.,2018,Psychoonkologia
32,Anna Aleksandra Brandt-Salmeri,https://orcid.org/0000-0002-9432-3016,empty,Ricorso ai termini psychiatrii nel linguaggio della rete. Rispecchio della realta’ o prestiti poco felici? ,2017,
33,Anna Aleksandra Brandt-Salmeri,https://orcid.org/0000-0002-9432-3016,empty,Skala Satysfakcji Seksualnej Kobiet Cindy Meston i Paula Trapnella – właściwości psychometryczne polskiej wersji narzędzia,2017,Polskie Forum Psychologiczne
34,Anna Aleksandra Brandt-Salmeri,https://orcid.org/0000-0002-9432-3016,empty,„Rak piersi – kryzys egzystencjalny czy estetyczny? Decyzja o rekonstrukcji piersi – analiza jakościowa”,2017,"Journal of Health, Education and Sport"
35,Anna Aleksandra Brandt-Salmeri,https://orcid.org/0000-0002-9432-3016,empty,"Za gruba, za chuda, nieładna – problem społecznej stygmatyzacji osób o ciele „nieidealnym” ",unrecovered,
36,Michał Henryk Brol,https://orcid.org/0000-0002-5486-4571,https://doi.org/10.24917/20837275.9.2.9,"Psychologiczna praca z filmem ""W głowie się nie mieści"" (""Inside Out"")",2018-03-22,Annales Universitatis Paedagogicae Cracoviensis | Studia de Cultura
37,Michał Henryk Brol,https://orcid.org/0000-0002-5486-4571,empty,System mediacji jako przykład współpracy na rzecz zapobiegania i rozwiązywania konfliktów wewnątrzorganizacyjnych,2017,Humanum
38,Michał Henryk Brol,https://orcid.org/0000-0002-5486-4571,empty,System mediacji jako przykład współpracy na rzecz zapobiegania i rozwiązywania konfliktów wewnątrzorganizacyjnych,2017,Humanum
39,Edyta Charzyńska,https://orcid.org/0000-0001-9375-1433,https://doi.org/10.3390/rel12090781,The Buffering Effect of Spirituality at Work on the Mediated Relationship between Job Demands and Turnover Intention among Teachers,2021-09,Religions
40,Edyta Charzyńska,https://orcid.org/0000-0001-9375-1433,https://doi.org/10.1016/j.addbeh.2021.106941,"Profiles of potential behavioral addictions' severity and their associations with gender, personality, and well-being: A person-centered approach",2021-08,Addictive Behaviors
