,name,orcid,link,title,date,journal
0,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.1007/s00406-020-01227-7,Mindreading and metacognition patterns in patients with borderline personality disorder: experimental study,2021,EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE
1,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.2147/dmso.s322850,PAID-PL—The Polish Version of the Problem Areas in Diabetes Scale: Perfect Reliability and a One-Factor Structure,2021-11,"Diabetes, Metabolic Syndrome and Obesity: Targets and Therapy"
2,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.3389/fpsyt.2021.713386,Cognition and Frailty in Patients With Heart Failure: A Systematic Review of the Association Between Frailty and Cognitive Impairment,2021-07-02,Frontiers in Psychiatry
3,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.2147/prbm.s286245,Measurement of Unwanted Thought Suppression Strategies with the Thought Control Questionnaire in the General Polish Population: A Confirmatory Factor Analysis and Validation,2021-02,Psychology Research and Behavior Management
4,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.1080/13548506.2020.1861314,"COVID-19 pandemic fear, life satisfaction and mental health at the initial stage of the pandemic in the largest cities in Poland",2021-01-02,"Psychology, Health & Medicine"
5,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.1177/1474515120944518,Acceptance of the disease and sexual functions of patients with heart failure,2020-11-03,European Journal of Cardiovascular Nursing
6,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.1371/journal.pone.0240209,People with diabetes need a lower cut-off than others for depression screening with PHQ-9,2020-10-23,PLOS ONE
7,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.3389/fpsyt.2020.00725,Monetary Incentives Increase Metacognitive Confidence in Source Memory Performance in Patients With Schizophrenia,2020-07-29,Frontiers in Psychiatry
8,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.1016/j.pcd.2020.05.015,Cut-off points for Polish-language versions of depression screening tools among patients with Type 2 diabetes,2020-06,Primary Care Diabetes
9,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.1016/j.erap.2020.100521,Education biases perception of social robots,2020-04,European Review of Applied Psychology
10,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.12740/pp/93493,POLISH VERSION OF WHITE BEAR SUPPRESSION INVENTORY (WBSI) BY WEGNER AND ZANAKOS: FACTOR ANALYSIS AND RELIABILITY.,2020-02-29,Psychiatria Polska
11,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.1016/j.diabres.2019.107970,Validation of the Polish version of WHO-5 as a screening instrument for depression in adults with diabetes,2020-01,Diabetes Research and Clinical Practice
12,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.1007/s12144-018-0011-8,Experience-based knowledge increases confidence in discriminating our memories,2018-09-26,Current Psychology
13,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.18290/rpsych.2017.20.4-2en,Metacognition increases the severity of depression through trait anxiety in a nonclinical population,2017,Roczniki Psychologiczne
14,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.18290/rpsych.2017.20.4-2pl,Metapoznanie nasila depresję poprzez cechę lęku: badania w populacji osób zdrowych psychicznie,2017,Roczniki Psychologiczne
15,Andrzej Kiejna,https://orcid.org/0000-0002-3708-3853,https://doi.org/10.2147/dmso.s322850,PAID-PL—The Polish Version of the Problem Areas in Diabetes Scale: Perfect Reliability and a One-Factor Structure,2021-11,"Diabetes, Metabolic Syndrome and Obesity: Targets and Therapy"
16,Andrzej Kiejna,https://orcid.org/0000-0002-3708-3853,https://doi.org/10.12740/pp/133286,A letter to the editor. Three-vote on the National Mental Health Programme,2021-10-31,Psychiatria Polska
17,Andrzej Kiejna,https://orcid.org/0000-0002-3708-3853,https://doi.org/10.17219/acem/111818,Psychometric validation of Corah’s Dental Anxiety Scale in the Polish population,2020-01-17,Advances in Clinical and Experimental Medicine
18,Andrzej Kiejna,https://orcid.org/0000-0002-3708-3853,https://doi.org/10.17219/dmp/105253,Negative synergy of mental disorders and oral diseases versus general health,2019-05-10,Dental and Medical Problems
19,Alina Matlakiewicz,https://orcid.org/0000-0001-5627-384X,empty,Aroma Marketing in Business – How Fragrance Affects Customers and Employees,2020-04-02,
20,Alina Matlakiewicz,https://orcid.org/0000-0001-5627-384X,https://doi.org/10.19197/tbr.v17i4.316,Positive psychology in organisation management - theoretical approach,2018-12-18,Torun Business Review
