,name,orcid,link,title,date,journal
0,Monika Baryła-Matejczuk,https://orcid.org/0000-0003-2321-9999,https://doi.org/10.5114/cipp.2021.107339,"Short Polish version of the Highly Sensitive Person
Scale – exploring its multidimensional structure
in a sample of emerging adults",2021,Current Issues in Personality Psychology
1,Monika Baryła-Matejczuk,https://orcid.org/0000-0003-2321-9999,empty,Wrażliwość środowiskowa a inteligencje wielorakie uczniów szkół podstawowych. Badania z wykorzystaniem polskiej wersji skali Highly Sensitive Child (HSC),2021,"Annales Universitatis Mariae Curie-Skłodowska, sectio J – Paedagogia-Psychologia"
2,Monika Baryła-Matejczuk,https://orcid.org/0000-0003-2321-9999,https://doi.org/10.3390/jcm10173961,Relationship between Sensory Processing and Quality of Life: A Systematic Review,2021-08-31,Journal of Clinical Medicine
3,Monika Baryła-Matejczuk,https://orcid.org/0000-0003-2321-9999,https://doi.org/10.17951/j.2021.34.2.43-64,Environmental Sensitivity and Multiple Intelligences of Primary School Students: Research Based on the Polish Version of the Highly Sensitive Child Scale (HSC),2021-06-12,"Annales Universitatis Mariae Curie-Skłodowska, sectio J – Paedagogia-Psychologia"
4,Monika Baryła-Matejczuk,https://orcid.org/0000-0003-2321-9999,https://doi.org/10.26881/pwe.2020.48.05,The Highly Sensitive Child as a challenge for education – introduction to the concept,2020-03-31,Issues in Early Education
5,Monika Baryła-Matejczuk,https://orcid.org/0000-0003-2321-9999,https://doi.org/10.3390/ijerph17041190,Link between Financial Management Behaviours and Quality of Relationship and Overall Life Satisfaction among Married and Cohabiting Couples: Insights from Application of Artificial Neural Networks,2020-02-13,International Journal of Environmental Research and Public Health
6,Monika Baryła-Matejczuk,https://orcid.org/0000-0003-2321-9999,https://doi.org/10.3390/su11247210,Sustainable Debt Behaviour and Well-Being of Young Adults: The Role of Parental Financial Socialisation Process,2019-12-16,Sustainability
7,Bożydar Kaczmarek,https://orcid.org/0000-0001-8683-1128,empty,Brain Plasticity and the Idea of the Functional System,2021,Lurian Journal
8,Bożydar Kaczmarek,https://orcid.org/0000-0001-8683-1128,empty,The power of self-deception: psychological reaction to the covid-19 threat,2021,Acta Neuropsychologica
9,Bożydar Kaczmarek,https://orcid.org/0000-0001-8683-1128,https://doi.org/10.5604/01.3001.0013.8808,Current views on neuroplasticity: what is new and what is old?,2020,Acta Neuropsychologica
