id,name,second_name,pre_surname,surname,main_job,fullname,Aid,orcid
46C3324B47B2F1C79B11A649C188A1518EA55513,Rafał,,,Abramciów,Uniwersytet_Pedagogiczny_Komisji_Edukacji_Narodowej_w_Krakowie,Rafał Abramciów,Rafał_Abramciów_5jO,
47FAF8BB8E12379A2AF1265537D6FF4B13B4621C,Cengiz,,,Acartürk,Uniwersytet_Jagielloński_w_Krakowie,Cengiz Acartürk,Cengiz_Acartürk_6XM,0000-0002-5443-6868
4BAD065A21F92A2E6F7B0CC74844E1D683F19B24,Dorota,,,Ackermann-Szulgit,Wyższa_Szkoła_Bankowa_w_Toruniu,Dorota Ackermann-Szulgit,Dorota_Ackermann-Szulgit_wTX,
940053C62CBDC1827CF1DBC2C2E5C50CFD40BBB6,Katarzyna,,,Adamczyk,Uniwersytet_Adama_Mickiewicza_w_Poznaniu,Katarzyna Adamczyk,Katarzyna_Adamczyk_onr,0000-0002-7612-8380
B0524280539A9C162C9C8FE5369C533867D7300D,Dominik,Kamil,,Adamek,Uniwersytet_Śląski_w_Katowicach,Dominik Kamil Adamek,Dominik_Kamil_Adamek_fHO,0000-0002-0210-1353
8B62859C0838608DA604EB995919B8CF99B33060,Krystyna,Elżbieta,,Adamska,Uniwersytet_Gdański,Krystyna Elżbieta Adamska,Krystyna_Elżbieta_Adamska_LOc,0000-0002-3605-3919
0D9F7920CF88EAF624D85387920710FC62CE6D93,Rafał,Waldemar,,Albiński,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,Rafał Waldemar Albiński,Rafał_Waldemar_Albiński_yNd,
9E2EA72416A352584E3CBC2337871E2ABD2093D7,Rafał,,,Aleksandrowicz,Akademia_Ignatianum_w_Krakowie,Rafał Aleksandrowicz,Rafał_Aleksandrowicz_6yd,0000-0003-4895-5415
7D8C3CF6A732B5FAEDB8CE82052B51CD0B5D371C,Adam,,,Anczyk,Akademia_Ignatianum_w_Krakowie,Adam Anczyk,Adam_Anczyk_5pj,0000-0001-6906-3104
A290DAF2FE6B6FF661D4630DF78792F09B29236D,Beata,,,Andrzejewska,Wyższa_Szkoła_Bankowa_w_Toruniu,Beata Andrzejewska,Beata_Andrzejewska_Sgb,
67AFA7CB44F90F7EA2A7004E40FD19DE57BA6D05,Paulina,,,Anikiej - Wiczenbach,Uniwersytet_Gdański,Paulina Anikiej - Wiczenbach,Paulina_Anikiej_-_Wiczenbach_nHG,0000-0002-7090-211X
F89B30B383A1F997CC3333422703FFB214E01ACC,Anna,,,Anzulewicz,Uniwersytet_Warszawski,Anna Anzulewicz,Anna_Anzulewicz_N7A,0000-0002-3065-2136
54A41DC4E7774426E49D3ABE4BE343535918ABC4,Karolina,Magdalena,,Appelt,Uniwersytet_Adama_Mickiewicza_w_Poznaniu,Karolina Magdalena Appelt,Karolina_Magdalena_Appelt_tnu,0000-0003-3106-8959
5E75130277C80DCE323DFAFE36A023A2475E8FDC,Aleksandra,Izabela,,Arciszewska-Leszczuk,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,Aleksandra Izabela Arciszewska-Leszczuk,Aleksandra_Izabela_Arciszewska-Leszczuk_Cpn,0000-0002-1762-3963
D462E0EC997BD4763A22C7D4EC732A2DF4D2CD0D,Małgorzata,,,Artymiak,Wyższa_Szkoła_Ekonomii_i_Innowacji_w_Lublinie,Małgorzata Artymiak,Małgorzata_Artymiak_ymD,
BE64B72F014D866E158D8D336642CB4AC3381F05,Dariusz,,,Asanowicz,Uniwersytet_Jagielloński_w_Krakowie,Dariusz Asanowicz,Dariusz_Asanowicz_Md0,0000-0001-7475-2086
678960039107F3059532BAB540BB3F8D0C624E17,Karina,,,Atłas,Uniwersytet_Śląski_w_Katowicach,Karina Atłas,Karina_Atłas_bMX,0000-0002-4363-3583
EB225007899E58F4A7CF38F2D3190D91C12BBBB2,Paweł,Andrzej,,Atroszko,Uniwersytet_Gdański,Paweł Andrzej Atroszko,Paweł_Andrzej_Atroszko_WzC,0000-0001-5707-3882
F99CF34307B2DA1303A952B6A7EE281ABFF08ACC,Katarzyna,,,Awruk,Akademia_Ekonomiczno-Humanistyczna_w_Warszawie,Katarzyna Awruk,Katarzyna_Awruk_0B3,0000-0003-3068-6309
09FFD3A7A6B1D44F6B6EC2F13766D8955721A247,Elżbieta,Anita,,Bajcar,Uniwersytet_Jagielloński_w_Krakowie,Elżbieta Anita Bajcar,Elżbieta_Anita_Bajcar_l0u,
983B35DFEC7E712AFCDE772AF431E70764CF110A,Łukasz,,,Baka,Akademia_Pedagogiki_Specjalnej_Marii_Grzegorzewskiej_w_Warszawie,Łukasz Baka,Łukasz_Baka_e6P,0000-0003-1173-9874
7A264F8D5DC4CF46EE2F4D933EE2ED109E80A667,Lucyna,,,Bakiera,Uniwersytet_Adama_Mickiewicza_w_Poznaniu,Lucyna Bakiera,Lucyna_Bakiera_6DA,0000-0003-4559-0430
8110BFCDD88264150FAC86CFAC12CA15EB17FFA6,Aleksandra,,,Bala,Uniwersytet_Warszawski,Aleksandra Bala,Aleksandra_Bala_FEd,0000-0001-6239-7232
693782C96A6536786A223196E9CDA453758CE288,Julia,,,Balcerowska,Uniwersytet_Gdański,Julia Balcerowska,Julia_Balcerowska_Cz4,0000-0001-9952-1110
