,fullname
3,Cengiz Acartürk
30,Dariusz Asanowicz
38,Elżbieta Anita Bajcar
57,Konrad Banicki
69,Anna Magdalena Bańbura-Nowak
76,Katarzyna Barani
98,Krystian Barzykowski
108,Przemysław Bąbel
128,Anna Beres
135,Barbara Jolanta Bętkowska-Korpała
144,Arkadiusz Piotr Białek
167,Marek Henryk Binder
171,Agata Blaut
188,Bogusława Bober-Płonka
257,Dorota Buczyłowska
264,Marcin Bukowski
305,Adam Chuderski
359,Anna Czarna
362,Gabriela Anna Czarnek
368,Aneta Czernatowicz - Kukuczka
385,Dorota Czyżowska
417,Bartłomiej Dobroczyński
445,Piotr Dragon
485,Roksana Dorota Epa
488,Lucía Estevan Reina
496,Magdalena Fąfrowicz
507,Stefan Andrzej Florek
534,Michał Gacek
553,Magda Gawłowska
568,Krzysztof Gerc
584,Kaja Renata Głomb
597,Krystyna Golonka
600,Sofia Gonzalez Castro
641,Aleksandra Gruszka-Gosiewska
656,Szczepan Grzybowski
657,Joanna Grzymała-Moszczyńska
662,Bożena Gulla
707,Mateusz Hohol
722,Małgorzata Hołda
740,Grzegorz Iniewicz
747,Bernadetta Izydorczyk
773,Bernadetta Elżbieta Janusz
792,Katarzyna Jaśko
846,Weronika Anna Kałwak
917,Joanna Katarzyna Kłosowska
952,Halszka Kontrymowicz-Ogińska
986,Małgorzata Kossowska
997,Ilona Kotlewska
1089,Małgorzata Kuleta-Krzyszkowiak
1098,Michał Kuniecki
1125,Monika Kwiek
1150,Marcin Leszczyński
1156,Koryna Lewandowska
1168,Jakub Lickiewicz
1237,Józef Maciuszek
1247,Marta Maj
1264,Diana Malinowska
1285,Tadeusz Marek
1291,Iana Markevych
1321,Stefanie Meeuwis
1330,Jacek Mesterhazy
1371,Justyna Katarzyna Mojsa-Kaja
1374,Erica Molinario
1409,Jacek Neckar
1413,Edward Nęcka
1418,Agnieszka Niedźwieńska
1433,Aleksander Nitka
1456,Czesław Noworol
1494,Małgorzata Opoczyńska-Morasiewicz
1496,Natasza Orlov
1515,Ayşegül Özkan
1539,Borysław Paulewicz
1566,Bogusława Piasecka
1567,Elżbieta Piątek
1591,Krzysztof Piotrowski
1598,Przemysław Piotrowski
1633,Mateusz Polak
1635,Romuald Polczyk
1677,Katarzyna Prochwicz
1722,Anna Maria Rajtar-Zembaty
1738,Suvarna Rekha Chinta
1793,Mirjana Rupar
1796,Renate Rutiku
1852,Maciej Sekerdej
1857,Magdalena Senderecka
1876,Marta Siedlecka
1881,Patrycja Siemiginowska
1886,Barbara Sikora-Wachowicz
1889,Iwona Sikorska
1895,Katarzyna Sitnik-Warchulska
1917,Piotr Słowik
1923,Tomasz Smoleń
1937,Wojciech Solecki
1979,Jolanta Starosta
1988,Katarzyna Dominika Stasiuk
2001,Małgorzata Stępień-Nycz
2013,Anna-Lena Stroh
2014,Agnieszka Strojny
2015,Paweł Marcin Strojny
2075,Klaudia Elżbieta Szklarczyk-Smolana
2076,Barbara Szmigielska-Siuta
2084,Malwina Szpitalak
2098,Ewa Szumowska
2104,Marta Szwajca
2106,Marcin Szwed
2132,Magdalena Śmieja-Nęcka
2136,Sławomir Śpiewak
2188,Aleksandra Tomasiewicz
2204,Agnieszka Trąbka
2222,Joanna Danuta Trzópek
2226,Kinga Tucholska
2264,Piotr Krzysztof Walecki
2274,Monika Wasilewska
2284,Szymon Wichary
2293,Magdalena Wielgus
2298,Michał Wierzchoń
2331,Zofia Wodniecka-Chlipalska
2341,Bartosz Wojciechowski
2363,Piotr Wolski
2377,Antoni Wontorczyk
2397,Eligiusz Wronka
2405,Mirosław Wyczesany
2474,Anna Ziółkowska
2489,Adam Żaliński
2491,Magdalena Żegleń
